datetime,S,NQ,ND,I,Q,R,D
13-Oct-2020,10680114,0,5002,3318,8519,71835,2042
14-Oct-2020,10679821,0,5002,3304,8114,72533,2057
15-Oct-2020,10679529,0,5002,3290,7742,73199,2070
16-Oct-2020,10679237,0,5002,3276,7398,73835,2083
17-Oct-2020,10678948,0,5002,3262,7082,74443,2096
18-Oct-2020,10678659,0,5002,3248,6790,75025,2108
19-Oct-2020,10678372,0,5002,3234,6521,75584,2119
20-Oct-2020,10678086,0,5002,3220,6273,76121,2130
21-Oct-2020,10677801,0,5002,3206,6044,76638,2141
22-Oct-2020,10677517,0,5002,3192,5832,77137,2151
23-Oct-2020,10677235,0,5002,3178,5637,77619,2161
24-Oct-2020,10676954,0,5002,3165,5456,78084,2170
25-Oct-2020,10676674,0,5002,3151,5289,78536,2179
26-Oct-2020,10676395,0,5002,3138,5135,78973,2188
27-Oct-2020,10676118,0,5002,3124,4992,79399,2197
28-Oct-2020,10675841,0,5002,3111,4860,79812,2205
29-Oct-2020,10675566,0,5002,3097,4737,80215,2214
30-Oct-2020,10675292,0,5002,3084,4623,80609,2222
31-Oct-2020,10675019,0,5002,3070,4518,80992,2229
01-Nov-2020,10674748,0,5002,3057,4419,81368,2237
02-Nov-2020,10674478,0,5002,3044,4328,81735,2245
03-Nov-2020,10674208,0,5002,3031,4243,82095,2252
04-Nov-2020,10673940,0,5002,3018,4164,82448,2259
05-Nov-2020,10673674,0,5002,3004,4090,82795,2266
06-Nov-2020,10673408,0,5002,2991,4021,83135,2273
07-Nov-2020,10673143,0,5002,2978,3957,83471,2280
08-Nov-2020,10672880,0,5002,2965,3897,83800,2287
09-Nov-2020,10672618,0,5002,2953,3840,84125,2293
10-Nov-2020,10672357,0,5002,2940,3787,84446,2300
11-Nov-2020,10672097,0,5002,2927,3737,84762,2306
12-Nov-2020,10671838,0,5002,2914,3691,85074,2313
13-Nov-2020,10671580,0,5002,2902,3646,85382,2319
14-Nov-2020,10671324,0,5002,2889,3605,85686,2325
15-Nov-2020,10671069,0,5002,2876,3566,85987,2331
16-Nov-2020,10670814,0,5002,2864,3528,86285,2337
17-Nov-2020,10670561,0,5002,2851,3493,86580,2344
18-Nov-2020,10670309,0,5002,2839,3460,86872,2349
19-Nov-2020,10670058,0,5002,2826,3428,87162,2355
20-Nov-2020,10669808,0,5002,2814,3397,87448,2361
21-Nov-2020,10669560,0,5002,2802,3368,87732,2367
22-Nov-2020,10669312,0,5002,2790,3341,88014,2373
23-Nov-2020,10669065,0,5002,2777,3314,88294,2378
24-Nov-2020,10668820,0,5002,2765,3289,88571,2384
25-Nov-2020,10668575,0,5002,2753,3265,88846,2390
26-Nov-2020,10668332,0,5002,2741,3241,89120,2395
27-Nov-2020,10668090,0,5002,2729,3219,89391,2401
