datetime,S,NQ,ND,I,Q,R,D
14-Sep-2020,10669241,28477,4144,13043,12161,42325,1440
15-Sep-2020,10668068,28991,4183,12417,12353,43364,1457
16-Sep-2020,10666874,29513,4223,11820,12511,44417,1473
17-Sep-2020,10665659,30045,4264,11252,12639,45483,1490
18-Sep-2020,10664421,30587,4305,10711,12742,46558,1507
19-Sep-2020,10663162,31138,4347,10197,12822,47641,1525
20-Sep-2020,10661880,31699,4390,9707,12884,48730,1542
21-Sep-2020,10660575,32269,4434,9240,12930,49824,1559
22-Sep-2020,10659247,32850,4479,8796,12962,50921,1577
23-Sep-2020,10657895,33441,4524,8374,12984,52020,1594
24-Sep-2020,10656519,34043,4570,7971,12996,53121,1612
25-Sep-2020,10655118,34655,4617,7588,13002,54222,1630
26-Sep-2020,10653692,35278,4665,7224,13002,55324,1647
27-Sep-2020,10652241,35912,4713,6877,12999,56425,1665
28-Sep-2020,10650764,36558,4763,6546,12993,57526,1682
29-Sep-2020,10649261,37214,4813,6232,12986,58627,1700
30-Sep-2020,10647731,37883,4864,5932,12978,59726,1717
01-Oct-2020,10646173,38563,4917,5647,12972,60826,1735
02-Oct-2020,10644588,39255,4970,5376,12967,61924,1752
03-Oct-2020,10642975,39959,5024,5118,12964,63023,1770
04-Oct-2020,10641333,40675,5079,4872,12964,64121,1787
05-Oct-2020,10639662,41404,5135,4638,12968,65220,1805
06-Oct-2020,10637961,42146,5192,4415,12976,66319,1822
07-Oct-2020,10636230,42901,5250,4203,12989,67419,1840
08-Oct-2020,10634469,43669,5309,4001,13007,68520,1857
09-Oct-2020,10632676,44451,5369,3808,13030,69623,1875
10-Oct-2020,10630851,45246,5431,3625,13058,70728,1893
11-Oct-2020,10628994,46055,5493,3451,13092,71836,1910
12-Oct-2020,10627104,46879,5556,3285,13133,72947,1928
13-Oct-2020,10625181,47716,5621,3128,13179,74061,1946
14-Oct-2020,10623223,48569,5687,2977,13232,75180,1964
15-Oct-2020,10621231,49436,5754,2834,13292,76303,1981
16-Oct-2020,10619204,50318,5822,2698,13358,77432,1999
17-Oct-2020,10617141,51216,5891,2568,13431,78567,2018
18-Oct-2020,10615042,52129,5962,2445,13510,79708,2036
19-Oct-2020,10612906,53058,6034,2327,13596,80856,2054
20-Oct-2020,10610732,54003,6107,2216,13690,82012,2072
21-Oct-2020,10608520,54964,6181,2109,13790,83176,2091
22-Oct-2020,10606269,55943,6257,2008,13897,84349,2110
23-Oct-2020,10603978,56938,6334,1911,14010,85531,2129
24-Oct-2020,10601648,57950,6412,1820,14131,86723,2148
25-Oct-2020,10599276,58980,6492,1732,14259,87926,2167
26-Oct-2020,10596863,60027,6574,1649,14394,89140,2186
27-Oct-2020,10594407,61093,6656,1570,14535,90365,2206
28-Oct-2020,10591909,62176,6741,1494,14684,91603,2225
29-Oct-2020,10589366,63279,6826,1422,14839,92853,2245
30-Oct-2020,10586780,64400,6913,1354,15002,94118,2265
31-Oct-2020,10584148,65541,7002,1289,15171,95396,2286
01-Nov-2020,10581470,66701,7092,1227,15347,96688,2306
02-Nov-2020,10578745,67881,7184,1168,15530,97996,2327
03-Nov-2020,10575973,69081,7278,1112,15719,99320,2348
04-Nov-2020,10573153,70301,7373,1059,15916,100660,2370
05-Nov-2020,10570284,71543,7470,1008,16119,102017,2391
06-Nov-2020,10567365,72805,7569,959,16329,103392,2413
07-Nov-2020,10564395,74089,7669,913,16546,104784,2435
08-Nov-2020,10561374,75395,7771,869,16770,106195,2458
09-Nov-2020,10558300,76723,7875,828,17000,107626,2481
10-Nov-2020,10555173,78073,7981,788,17237,109076,2504
11-Nov-2020,10551993,79446,8088,750,17481,110547,2527
12-Nov-2020,10548757,80842,8198,714,17732,112039,2551
13-Nov-2020,10545465,82262,8309,680,17989,113552,2575
14-Nov-2020,10542117,83705,8422,647,18254,115087,2600
15-Nov-2020,10538711,85173,8538,616,18525,116645,2624
16-Nov-2020,10535246,86665,8655,586,18803,118226,2650
17-Nov-2020,10531722,88183,8775,558,19088,119831,2675
18-Nov-2020,10528138,89726,8896,531,19379,121461,2701
19-Nov-2020,10524492,91294,9020,506,19678,123115,2727
20-Nov-2020,10520783,92889,9145,481,19983,124795,2754
21-Nov-2020,10517012,94510,9273,458,20296,126502,2781
22-Nov-2020,10513175,96158,9404,436,20615,128235,2809
23-Nov-2020,10509274,97833,9536,415,20942,129995,2837
24-Nov-2020,10505306,99536,9671,395,21275,131783,2866
25-Nov-2020,10501270,101267,9808,376,21616,133600,2895
26-Nov-2020,10497166,103026,9948,358,21964,135446,2924
27-Nov-2020,10492992,104815,10090,341,22318,137322,2954
28-Nov-2020,10488748,106632,10234,325,22681,139228,2984
29-Nov-2020,10484431,108480,10381,309,23050,141165,3015
30-Nov-2020,10480042,110357,10530,294,23427,143134,3046
01-Dec-2020,10475579,112266,10682,280,23811,145135,3078
02-Dec-2020,10471041,114205,10837,267,24203,147169,3111
03-Dec-2020,10466426,116176,10994,254,24602,149237,3144
04-Dec-2020,10461733,118178,11154,242,25009,151338,3177
05-Dec-2020,10456962,120213,11317,230,25423,153474,3211
06-Dec-2020,10452112,122281,11483,219,25845,155646,3246
07-Dec-2020,10447180,124382,11651,208,26275,157854,3281
