datetime,S,NQ,ND,I,Q,R,D
29-Sep-2020,10649261,34064,4830,6232,12726,58865,1718
30-Sep-2020,10649261,33291,4876,5932,12660,59941,1735
01-Oct-2020,10649261,32536,4921,5647,12569,61009,1752
02-Oct-2020,10649261,31797,4965,5376,12458,62070,1769
03-Oct-2020,10649261,31076,5008,5118,12328,63120,1786
04-Oct-2020,10649261,30370,5050,4872,12182,64158,1802
05-Oct-2020,10649261,29681,5091,4638,12023,65184,1819
06-Oct-2020,10649261,29008,5131,4415,11851,66195,1835
07-Oct-2020,10649261,28349,5170,4203,11670,67192,1851
08-Oct-2020,10649261,27706,5208,4001,11481,68172,1866
09-Oct-2020,10649261,27077,5246,3808,11285,69137,1882
10-Oct-2020,10649261,26463,5282,3625,11083,70084,1897
11-Oct-2020,10649261,25862,5318,3451,10877,71015,1912
12-Oct-2020,10649261,25276,5353,3285,10667,71927,1926
13-Oct-2020,10649261,24702,5387,3128,10456,72822,1940
14-Oct-2020,10649261,24141,5420,2977,10242,73699,1954
