datetime,S,NQ,ND,I,Q,R,D
18-Aug-2020,10740690,0,2963,1825,4803,21953,1035
19-Aug-2020,10740527,0,2963,1818,4571,22346,1043
20-Aug-2020,10740365,0,2963,1811,4357,22721,1050
21-Aug-2020,10740204,0,2963,1804,4160,23079,1058
22-Aug-2020,10740044,0,2963,1797,3979,23420,1065
23-Aug-2020,10739884,0,2963,1791,3812,23748,1071
24-Aug-2020,10739724,0,2963,1784,3658,24061,1078
25-Aug-2020,10739565,0,2963,1777,3516,24362,1084
26-Aug-2020,10739407,0,2963,1770,3385,24652,1090
27-Aug-2020,10739250,0,2963,1764,3265,24931,1095
28-Aug-2020,10739093,0,2963,1757,3153,25201,1101
29-Aug-2020,10738936,0,2963,1750,3051,25461,1106
30-Aug-2020,10738781,0,2963,1744,2956,25714,1111
31-Aug-2020,10738625,0,2963,1737,2868,25958,1116
01-Sep-2020,10738471,0,2963,1730,2787,26196,1121
02-Sep-2020,10738317,0,2963,1724,2712,26427,1126
03-Sep-2020,10738164,0,2963,1717,2642,26651,1131
04-Sep-2020,10738011,0,2963,1711,2578,26871,1135
05-Sep-2020,10737859,0,2963,1704,2518,27085,1139
06-Sep-2020,10737707,0,2963,1698,2463,27294,1144
07-Sep-2020,10737556,0,2963,1691,2411,27499,1148
08-Sep-2020,10737405,0,2963,1685,2364,27699,1152
09-Sep-2020,10737255,0,2963,1678,2319,27896,1156
10-Sep-2020,10737106,0,2963,1672,2278,28089,1160
11-Sep-2020,10736957,0,2963,1666,2240,28279,1164
12-Sep-2020,10736809,0,2963,1659,2204,28465,1168
13-Sep-2020,10736662,0,2963,1653,2170,28649,1171
14-Sep-2020,10736514,0,2963,1647,2139,28830,1175
15-Sep-2020,10736368,0,2963,1640,2110,29008,1179
16-Sep-2020,10736222,0,2963,1634,2082,29184,1182
17-Sep-2020,10736077,0,2963,1628,2057,29358,1186
18-Sep-2020,10735932,0,2963,1622,2032,29530,1189
19-Sep-2020,10735788,0,2963,1615,2010,29700,1193
20-Sep-2020,10735644,0,2963,1609,1988,29868,1196
21-Sep-2020,10735501,0,2963,1603,1968,30034,1200
22-Sep-2020,10735358,0,2963,1597,1949,30198,1203
23-Sep-2020,10735216,0,2963,1591,1931,30361,1206
24-Sep-2020,10735074,0,2963,1585,1914,30523,1210
25-Sep-2020,10734934,0,2963,1579,1897,30683,1213
26-Sep-2020,10734793,0,2963,1573,1882,30841,1216
27-Sep-2020,10734653,0,2963,1567,1867,30999,1219
28-Sep-2020,10734514,0,2963,1561,1853,31155,1222
29-Sep-2020,10734375,0,2963,1555,1840,31310,1226
30-Sep-2020,10734237,0,2963,1549,1827,31464,1229
01-Oct-2020,10734099,0,2963,1543,1814,31617,1232
