datetime,S,NQ,ND,I,Q,R,D
17-Jul-2020,10740882,6718,2198,4982,4982,9994,731
18-Jul-2020,10740204,6908,2215,5065,5059,10298,739
19-Jul-2020,10739512,7103,2232,5150,5138,10606,746
20-Jul-2020,10738807,7303,2249,5236,5219,10919,754
21-Jul-2020,10738088,7508,2268,5323,5301,11238,762
22-Jul-2020,10737355,7718,2286,5412,5384,11561,770
23-Jul-2020,10736608,7934,2305,5502,5470,11889,778
24-Jul-2020,10735846,8155,2325,5594,5557,12223,786
25-Jul-2020,10735070,8382,2345,5687,5646,12562,795
26-Jul-2020,10734279,8615,2366,5782,5737,12906,803
27-Jul-2020,10733472,8853,2388,5878,5829,13256,812
28-Jul-2020,10732650,9097,2410,5976,5923,13611,821
29-Jul-2020,10731812,9347,2432,6075,6019,13973,830
30-Jul-2020,10730958,9603,2455,6176,6116,14340,839
31-Jul-2020,10730087,9866,2479,6279,6215,14713,848
01-Aug-2020,10729200,10134,2504,6383,6316,15092,857
02-Aug-2020,10728296,10410,2529,6489,6419,15477,867
03-Aug-2020,10727375,10692,2555,6597,6524,15869,876
04-Aug-2020,10726436,10980,2581,6706,6631,16267,886
05-Aug-2020,10725479,11275,2608,6818,6739,16671,896
06-Aug-2020,10724505,11578,2636,6930,6849,17082,907
07-Aug-2020,10723511,11887,2665,7045,6962,17500,917
08-Aug-2020,10722500,12203,2695,7162,7076,17924,927
09-Aug-2020,10721469,12527,2725,7280,7192,18356,938
10-Aug-2020,10720419,12858,2756,7401,7310,18795,949
11-Aug-2020,10719349,13196,2788,7523,7430,19241,960
12-Aug-2020,10718260,13542,2821,7647,7552,19694,971
13-Aug-2020,10717150,13896,2854,7773,7676,20154,983
14-Aug-2020,10716020,14257,2889,7902,7802,20623,994
15-Aug-2020,10714870,14626,2924,8032,7931,21099,1006
16-Aug-2020,10713698,15003,2960,8164,8061,21582,1018
17-Aug-2020,10712504,15389,2997,8299,8194,22074,1030
18-Aug-2020,10711290,15782,3036,8435,8328,22574,1043
19-Aug-2020,10710053,16183,3075,8574,8465,23082,1055
20-Aug-2020,10708793,16593,3115,8715,8605,23598,1068
21-Aug-2020,10707512,17011,3156,8858,8746,24123,1081
22-Aug-2020,10706207,17438,3198,9003,8890,24657,1094
23-Aug-2020,10704879,17873,3241,9151,9036,25199,1108
24-Aug-2020,10703528,18317,3286,9301,9185,25750,1121
25-Aug-2020,10702153,18769,3331,9453,9336,26310,1135
26-Aug-2020,10700754,19230,3378,9608,9489,26880,1149
27-Aug-2020,10699330,19700,3425,9765,9645,27459,1163
28-Aug-2020,10697882,20178,3474,9924,9803,28047,1178
29-Aug-2020,10696409,20666,3524,10086,9964,28645,1193
30-Aug-2020,10694911,21162,3575,10251,10128,29253,1208
31-Aug-2020,10693387,21667,3628,10418,10294,29870,1223
01-Sep-2020,10691838,22181,3681,10587,10462,30498,1239
02-Sep-2020,10690263,22704,3736,10759,10634,31136,1255
03-Sep-2020,10688661,23236,3793,10934,10808,31785,1271
04-Sep-2020,10687033,23776,3850,11112,10985,32444,1287
05-Sep-2020,10685378,24326,3909,11292,11164,33114,1304
06-Sep-2020,10683696,24884,3969,11475,11347,33795,1320
07-Sep-2020,10681987,25451,4031,11661,11532,34487,1338
08-Sep-2020,10680250,26027,4094,11850,11720,35191,1355
09-Sep-2020,10678486,26612,4158,12041,11911,35906,1373
10-Sep-2020,10676694,27205,4224,12236,12105,36632,1391
11-Sep-2020,10674873,27807,4292,12433,12302,37370,1409
12-Sep-2020,10673025,28418,4361,12633,12503,38121,1427
13-Sep-2020,10671147,29036,4431,12837,12706,38883,1446
14-Sep-2020,10669241,29663,4503,13043,12912,39658,1466
15-Sep-2020,10667307,30298,4576,13253,13122,40446,1485
16-Sep-2020,10665343,30942,4651,13466,13335,41246,1505
17-Sep-2020,10663350,31593,4728,13681,13551,42059,1525
18-Sep-2020,10661328,32251,4806,13900,13770,42886,1545
19-Sep-2020,10659276,32917,4886,14123,13993,43726,1566
20-Sep-2020,10657195,33591,4967,14348,14219,44579,1587
21-Sep-2020,10655084,34271,5050,14577,14449,45446,1609
22-Sep-2020,10652943,34959,5135,14810,14682,46328,1631
23-Sep-2020,10650772,35653,5221,15045,14919,47223,1653
24-Sep-2020,10648572,36354,5310,15285,15159,48133,1675
25-Sep-2020,10646341,37060,5399,15527,15403,49057,1698
26-Sep-2020,10644081,37773,5491,15774,15650,49997,1722
27-Sep-2020,10641790,38491,5584,16023,15902,50951,1745
28-Sep-2020,10639469,39214,5680,16277,16157,51921,1769
