datetime,S,NQ,ND,I,Q,R,D
29-Aug-2020,10696409,15429,3519,10086,7226,29768,1172
30-Aug-2020,10705999,5823,3535,9191,7490,30387,1185
31-Aug-2020,10709618,2198,3542,8375,7656,31024,1198
01-Sep-2020,10710984,829,3544,7631,7739,31671,1211
02-Sep-2020,10711499,313,3545,6954,7752,32322,1224
03-Sep-2020,10711694,118,3545,6337,7707,32972,1237
04-Sep-2020,10711767,45,3545,5774,7612,33615,1251
05-Sep-2020,10711795,17,3545,5261,7478,34249,1263
06-Sep-2020,10711806,6,3545,4794,7311,34871,1276
07-Sep-2020,10711810,2,3545,4369,7118,35477,1289
08-Sep-2020,10711811,1,3545,3981,6905,36066,1301
09-Sep-2020,10711812,0,3545,3628,6676,36636,1312
10-Sep-2020,10711812,0,3545,3305,6436,37187,1323
11-Sep-2020,10711812,0,3545,3012,6188,37718,1334
12-Sep-2020,10711812,0,3545,2745,5936,38227,1345
13-Sep-2020,10711812,0,3545,2501,5682,38715,1355
