datetime,S,NQ,ND,I,Q,R,D
02-Jan-2021,10308021,55237,19738,48650,54978,276808,7054
03-Jan-2021,10304159,54554,19873,49276,55344,280145,7137
04-Jan-2021,10300254,53860,20005,49907,55736,283505,7220
05-Jan-2021,10296305,53155,20137,50545,56151,286890,7304
06-Jan-2021,10292313,52441,20266,51190,56590,290300,7388
07-Jan-2021,10288276,51716,20393,51840,57050,293738,7473
08-Jan-2021,10284192,50983,20519,52498,57532,297204,7559
09-Jan-2021,10280062,50241,20643,53161,58035,300700,7646
10-Jan-2021,10275884,49490,20765,53831,58557,304227,7733
11-Jan-2021,10271657,48732,20885,54508,59099,307786,7821
12-Jan-2021,10267380,47966,21004,55191,59659,311378,7910
13-Jan-2021,10263052,47193,21120,55880,60236,315005,8000
14-Jan-2021,10258673,46414,21235,56576,60831,318667,8091
15-Jan-2021,10254240,45630,21348,57278,61443,322366,8182
16-Jan-2021,10249754,44840,21458,57987,62070,326102,8275
17-Jan-2021,10245214,44045,21567,58702,62714,329877,8368
18-Jan-2021,10240617,43246,21674,59424,63372,333691,8463
19-Jan-2021,10235964,42443,21779,60152,64045,337546,8558
20-Jan-2021,10231252,41637,21882,60887,64733,341441,8655
21-Jan-2021,10226482,40829,21983,61628,65435,345379,8752
22-Jan-2021,10221652,40018,22082,62375,66150,349359,8851
23-Jan-2021,10216762,39206,22179,63129,66878,353383,8950
24-Jan-2021,10211809,38392,22274,63889,67620,357452,9051
25-Jan-2021,10206794,37578,22367,64655,68374,361566,9153
26-Jan-2021,10201715,36764,22458,65428,69141,365726,9256
27-Jan-2021,10196571,35951,22547,66207,69919,369932,9360
28-Jan-2021,10191361,35139,22634,66992,70710,374187,9465
29-Jan-2021,10186084,34328,22719,67784,71512,378489,9572
30-Jan-2021,10180739,33520,22802,68581,72325,382840,9680
31-Jan-2021,10175326,32714,22883,69385,73149,387241,9789
01-Feb-2021,10169843,31911,22962,70195,73985,391691,9899
02-Feb-2021,10164290,31113,23039,71011,74831,396193,10010
03-Feb-2021,10158664,30318,23115,71832,75688,400746,10123
04-Feb-2021,10152967,29528,23188,72660,76555,405352,10237
05-Feb-2021,10147195,28744,23259,73494,77432,410010,10352
06-Feb-2021,10141350,27965,23329,74333,78319,414722,10469
07-Feb-2021,10135429,27193,23396,75178,79216,419487,10587
08-Feb-2021,10129433,26427,23462,76029,80123,424307,10706
09-Feb-2021,10123359,25668,23526,76885,81039,429182,10827
10-Feb-2021,10117208,24917,23588,77747,81965,434113,10949
11-Feb-2021,10110978,24174,23648,78614,82899,439101,11073
12-Feb-2021,10104669,23440,23706,79487,83843,444145,11198
13-Feb-2021,10098280,22715,23762,80365,84795,449246,11324
14-Feb-2021,10091810,21998,23817,81248,85757,454405,11452
15-Feb-2021,10085259,21292,23870,82136,86727,459623,11581
16-Feb-2021,10078625,20596,23922,83028,87705,464900,11712
17-Feb-2021,10071909,19910,23971,83926,88692,470236,11844
18-Feb-2021,10065109,19234,24019,84828,89687,475632,11977
19-Feb-2021,10058226,18570,24065,85735,90690,481088,12112
20-Feb-2021,10051258,17918,24110,86647,91700,486606,12249
21-Feb-2021,10044204,17277,24153,87562,92719,492185,12387
22-Feb-2021,10037066,16648,24195,88482,93745,497825,12527
23-Feb-2021,10029841,16031,24235,89406,94778,503528,12668
24-Feb-2021,10022530,15427,24273,90334,95819,509294,12811
25-Feb-2021,10015132,14835,24310,91265,96867,515123,12955
26-Feb-2021,10007646,14256,24346,92201,97922,521015,13101
27-Feb-2021,10000074,13690,24380,93139,98984,526972,13249
28-Feb-2021,9992413,13137,24413,94081,100052,532993,13398
01-Mar-2021,9984664,12598,24444,95026,101127,539079,13548
02-Mar-2021,9976828,12072,24475,95974,102208,545230,13701
03-Mar-2021,9968902,11559,24503,96925,103296,551446,13855
04-Mar-2021,9960888,11061,24531,97878,104389,557729,14010
05-Mar-2021,9952786,10575,24558,98834,105489,564078,14167
06-Mar-2021,9944595,10104,24583,99792,106594,570493,14326
07-Mar-2021,9936315,9646,24607,100752,107704,576976,14487
08-Mar-2021,9927946,9201,24630,101714,108820,583526,14649
09-Mar-2021,9919489,8771,24652,102678,109941,590144,14813
10-Mar-2021,9910943,8353,24673,103643,111067,596829,14978
11-Mar-2021,9902309,7950,24693,104609,112197,603583,15146
12-Mar-2021,9893587,7559,24712,105576,113332,610406,15315
13-Mar-2021,9884777,7182,24730,106544,114471,617297,15485
14-Mar-2021,9875879,6819,24747,107512,115615,624257,15658
15-Mar-2021,9866894,6468,24764,108481,116762,631287,15832
16-Mar-2021,9857821,6130,24779,109450,117913,638386,16007
17-Mar-2021,9848662,5805,24794,110419,119068,645555,16185
18-Mar-2021,9839417,5493,24807,111387,120225,652794,16364
19-Mar-2021,9830086,5192,24821,112355,121386,660102,16545
20-Mar-2021,9820669,4904,24833,113322,122549,667482,16728
21-Mar-2021,9811168,4628,24845,114288,123715,674931,16912
22-Mar-2021,9801582,4364,24856,115252,124883,682452,17099
23-Mar-2021,9791913,4111,24866,116215,126054,690043,17287
24-Mar-2021,9782161,3869,24876,117175,127226,697705,17476
25-Mar-2021,9772326,3638,24885,118134,128399,705437,17668
26-Mar-2021,9762409,3418,24894,119090,129574,713241,17861
27-Mar-2021,9752412,3208,24902,120044,130749,721116,18056
28-Mar-2021,9742335,3008,24909,120994,131926,729062,18253
29-Mar-2021,9732178,2818,24916,121941,133103,737080,18451
30-Mar-2021,9721942,2637,24923,122885,134280,745168,18652
31-Mar-2021,9711629,2466,24929,123825,135456,753328,18854
01-Apr-2021,9701238,2304,24935,124761,136633,761559,19057
02-Apr-2021,9690772,2150,24941,125692,137808,769861,19263
03-Apr-2021,9680230,2004,24946,126619,138983,778234,19470
04-Apr-2021,9669615,1867,24950,127540,140156,786678,19679
05-Apr-2021,9658926,1737,24955,128457,141328,795194,19890
06-Apr-2021,9648165,1615,24959,129368,142498,803780,20103
07-Apr-2021,9637333,1500,24963,130273,143665,812436,20317
08-Apr-2021,9626430,1391,24966,131172,144830,821163,20533
09-Apr-2021,9615459,1289,24970,132065,145992,829961,20751
10-Apr-2021,9604419,1194,24973,132950,147151,838829,20971
11-Apr-2021,9593313,1104,24975,133829,148307,847767,21192
12-Apr-2021,9582140,1020,24978,134701,149458,856774,21415
13-Apr-2021,9570903,941,24980,135565,150606,865852,21640
14-Apr-2021,9559603,868,24983,136421,151748,874998,21866
15-Apr-2021,9548240,799,24985,137268,152886,884214,22095
16-Apr-2021,9536816,736,24987,138108,154019,893498,22325
17-Apr-2021,9525331,676,24988,138938,155147,902850,22556
18-Apr-2021,9513788,621,24990,139760,156268,912271,22789
19-Apr-2021,9502188,569,24991,140572,157384,921759,23024
20-Apr-2021,9490531,521,24993,141374,158492,931315,23261
21-Apr-2021,9478818,477,24994,142167,159594,940937,23499
22-Apr-2021,9467053,436,24995,142949,160689,950626,23739
23-Apr-2021,9455234,398,24996,143721,161776,960381,23981
24-Apr-2021,9443364,363,24997,144482,162855,970201,24224
25-Apr-2021,9431445,331,24998,145232,163927,980087,24469
26-Apr-2021,9419476,301,24999,145970,164989,990037,24715
27-Apr-2021,9407460,274,24999,146697,166042,1000051,24963
28-Apr-2021,9395399,249,25000,147412,167087,1010128,25213
29-Apr-2021,9383292,226,25000,148115,168121,1020269,25464
30-Apr-2021,9371142,204,25001,148806,169146,1030471,25716
01-May-2021,9358951,185,25001,149483,170160,1040736,25970
02-May-2021,9346719,167,25002,150148,171164,1051061,26226
03-May-2021,9334447,151,25002,150800,172157,1061447,26483
04-May-2021,9322138,136,25003,151438,173138,1071892,26742
05-May-2021,9309792,123,25003,152062,174108,1082397,27002
06-May-2021,9297412,110,25003,152673,175065,1092960,27264
07-May-2021,9284997,99,25004,153269,176011,1103580,27527
08-May-2021,9272551,89,25004,153851,176944,1114257,27791
09-May-2021,9260074,80,25004,154419,177863,1124991,28057
10-May-2021,9247567,72,25004,154971,178770,1135779,28324
11-May-2021,9235033,64,25004,155509,179662,1146622,28592
12-May-2021,9222472,57,25004,156031,180541,1157519,28862
13-May-2021,9209886,51,25005,156538,181406,1168468,29133
14-May-2021,9197277,46,25005,157029,182256,1179469,29406
15-May-2021,9184646,41,25005,157504,183091,1190521,29679
16-May-2021,9171994,36,25005,157964,183911,1201623,29954
17-May-2021,9159323,32,25005,158407,184715,1212775,30230
18-May-2021,9146634,28,25005,158834,185504,1223974,30508
19-May-2021,9133929,25,25005,159244,186277,1235221,30786
20-May-2021,9121209,22,25005,159637,187033,1246514,31066
21-May-2021,9108476,20,25005,160014,187773,1257852,31347
22-May-2021,9095731,17,25005,160374,188496,1269235,31629
23-May-2021,9082976,15,25005,160716,189202,1280661,31911
24-May-2021,9070212,14,25005,161042,189890,1292128,32195
25-May-2021,9057441,12,25005,161350,190561,1303637,32480
26-May-2021,9044664,10,25005,161640,191214,1315187,32766
27-May-2021,9031883,9,25005,161913,191848,1326775,33053
28-May-2021,9019098,8,25005,162169,192465,1338400,33341
29-May-2021,9006313,7,25005,162406,193062,1350063,33630
30-May-2021,8993527,6,25005,162626,193641,1361761,33920
31-May-2021,8980743,5,25005,162828,194201,1373494,34210
01-Jun-2021,8967961,5,25006,163012,194742,1385260,34502
02-Jun-2021,8955184,4,25006,163178,195264,1397058,34794
03-Jun-2021,8942413,4,25006,163326,195765,1408887,35087
04-Jun-2021,8929650,3,25006,163455,196247,1420746,35380
05-Jun-2021,8916895,3,25006,163567,196709,1432633,35675
06-Jun-2021,8904150,2,25006,163660,197151,1444548,35970
07-Jun-2021,8891417,2,25006,163735,197573,1456489,36265
08-Jun-2021,8878697,2,25006,163792,197974,1468455,36562
09-Jun-2021,8865991,2,25006,163831,198355,1480444,36858
10-Jun-2021,8853301,1,25006,163852,198715,1492456,37156
11-Jun-2021,8840629,1,25006,163854,199055,1504489,37454
12-Jun-2021,8827975,1,25006,163839,199373,1516542,37752
13-Jun-2021,8815341,1,25006,163805,199670,1528613,38051
14-Jun-2021,8802728,1,25006,163753,199947,1540702,38351
15-Jun-2021,8790139,1,25006,163683,200202,1552807,38650
16-Jun-2021,8777573,1,25006,163595,200436,1564927,38950
17-Jun-2021,8765032,0,25006,163490,200648,1577060,39251
18-Jun-2021,8752519,0,25006,163366,200839,1589205,39552
19-Jun-2021,8740033,0,25006,163225,201009,1601362,39853
20-Jun-2021,8727576,0,25006,163066,201157,1613528,40154
21-Jun-2021,8715150,0,25006,162890,201284,1625702,40455
22-Jun-2021,8702756,0,25006,162696,201390,1637883,40757
23-Jun-2021,8690395,0,25006,162484,201473,1650070,41059
24-Jun-2021,8678068,0,25006,162256,201535,1662262,41361
25-Jun-2021,8665776,0,25006,162010,201576,1674456,41663
26-Jun-2021,8653521,0,25006,161747,201595,1686653,41965
27-Jun-2021,8641304,0,25006,161468,201593,1698850,42267
28-Jun-2021,8629126,0,25006,161172,201569,1711046,42569
29-Jun-2021,8616988,0,25006,160859,201524,1723240,42871
30-Jun-2021,8604891,0,25006,160530,201458,1735430,43172
01-Jul-2021,8592837,0,25006,160184,201370,1747616,43474
02-Jul-2021,8580826,0,25006,159823,201261,1759796,43776
03-Jul-2021,8568859,0,25006,159446,201131,1771969,44077
04-Jul-2021,8556938,0,25006,159053,200979,1784133,44378
05-Jul-2021,8545063,0,25006,158644,200807,1796288,44679
06-Jul-2021,8533236,0,25006,158220,200614,1808431,44980
07-Jul-2021,8521458,0,25006,157781,200400,1820562,45280
08-Jul-2021,8509728,0,25006,157327,200166,1832680,45580
09-Jul-2021,8498050,0,25006,156858,199911,1844783,45880
10-Jul-2021,8486422,0,25006,156375,199635,1856869,46179
11-Jul-2021,8474847,0,25006,155877,199340,1868939,46478
12-Jul-2021,8463325,0,25006,155365,199024,1880990,46777
13-Jul-2021,8451858,0,25006,154840,198689,1893021,47075
14-Jul-2021,8440444,0,25006,154301,198333,1905031,47372
15-Jul-2021,8429087,0,25006,153748,197958,1917019,47669
16-Jul-2021,8417786,0,25006,153182,197564,1928984,47965
17-Jul-2021,8406542,0,25006,152603,197150,1940925,48261
18-Jul-2021,8395356,0,25006,152012,196718,1952840,48556
19-Jul-2021,8384229,0,25006,151408,196266,1964728,48850
20-Jul-2021,8373161,0,25006,150791,195796,1976588,49144
21-Jul-2021,8362154,0,25006,150163,195308,1988420,49437
22-Jul-2021,8351207,0,25006,149523,194801,2000221,49729
23-Jul-2021,8340321,0,25006,148872,194277,2011991,50021
24-Jul-2021,8329498,0,25006,148209,193735,2023729,50311
25-Jul-2021,8318737,0,25006,147535,193175,2035433,50601
26-Jul-2021,8308040,0,25006,146851,192598,2047103,50890
27-Jul-2021,8297406,0,25006,146156,192004,2058738,51178
28-Jul-2021,8286836,0,25006,145451,191393,2070336,51465
29-Jul-2021,8276332,0,25006,144736,190765,2081897,51752
30-Jul-2021,8265893,0,25006,144011,190122,2093419,52037
31-Jul-2021,8255519,0,25006,143277,189462,2104902,52321
01-Aug-2021,8245212,0,25006,142534,188787,2116344,52605
02-Aug-2021,8234971,0,25006,141782,188096,2127745,52887
03-Aug-2021,8224798,0,25006,141021,187390,2139104,53168
04-Aug-2021,8214692,0,25006,140252,186669,2150420,53448
05-Aug-2021,8204654,0,25006,139475,185934,2161691,53727
06-Aug-2021,8194684,0,25006,138690,185184,2172918,54005
07-Aug-2021,8184783,0,25006,137898,184420,2184099,54282
08-Aug-2021,8174950,0,25006,137098,183642,2195233,54558
09-Aug-2021,8165187,0,25006,136291,182851,2206320,54833
10-Aug-2021,8155493,0,25006,135478,182046,2217358,55106
11-Aug-2021,8145869,0,25006,134658,181229,2228348,55378
12-Aug-2021,8136315,0,25006,133831,180399,2239287,55649
13-Aug-2021,8126831,0,25006,132999,179557,2250176,55919
14-Aug-2021,8117417,0,25006,132161,178703,2261014,56187
15-Aug-2021,8108073,0,25006,131317,177837,2271800,56454
16-Aug-2021,8098801,0,25006,130468,176960,2282533,56720
17-Aug-2021,8089599,0,25006,129614,176071,2293212,56984
18-Aug-2021,8080468,0,25006,128756,175172,2303838,57247
19-Aug-2021,8071408,0,25006,127893,174263,2314409,57509
20-Aug-2021,8062420,0,25006,127026,173343,2324924,57769
21-Aug-2021,8053502,0,25006,126154,172413,2335383,58028
22-Aug-2021,8044656,0,25006,125279,171474,2345786,58286
23-Aug-2021,8035881,0,25006,124401,170525,2356132,58542
24-Aug-2021,8027177,0,25006,123519,169568,2366420,58797
25-Aug-2021,8018545,0,25006,122634,168602,2376650,59050
26-Aug-2021,8009984,0,25006,121747,167627,2386821,59302
27-Aug-2021,8001495,0,25006,120856,166644,2396933,59553
28-Aug-2021,7993076,0,25006,119964,165654,2406986,59801
29-Aug-2021,7984729,0,25006,119069,164656,2416978,60049
30-Aug-2021,7976454,0,25006,118172,163651,2426910,60295
31-Aug-2021,7968249,0,25006,117274,162639,2436780,60539
01-Sep-2021,7960115,0,25006,116374,161621,2446589,60782
02-Sep-2021,7952052,0,25006,115473,160596,2456337,61023
03-Sep-2021,7944060,0,25006,114571,159565,2466022,61263
04-Sep-2021,7936139,0,25006,113668,158529,2475644,61502
05-Sep-2021,7928288,0,25006,112764,157487,2485204,61738
06-Sep-2021,7920507,0,25006,111860,156440,2494701,61973
07-Sep-2021,7912797,0,25006,110956,155388,2504134,62207
08-Sep-2021,7905157,0,25006,110051,154331,2513503,62439
09-Sep-2021,7897586,0,25006,109147,153271,2522808,62669
10-Sep-2021,7890085,0,25006,108243,152206,2532049,62898
11-Sep-2021,7882654,0,25006,107339,151137,2541226,63125
12-Sep-2021,7875291,0,25006,106437,150065,2550337,63351
13-Sep-2021,7867998,0,25006,105535,148990,2559384,63575
14-Sep-2021,7860773,0,25006,104633,147912,2568365,63798
15-Sep-2021,7853617,0,25006,103734,146831,2577282,64018
16-Sep-2021,7846529,0,25006,102835,145748,2586132,64237
17-Sep-2021,7839509,0,25006,101938,144662,2594918,64455
18-Sep-2021,7832556,0,25006,101043,143574,2603637,64671
