datetime,S,NQ,ND,I,Q,R,D
26-Mar-2021,9585877,1838,25394,148016,163892,824569,20901
27-Mar-2021,9574329,1689,25396,146042,163527,838322,21182
28-Mar-2021,9562941,1549,25399,144080,163016,852038,21462
29-Mar-2021,9551713,1420,25402,142132,162373,865706,21741
30-Mar-2021,9540642,1300,25404,140197,161610,879315,22019
31-Mar-2021,9529728,1190,25406,138275,160738,892854,22296
01-Apr-2021,9518970,1087,25408,136368,159767,906317,22570
02-Apr-2021,9508367,992,25410,134475,158706,919693,22843
03-Apr-2021,9497917,905,25411,132597,157565,932978,23115
04-Apr-2021,9487619,825,25413,130734,156350,946163,23384
05-Apr-2021,9477472,751,25414,128886,155071,959244,23651
06-Apr-2021,9467474,683,25415,127053,153732,972214,23916
07-Apr-2021,9457625,620,25416,125236,152341,985070,24178
08-Apr-2021,9447924,563,25417,123436,150902,997807,24438
09-Apr-2021,9438368,511,25418,121651,149423,1010421,24696
10-Apr-2021,9428956,463,25419,119883,147906,1022909,24951
