datetime,S,Q,R,D,Q_s,R_s,D_s
05-Jun-2020,10757860,4401,2751,532,4401,10,532
06-Jun-2020,10755326,5032,3065,767,5197,329,771
07-Jun-2020,10752368,5762,3424,1037,6136,706,1054
08-Jun-2020,10748914,6608,3836,1346,7245,1151,1388
09-Jun-2020,10744879,7589,4308,1700,8552,1677,1782
10-Jun-2020,10740162,8729,4851,2107,10095,2297,2247
11-Jun-2020,10734642,10053,5476,2576,11914,3029,2796
12-Jun-2020,10728186,11594,6196,3116,14058,3893,3444
13-Jun-2020,10720632,13386,7027,3739,16583,4911,4208
14-Jun-2020,10711786,15473,7988,4459,19558,6113,5110
15-Jun-2020,10701429,17905,9098,5292,23059,7531,6173
16-Jun-2020,10689298,20739,10384,6257,27179,9203,7426
17-Jun-2020,10675098,24042,11875,7375,32022,11172,8904
18-Jun-2020,10658484,27891,13602,8670,37707,13491,10643
19-Jun-2020,10639045,32375,15606,10174,44378,16220,12689
20-Jun-2020,10616305,37602,17934,11919,52196,19432,15098
21-Jun-2020,10589723,43690,20639,13948,61345,23209,17931
22-Jun-2020,10558687,50774,23783,16306,72030,27647,21260
23-Jun-2020,10522487,59010,27437,19047,84485,32855,25166
24-Jun-2020,10480313,68576,31682,22230,98982,38959,29744
25-Jun-2020,10431255,79671,36613,25929,115812,46104,35102
26-Jun-2020,10374300,92515,42341,30225,135283,54457,41367
27-Jun-2020,10308334,107347,48991,35212,157719,64205,48679
28-Jun-2020,10232139,124428,56704,40997,183465,75559,57194
29-Jun-2020,10144481,144018,65637,47697,212831,88742,67081
30-Jun-2020,10043949,166414,75970,55446,246163,104012,78533
01-Jul-2020,9928945,191958,87902,64396,283856,121661,91770
02-Jul-2020,9798033,220938,101652,74708,326157,141985,107013
03-Jul-2020,9649947,253595,117452,86558,373166,165282,124486
04-Jul-2020,9483589,290115,135551,100132,424830,191856,144416
05-Jul-2020,9298030,330632,156211,115627,480945,222010,167032
06-Jul-2020,9092512,375229,179711,133252,541175,256048,192561
07-Jul-2020,8866679,423875,206287,153184,605100,294193,221169
08-Jul-2020,8620962,476337,236236,175646,671595,336678,253033
09-Jul-2020,8356366,532219,269829,200841,739298,383663,288272
10-Jul-2020,8074425,590970,307278,228927,806771,435195,326921
11-Jul-2020,7777205,651885,348736,260021,872502,491207,368930
12-Jul-2020,7467302,714100,394300,294194,934906,551521,414165
13-Jul-2020,7147844,776598,444004,331472,992321,615841,462406
14-Jul-2020,6822490,838205,497829,371840,1043013,683764,513347
15-Jul-2020,6495427,897592,555691,415237,1085170,754768,566601
16-Jul-2020,6170715,953472,617470,461571,1117144,828338,621778
17-Jul-2020,5851572,1004842,682864,510617,1138474,903767,678350
18-Jul-2020,5540959,1050820,751481,562080,1149211,980235,735701
19-Jul-2020,5241406,1090676,822913,615653,1149586,1056988,793265
20-Jul-2020,4955020,1123840,896733,671018,1140014,1133335,850526
21-Jul-2020,4683481,1149902,972501,727845,1121093,1208652,907014
22-Jul-2020,4428039,1168604,1049762,785790,1093604,1282380,962309
23-Jul-2020,4189520,1179850,1128042,844500,1058511,1354023,1016042
24-Jul-2020,3968322,1183698,1206854,903609,1016961,1423153,1067889
25-Jul-2020,3764405,1180374,1285698,962742,970304,1489394,1117570
26-Jul-2020,3577041,1170440,1364123,1021561,920206,1552338,1164778
27-Jul-2020,3405244,1154653,1441706,1079748,867899,1611836,1209401
28-Jul-2020,3248059,1133734,1518059,1137013,814385,1667835,1251401
29-Jul-2020,3104541,1108367,1592848,1193105,760556,1720312,1290758
30-Jul-2020,2973751,1079198,1665787,1247809,707191,1769272,1327479
31-Jul-2020,2854756,1046840,1736640,1300949,654961,1814752,1361589
01-Aug-2020,2746632,1011867,1805224,1352386,604426,1856816,1393136
02-Aug-2020,2648460,974820,1871402,1402020,556033,1895558,1422193
03-Aug-2020,2559331,936205,1935089,1449785,510121,1931104,1448852
04-Aug-2020,2478418,896591,1996153,1495583,466822,1963655,1473266
05-Aug-2020,2404975,856431,2054540,1539373,426174,1993411,1495583
06-Aug-2020,2338300,816084,2110253,1581159,388203,2020551,1515938
07-Aug-2020,2277749,775871,2163307,1620949,352904,2045248,1534460
08-Aug-2020,2222735,736079,2213719,1658758,320239,2067675,1551281
09-Aug-2020,2172729,696959,2261521,1694609,290139,2088003,1566527
10-Aug-2020,2127260,658724,2306748,1728530,262499,2106401,1580325
11-Aug-2020,2085916,621552,2349447,1760554,237184,2123034,1592800
12-Aug-2020,2048323,585589,2389677,1790727,214032,2138065,1604073
13-Aug-2020,2014102,550931,2427539,1819123,192910,2151634,1614250
14-Aug-2020,1982943,517622,2463134,1845820,173690,2163859,1623419
15-Aug-2020,1954566,485699,2496564,1870892,156245,2174856,1631666
16-Aug-2020,1928712,455187,2527923,1894411,140447,2184733,1639075
17-Aug-2020,1905144,426106,2557304,1916447,126163,2193599,1645724
18-Aug-2020,1883645,398468,2584798,1937067,113262,2201556,1651691
19-Aug-2020,1864019,372278,2610489,1956336,101610,2208702,1657051
20-Aug-2020,1846095,347518,2634472,1974323,91085,2215125,1661869
21-Aug-2020,1829722,324137,2656848,1991105,81598,2220887,1666190
22-Aug-2020,1814768,302086,2677711,2006752,73064,2226046,1670059
23-Aug-2020,1801110,281317,2697149,2021331,65401,2230660,1673519
24-Aug-2020,1788631,261783,2715248,2034905,58529,2234781,1676611
25-Aug-2020,1777224,243438,2732087,2047534,52368,2238464,1679372
26-Aug-2020,1766790,226239,2747742,2059275,46841,2241757,1681843
27-Aug-2020,1757239,210142,2762283,2070181,41876,2244709,1684057
28-Aug-2020,1748495,195089,2775785,2080307,37418,2247353,1686040
29-Aug-2020,1740492,181021,2788316,2089706,33424,2249717,1687812
30-Aug-2020,1733168,167883,2799941,2098425,29851,2251826,1689394
31-Aug-2020,1726465,155624,2810720,2106509,26659,2253707,1690804
01-Sep-2020,1720329,144195,2820709,2114001,23808,2255384,1692062
02-Sep-2020,1714709,133549,2829964,2120941,21259,2256880,1693184
03-Sep-2020,1709559,123643,2838533,2127368,18978,2258218,1694188
04-Sep-2020,1704838,114431,2846466,2133318,16934,2259415,1695086
05-Sep-2020,1700512,105868,2853806,2138823,15107,2260484,1695887
06-Sep-2020,1696549,97912,2860596,2143916,13476,2261437,1696602
07-Sep-2020,1692917,90526,2866874,2148624,12022,2262285,1697238
08-Sep-2020,1689590,83671,2872677,2152976,10725,2263041,1697806
09-Sep-2020,1686541,77313,2878040,2156999,9568,2263715,1698311
10-Sep-2020,1683744,71419,2882995,2160715,8534,2264317,1698763
11-Sep-2020,1681179,65957,2887572,2164148,7609,2264855,1699166
12-Sep-2020,1678826,60898,2891799,2167318,6784,2265335,1699526
13-Sep-2020,1676670,56214,2895701,2170245,6048,2265763,1699847
14-Sep-2020,1674693,51878,2899302,2172946,5392,2266144,1700132
15-Sep-2020,1672880,47867,2902625,2175437,4808,2266483,1700387
16-Sep-2020,1671218,44157,2905690,2177736,4287,2266785,1700613
17-Sep-2020,1669693,40726,2908518,2179857,3822,2267055,1700816
18-Sep-2020,1668294,37555,2911126,2181813,3406,2267296,1700996
19-Sep-2020,1667011,34624,2913531,2183617,3035,2267511,1701157
20-Sep-2020,1665834,31917,2915749,2185280,2705,2267702,1701301
21-Sep-2020,1664754,29417,2917792,2186813,2411,2267872,1701429
22-Sep-2020,1663764,27108,2919674,2188225,2149,2268024,1701542
23-Sep-2020,1662856,24977,2921409,2189526,1916,2268159,1701644
24-Sep-2020,1662023,23011,2923008,2190725,1708,2268279,1701734
25-Sep-2020,1661258,21195,2924481,2191829,1522,2268387,1701815
26-Sep-2020,1660557,19521,2925838,2192847,1356,2268483,1701887
27-Sep-2020,1659913,17976,2927087,2193784,1208,2268568,1701951
28-Sep-2020,1659323,16552,2928237,2194647,1076,2268644,1702008
29-Sep-2020,1658781,15239,2929296,2195441,959,2268712,1702058
30-Sep-2020,1658285,14029,2930271,2196172,855,2268772,1702104
01-Oct-2020,1657829,12913,2931168,2196845,762,2268826,1702144
02-Oct-2020,1657410,11884,2931995,2197465,679,2268874,1702180
03-Oct-2020,1657026,10937,2932755,2198035,605,2268917,1702212
04-Oct-2020,1656674,10064,2933455,2198560,539,2268955,1702241
05-Oct-2020,1656351,9260,2934098,2199043,480,2268989,1702266
06-Oct-2020,1656055,8519,2934690,2199487,428,2269019,1702289
07-Oct-2020,1655783,7838,2935235,2199895,381,2269046,1702309
08-Oct-2020,1655533,7209,2935737,2200271,340,2269070,1702327
09-Oct-2020,1655304,6631,2936198,2200617,303,2269091,1702343
10-Oct-2020,1655094,6099,2936622,2200935,270,2269110,1702357
11-Oct-2020,1654901,5609,2937012,2201228,240,2269127,1702370
12-Oct-2020,1654724,5158,2937371,2201497,214,2269143,1702381
13-Oct-2020,1654562,4743,2937700,2201744,191,2269156,1702392
14-Oct-2020,1654413,4361,2938003,2201971,170,2269168,1702401
15-Oct-2020,1654276,4009,2938282,2202180,151,2269179,1702409
16-Oct-2020,1654151,3686,2938539,2202373,135,2269188,1702416
17-Oct-2020,1654035,3388,2938774,2202550,120,2269197,1702422
18-Oct-2020,1653930,3115,2938991,2202712,107,2269204,1702428
19-Oct-2020,1653833,2863,2939190,2202861,95,2269211,1702433
20-Oct-2020,1653744,2632,2939373,2202999,85,2269217,1702437
21-Oct-2020,1653662,2419,2939541,2203125,76,2269222,1702441
22-Oct-2020,1653588,2223,2939696,2203241,68,2269227,1702445
23-Oct-2020,1653519,2043,2939838,2203347,60,2269231,1702448
24-Oct-2020,1653456,1877,2939969,2203445,54,2269235,1702451
25-Oct-2020,1653398,1725,2940089,2203535,48,2269239,1702453
26-Oct-2020,1653345,1585,2940199,2203618,43,2269242,1702456
27-Oct-2020,1653296,1457,2940300,2203694,38,2269244,1702458
28-Oct-2020,1653251,1338,2940393,2203764,34,2269247,1702460
29-Oct-2020,1653210,1230,2940479,2203828,30,2269249,1702461
30-Oct-2020,1653173,1130,2940558,2203887,27,2269251,1702463
31-Oct-2020,1653138,1038,2940630,2203941,24,2269252,1702464
01-Nov-2020,1653107,953,2940696,2203991,21,2269254,1702465
02-Nov-2020,1653077,876,2940757,2204037,19,2269255,1702466
03-Nov-2020,1653051,805,2940813,2204079,17,2269256,1702467
04-Nov-2020,1653026,739,2940864,2204117,15,2269257,1702468
05-Nov-2020,1653004,679,2940912,2204153,13,2269258,1702468
06-Nov-2020,1652983,623,2940955,2204185,12,2269259,1702469
07-Nov-2020,1652964,573,2940995,2204215,11,2269260,1702470
08-Nov-2020,1652947,526,2941032,2204242,9,2269261,1702470
09-Nov-2020,1652931,483,2941065,2204268,8,2269261,1702470
10-Nov-2020,1652916,444,2941096,2204291,8,2269262,1702471
11-Nov-2020,1652903,407,2941124,2204312,7,2269262,1702471
12-Nov-2020,1652891,374,2941150,2204332,6,2269263,1702472
13-Nov-2020,1652879,344,2941174,2204349,5,2269263,1702472
14-Nov-2020,1652869,316,2941196,2204366,5,2269263,1702472
15-Nov-2020,1652859,290,2941216,2204381,4,2269264,1702472
16-Nov-2020,1652851,266,2941235,2204395,4,2269264,1702472
17-Nov-2020,1652843,244,2941252,2204408,3,2269264,1702473
18-Nov-2020,1652835,224,2941268,2204419,3,2269264,1702473
19-Nov-2020,1652829,206,2941282,2204430,3,2269265,1702473
20-Nov-2020,1652822,189,2941295,2204440,2,2269265,1702473
21-Nov-2020,1652817,174,2941307,2204449,2,2269265,1702473
22-Nov-2020,1652812,159,2941318,2204457,2,2269265,1702473
23-Nov-2020,1652807,146,2941328,2204465,2,2269265,1702473
24-Nov-2020,1652802,134,2941338,2204472,1,2269265,1702473
25-Nov-2020,1652798,123,2941346,2204479,1,2269265,1702474
26-Nov-2020,1652795,113,2941354,2204484,1,2269265,1702474
27-Nov-2020,1652791,104,2941362,2204490,1,2269266,1702474
28-Nov-2020,1652788,96,2941368,2204495,1,2269266,1702474
29-Nov-2020,1652785,88,2941374,2204499,1,2269266,1702474
30-Nov-2020,1652783,81,2941380,2204504,1,2269266,1702474
01-Dec-2020,1652780,74,2941385,2204508,1,2269266,1702474
02-Dec-2020,1652778,68,2941390,2204511,1,2269266,1702474
03-Dec-2020,1652776,62,2941394,2204514,1,2269266,1702474
04-Dec-2020,1652774,57,2941398,2204517,0,2269266,1702474
05-Dec-2020,1652772,52,2941402,2204520,0,2269266,1702474
06-Dec-2020,1652771,48,2941405,2204523,0,2269266,1702474
07-Dec-2020,1652769,44,2941408,2204525,0,2269266,1702474
08-Dec-2020,1652768,41,2941411,2204527,0,2269266,1702474
09-Dec-2020,1652767,37,2941414,2204529,0,2269266,1702474
10-Dec-2020,1652766,34,2941416,2204531,0,2269266,1702474
11-Dec-2020,1652765,31,2941418,2204532,0,2269266,1702474
12-Dec-2020,1652764,29,2941420,2204534,0,2269266,1702474
13-Dec-2020,1652763,26,2941422,2204535,0,2269266,1702474
14-Dec-2020,1652762,24,2941424,2204537,0,2269266,1702474
15-Dec-2020,1652761,22,2941425,2204538,0,2269266,1702474
16-Dec-2020,1652761,20,2941427,2204539,0,2269266,1702474
17-Dec-2020,1652760,19,2941428,2204540,0,2269266,1702474
18-Dec-2020,1652760,17,2941429,2204541,0,2269266,1702474
19-Dec-2020,1652759,16,2941430,2204541,0,2269266,1702474
20-Dec-2020,1652759,15,2941431,2204542,0,2269266,1702474
21-Dec-2020,1652758,13,2941432,2204543,0,2269266,1702474
22-Dec-2020,1652758,12,2941433,2204544,0,2269266,1702474
23-Dec-2020,1652757,11,2941434,2204544,0,2269266,1702474
24-Dec-2020,1652757,10,2941435,2204545,0,2269266,1702474
25-Dec-2020,1652757,9,2941435,2204545,0,2269266,1702474
26-Dec-2020,1652757,9,2941436,2204546,0,2269266,1702474
27-Dec-2020,1652756,8,2941436,2204546,0,2269266,1702474
28-Dec-2020,1652756,7,2941437,2204546,0,2269266,1702474
29-Dec-2020,1652756,7,2941437,2204547,0,2269266,1702474
30-Dec-2020,1652756,6,2941438,2204547,0,2269266,1702474
31-Dec-2020,1652755,6,2941438,2204547,0,2269266,1702474
01-Jan-2021,1652755,5,2941439,2204548,0,2269266,1702474
02-Jan-2021,1652755,5,2941439,2204548,0,2269266,1702474
03-Jan-2021,1652755,4,2941439,2204548,0,2269266,1702474
04-Jan-2021,1652755,4,2941439,2204548,0,2269266,1702474
05-Jan-2021,1652755,4,2941440,2204549,0,2269266,1702474
06-Jan-2021,1652755,3,2941440,2204549,0,2269266,1702474
07-Jan-2021,1652755,3,2941440,2204549,0,2269266,1702474
