datetime,S,Q,R,D,Q_s,R_s,D_s
05-Jun-2020,10757860,4401,2751,532,4401,10,532
06-Jun-2020,10756987,4465,3019,554,4646,283,555
07-Jun-2020,10756080,4530,3291,577,4906,572,578
08-Jun-2020,10755137,4596,3567,599,5179,877,604
09-Jun-2020,10754156,4663,3847,623,5468,1199,630
10-Jun-2020,10753137,4731,4131,646,5773,1538,658
11-Jun-2020,10752076,4799,4419,670,6094,1897,688
12-Jun-2020,10750971,4869,4711,694,6434,2276,719
13-Jun-2020,10749822,4940,5007,719,6792,2675,752
14-Jun-2020,10748624,5011,5308,743,7170,3097,787
15-Jun-2020,10747376,5084,5613,769,7570,3543,824
16-Jun-2020,10746076,5157,5923,794,7991,4013,863
17-Jun-2020,10744720,5232,6237,820,8436,4510,904
18-Jun-2020,10743306,5308,6556,847,8905,5034,947
19-Jun-2020,10741831,5384,6879,873,9400,5587,993
20-Jun-2020,10740292,5462,7207,900,9923,6171,1042
21-Jun-2020,10738685,5541,7539,928,10474,6787,1092
22-Jun-2020,10737007,5621,7877,956,11056,7438,1146
23-Jun-2020,10735254,5702,8219,984,11670,8125,1203
24-Jun-2020,10733424,5784,8566,1013,12318,8850,1263
25-Jun-2020,10731510,5867,8919,1042,13002,9615,1326
26-Jun-2020,10729510,5952,9276,1072,13723,10423,1393
27-Jun-2020,10727419,6037,9638,1102,14484,11275,1464
28-Jun-2020,10725232,6124,10006,1132,15287,12175,1538
29-Jun-2020,10722944,6211,10379,1163,16134,13125,1617
30-Jun-2020,10720549,6300,10757,1194,17028,14127,1699
01-Jul-2020,10718044,6390,11141,1226,17970,15185,1787
02-Jul-2020,10715421,6481,11530,1258,18964,16301,1879
03-Jul-2020,10712675,6574,11924,1291,20013,17479,1977
04-Jul-2020,10709799,6667,12325,1324,21119,18722,2079
05-Jul-2020,10706787,6762,12730,1357,22285,20034,2188
06-Jul-2020,10703631,6858,13142,1391,23515,21418,2302
07-Jul-2020,10700324,6955,13560,1426,24812,22878,2423
08-Jul-2020,10696858,7053,13983,1461,26179,24420,2551
09-Jul-2020,10693226,7153,14413,1496,27621,26046,2685
10-Jul-2020,10689418,7254,14848,1532,29141,27761,2827
11-Jul-2020,10685425,7356,15290,1569,30744,29571,2977
12-Jul-2020,10681239,7459,15738,1606,32433,31480,3135
13-Jul-2020,10676848,7563,16192,1644,34214,33495,3301
14-Jul-2020,10672242,7669,16652,1682,36090,35619,3477
15-Jul-2020,10667411,7776,17119,1720,38068,37861,3662
16-Jul-2020,10662343,7884,17593,1759,40152,40225,3858
17-Jul-2020,10657025,7993,18073,1799,42347,42718,4064
18-Jul-2020,10651445,8104,18559,1839,44660,45348,4281
19-Jul-2020,10645589,8216,19052,1880,47096,48121,4511
20-Jul-2020,10639445,8329,19553,1921,49663,51045,4753
21-Jul-2020,10632996,8443,20060,1963,52365,54129,5008
22-Jul-2020,10626227,8558,20573,2006,55211,57380,5276
23-Jul-2020,10619123,8674,21094,2049,58207,60808,5560
24-Jul-2020,10611666,8792,21622,2093,61360,64421,5859
25-Jul-2020,10603840,8910,22158,2137,64680,68231,6174
26-Jul-2020,10595624,9030,22700,2182,68173,72246,6506
27-Jul-2020,10587001,9151,23249,2227,71848,76478,6856
28-Jul-2020,10577951,9273,23806,2273,75714,80938,7225
29-Jul-2020,10568451,9396,24371,2320,79781,85637,7613
30-Jul-2020,10558480,9519,24943,2367,84057,90589,8023
31-Jul-2020,10548016,9644,25522,2415,88553,95806,8454
01-Aug-2020,10537034,9770,26109,2464,93278,101301,8909
02-Aug-2020,10525509,9896,26703,2513,98244,107090,9387
03-Aug-2020,10513417,10023,27305,2563,103461,113186,9892
04-Aug-2020,10500729,10151,27915,2613,108941,119605,10423
05-Aug-2020,10487419,10280,28533,2664,114695,126364,10981
06-Aug-2020,10473456,10409,29158,2716,120735,133480,11570
07-Aug-2020,10458812,10539,29792,2768,127075,140970,12189
08-Aug-2020,10443454,10670,30433,2821,133725,148852,12841
09-Aug-2020,10427351,10800,31082,2875,140701,157146,13527
10-Aug-2020,10410470,10931,31739,2929,148014,165872,14249
11-Aug-2020,10392776,11063,32404,2984,155678,175051,15008
12-Aug-2020,10374233,11194,33076,3040,163707,184704,15806
13-Aug-2020,10354806,11326,33757,3096,172116,194854,16646
14-Aug-2020,10334456,11457,34446,3153,180919,205524,17528
15-Aug-2020,10313146,11588,35143,3211,190129,216738,18455
16-Aug-2020,10290835,11719,35847,3269,199762,228523,19430
17-Aug-2020,10267484,11849,36560,3328,209831,240902,20454
18-Aug-2020,10243051,11979,37280,3388,220353,253904,21529
19-Aug-2020,10217495,12108,38008,3448,231340,267556,22658
20-Aug-2020,10190772,12236,38744,3509,242807,281887,23843
21-Aug-2020,10162839,12364,39488,3570,254768,296926,25087
22-Aug-2020,10133653,12489,40239,3632,267237,312704,26392
23-Aug-2020,10103170,12614,40998,3695,280227,329251,27760
24-Aug-2020,10071345,12737,41764,3758,293751,346599,29195
25-Aug-2020,10038134,12858,42538,3822,307821,364782,30699
26-Aug-2020,10003492,12977,43319,3887,322448,383832,32274
27-Aug-2020,9967376,13094,44107,3952,337643,403784,33924
28-Aug-2020,9929741,13208,44902,4018,353414,424671,35651
29-Aug-2020,9890546,13320,45704,4084,369771,446530,37459
30-Aug-2020,9849747,13429,46513,4151,386720,469395,39350
31-Aug-2020,9807304,13534,47328,4219,404266,493304,41327
01-Sep-2020,9763178,13637,48149,4286,422414,518291,43394
02-Sep-2020,9717331,13735,48977,4355,441164,544394,45553
03-Sep-2020,9669726,13830,49810,4424,460517,571648,47806
04-Sep-2020,9620332,13920,50649,4493,480470,600091,50159
05-Sep-2020,9569116,14006,51493,4563,501019,629758,52612
06-Sep-2020,9516050,14088,52342,4633,522156,660685,55170
07-Sep-2020,9461111,14164,53197,4704,543872,692908,57835
08-Sep-2020,9404276,14235,54055,4775,566153,726461,60610
09-Sep-2020,9345529,14300,54918,4846,588983,761378,63497
10-Sep-2020,9284858,14360,55784,4918,612345,797691,66500
11-Sep-2020,9222252,14413,56654,4990,636214,835432,69621
12-Sep-2020,9157710,14460,57527,5062,660566,874631,72863
13-Sep-2020,9091232,14500,58402,5134,685370,915316,76228
14-Sep-2020,9022825,14534,59280,5207,710595,957514,79718
15-Sep-2020,8952504,14560,60160,5280,736203,1001249,83334
16-Sep-2020,8880287,14578,61040,5353,762155,1046542,87080
17-Sep-2020,8806199,14589,61922,5425,788405,1093414,90956
18-Sep-2020,8730271,14593,62804,5498,814908,1141880,94965
19-Sep-2020,8652542,14588,63687,5571,841612,1191955,99106
20-Sep-2020,8573057,14575,64568,5644,868462,1243650,103381
21-Sep-2020,8491865,14553,65449,5717,895400,1296971,107791
22-Sep-2020,8409026,14523,66328,5790,922367,1351922,112335
23-Sep-2020,8324603,14484,67205,5862,949299,1408502,117014
24-Sep-2020,8238667,14437,68079,5935,976130,1466708,121828
25-Sep-2020,8151294,14381,68950,6007,1002792,1526531,126775
26-Sep-2020,8062569,14316,69818,6078,1029215,1587959,131855
27-Sep-2020,7972578,14242,70681,6150,1055328,1650976,137067
28-Sep-2020,7881417,14159,71540,6221,1081058,1715561,142408
