datetime,S,Q,R,D,Q_s,R_s,D_s
14-Sep-2020,9022825,12161,42325,1440,710595,957514,79718
15-Sep-2020,8952662,12184,43061,1501,736204,1001249,83334
16-Sep-2020,8880600,12201,43798,1562,762157,1046542,87080
17-Sep-2020,8806665,12212,44536,1623,788411,1093414,90956
18-Sep-2020,8730886,12216,45275,1684,814919,1141881,94965
19-Sep-2020,8653303,12213,46013,1745,841629,1191957,99106
20-Sep-2020,8573960,12203,46751,1806,868487,1243653,103381
21-Sep-2020,8492906,12187,47489,1867,895436,1296976,107791
22-Sep-2020,8410201,12163,48225,1928,922415,1351929,112336
23-Sep-2020,8325906,12133,48959,1989,949361,1408512,117015
24-Sep-2020,8240094,12095,49692,2049,976208,1466722,121829
25-Sep-2020,8152841,12049,50422,2110,1002888,1526551,126777
26-Sep-2020,8064229,11996,51148,2170,1029331,1587986,131858
27-Sep-2020,7974347,11936,51872,2230,1055465,1651011,137070
28-Sep-2020,7883287,11869,52592,2289,1081220,1715604,142412
29-Sep-2020,7791148,11794,53307,2348,1106521,1781742,147881
30-Sep-2020,7698033,11712,54018,2407,1131297,1849393,153476
01-Oct-2020,7604051,11623,54723,2465,1155473,1918525,159193
02-Oct-2020,7509311,11526,55423,2523,1178978,1989099,165030
03-Oct-2020,7413929,11423,56117,2581,1201741,2061071,170982
04-Oct-2020,7318017,11313,56804,2637,1223694,2134395,177046
05-Oct-2020,7221694,11196,57485,2694,1244772,2209021,183217
06-Oct-2020,7125076,11073,58158,2749,1264911,2284893,189492
07-Oct-2020,7028286,10944,58823,2804,1284050,2361952,195865
08-Oct-2020,6931440,10809,59481,2859,1302134,2440138,202331
09-Oct-2020,6834657,10668,60130,2912,1319109,2519384,208884
10-Oct-2020,6738055,10522,60771,2965,1334927,2599621,215520
11-Oct-2020,6641747,10371,61403,3018,1349545,2680777,222231
12-Oct-2020,6545846,10215,62025,3069,1362925,2762780,229013
13-Oct-2020,6450460,10054,62638,3120,1375035,2845554,235859
14-Oct-2020,6355693,9889,63240,3170,1385846,2929022,242761
15-Oct-2020,6261649,9721,63833,3219,1395336,3013103,249715
16-Oct-2020,6168423,9549,64416,3267,1403488,3097718,256712
17-Oct-2020,6076109,9374,64988,3314,1410291,3182785,263747
18-Oct-2020,5984793,9196,65549,3361,1415740,3268221,270813
19-Oct-2020,5894557,9016,66100,3406,1419835,3353947,277903
20-Oct-2020,5805478,8834,66639,3451,1422580,3439879,285009
21-Oct-2020,5717626,8650,67168,3495,1423986,3525936,292126
22-Oct-2020,5631067,8465,67685,3537,1424067,3612039,299247
23-Oct-2020,5545859,8278,68192,3579,1422845,3698107,306365
24-Oct-2020,5462057,8091,68686,3620,1420343,3784063,313473
25-Oct-2020,5379709,7904,69170,3660,1416589,3869828,320566
26-Oct-2020,5298856,7717,69642,3699,1411617,3955330,327637
27-Oct-2020,5219536,7530,70103,3737,1405460,4040495,334680
28-Oct-2020,5141779,7343,70553,3774,1398158,4125254,341690
29-Oct-2020,5065613,7157,70991,3811,1389752,4209537,348660
30-Oct-2020,4991057,6973,71418,3846,1380287,4293280,355585
31-Oct-2020,4918129,6789,71834,3880,1369809,4376420,362461
01-Nov-2020,4846839,6607,72239,3914,1358365,4458896,369282
02-Nov-2020,4777196,6427,72633,3946,1346005,4540653,376043
03-Nov-2020,4709203,6249,73016,3978,1332778,4621636,382740
04-Nov-2020,4642860,6073,73389,4009,1318736,4701795,389370
05-Nov-2020,4578162,5899,73751,4039,1303929,4781081,395927
06-Nov-2020,4515102,5728,74102,4068,1288411,4859450,402408
07-Nov-2020,4453669,5559,74443,4096,1272233,4936860,408810
08-Nov-2020,4393849,5393,74774,4124,1255446,5013274,415129
09-Nov-2020,4335627,5230,75095,4150,1238102,5088656,421363
10-Nov-2020,4278984,5070,75407,4176,1220249,5162974,427509
11-Nov-2020,4223902,4913,75709,4201,1201937,5236199,433565
12-Nov-2020,4170359,4759,76001,4225,1183213,5308303,439528
13-Nov-2020,4118329,4609,76284,4248,1164126,5379265,445396
14-Nov-2020,4067788,4461,76558,4271,1144720,5449062,451169
15-Nov-2020,4018710,4317,76824,4293,1125040,5517677,456843
16-Nov-2020,3971066,4176,77080,4314,1105128,5585096,462419
17-Nov-2020,3924829,4039,77329,4335,1085025,5651304,467894
18-Nov-2020,3879969,3905,77569,4355,1064770,5716293,473269
19-Nov-2020,3836457,3774,77801,4374,1044402,5780053,478542
20-Nov-2020,3794263,3647,78025,4392,1023954,5842579,483712
21-Nov-2020,3753355,3523,78242,4410,1003462,5903868,488781
22-Nov-2020,3713705,3402,78451,4428,982958,5963917,493747
23-Nov-2020,3675280,3285,78653,4444,962472,6022726,498611
24-Nov-2020,3638049,3170,78849,4460,942033,6080299,503372
