datetime,S,Q,R,D,Q_s,R_s,D_s
14-Sep-2020,2030265,12161,42325,1440,1938660,6577024,172008
15-Sep-2020,2030265,11294,43172,1460,1800452,6712090,175149
16-Sep-2020,2030265,10489,43959,1478,1672098,6837527,178066
17-Sep-2020,2030265,9741,44690,1495,1552894,6954022,180775
18-Sep-2020,2030265,9047,45369,1511,1442188,7062212,183291
19-Sep-2020,2030265,8402,45999,1525,1339374,7162689,185628
20-Sep-2020,2030265,7803,46584,1539,1243890,7256003,187798
21-Sep-2020,2030265,7247,47128,1552,1155213,7342665,189814
22-Sep-2020,2030265,6730,47633,1563,1072858,7423148,191685
23-Sep-2020,2030265,6250,48102,1574,996374,7497894,193424
24-Sep-2020,2030265,5805,48537,1584,925342,7567311,195038
25-Sep-2020,2030265,5391,48941,1594,859374,7631780,196537
26-Sep-2020,2030265,5006,49317,1603,798109,7691652,197930
27-Sep-2020,2030265,4650,49666,1611,741212,7747256,199223
28-Sep-2020,2030265,4318,49990,1618,688371,7798896,200424
29-Sep-2020,2030265,4010,50291,1625,639297,7846855,201539
