datetime,S,Q,R,D,Q_s,R_s,D_s
05-Jun-2020,10755119,4401,2751,532,4401,2751,532
06-Jun-2020,10754886,4446,2935,537,4217,2930,537
07-Jun-2020,10754650,4491,3120,541,4042,3102,541
08-Jun-2020,10754412,4537,3308,546,3873,3266,545
09-Jun-2020,10754171,4584,3497,551,3712,3423,549
10-Jun-2020,10753928,4630,3689,556,3557,3574,553
11-Jun-2020,10753682,4678,3882,561,3408,3719,557
12-Jun-2020,10753434,4726,4078,566,3266,3858,560
13-Jun-2020,10753184,4774,4275,571,3130,3991,563
14-Jun-2020,10752931,4823,4474,576,2999,4118,567
15-Jun-2020,10752675,4872,4676,581,2874,4240,570
16-Jun-2020,10752417,4922,4879,586,2755,4357,573
17-Jun-2020,10752156,4972,5085,591,2640,4469,576
18-Jun-2020,10751892,5022,5292,596,2530,4576,578
19-Jun-2020,10751626,5074,5502,602,2424,4679,581
20-Jun-2020,10751357,5125,5714,607,2323,4778,583
21-Jun-2020,10751085,5178,5928,613,2226,4872,586
22-Jun-2020,10750810,5231,6144,618,2133,4963,588
23-Jun-2020,10750533,5284,6362,624,2044,5049,590
24-Jun-2020,10750253,5338,6583,629,1959,5133,592
25-Jun-2020,10749970,5392,6806,635,1877,5212,594
26-Jun-2020,10749684,5447,7031,641,1799,5289,596
27-Jun-2020,10749395,5503,7258,646,1724,5362,598
28-Jun-2020,10749104,5559,7488,652,1652,5432,600
29-Jun-2020,10748809,5615,7720,658,1583,5499,602
30-Jun-2020,10748512,5673,7955,664,1517,5563,603
01-Jul-2020,10748211,5730,8192,670,1454,5625,605
02-Jul-2020,10747907,5789,8431,676,1393,5684,606
03-Jul-2020,10747600,5848,8673,682,1335,5741,608
04-Jul-2020,10747290,5907,8917,688,1280,5795,609
05-Jul-2020,10746977,5967,9164,695,1226,5847,611
06-Jul-2020,10746661,6028,9413,701,1175,5897,612
07-Jul-2020,10746342,6090,9664,707,1126,5945,613
08-Jul-2020,10746019,6152,9919,714,1079,5991,614
09-Jul-2020,10745693,6214,10176,720,1034,6035,615
10-Jul-2020,10745364,6277,10435,727,991,6077,616
11-Jul-2020,10745031,6341,10697,733,950,6117,617
12-Jul-2020,10744695,6406,10962,740,910,6156,618
13-Jul-2020,10744356,6471,11229,747,872,6193,619
14-Jul-2020,10744013,6537,11500,754,836,6228,620
15-Jul-2020,10743667,6603,11773,761,801,6262,621
16-Jul-2020,10743317,6670,12048,768,767,6295,622
17-Jul-2020,10742963,6738,12327,775,735,6326,623
18-Jul-2020,10742606,6806,12608,782,705,6356,623
