datetime,S,Q,R,D,Q_s,R_s,D_s
14-Sep-2020,10714386,12188,34882,1347,60,6985,639
15-Sep-2020,10714386,11680,35377,1359,57,6987,639
16-Sep-2020,10714386,11193,35853,1371,55,6990,639
17-Sep-2020,10714386,10726,36308,1383,52,6992,640
18-Sep-2020,10714386,10279,36744,1394,50,6994,640
19-Sep-2020,10714386,9850,37162,1405,48,6996,640
20-Sep-2020,10714386,9439,37563,1415,46,6998,640
21-Sep-2020,10714386,9045,37947,1424,44,7000,640
22-Sep-2020,10714386,8668,38315,1434,42,7002,640
23-Sep-2020,10714386,8307,38667,1443,41,7004,640
24-Sep-2020,10714386,7960,39005,1451,39,7005,640
25-Sep-2020,10714386,7628,39329,1459,37,7007,640
26-Sep-2020,10714386,7310,39639,1467,36,7008,640
27-Sep-2020,10714386,7005,39936,1475,34,7010,640
28-Sep-2020,10714386,6713,40221,1482,33,7011,640
29-Sep-2020,10714386,6433,40494,1489,31,7013,640
