datetime,S,Q,R,D,Q_s,R_s,D_s
14-Sep-2020,10643052,12161,42325,1440,24821,52471,1796
15-Sep-2020,10628664,12290,43350,1460,35484,54972,1845
16-Sep-2020,10608628,12419,44386,1480,50691,58548,1914
17-Sep-2020,10580576,12546,45433,1500,72345,63653,2014
18-Sep-2020,10541193,12671,46490,1521,103104,70933,2155
19-Sep-2020,10485866,12792,47557,1542,146654,81299,2356
20-Sep-2020,10408269,12906,48635,1563,208029,96023,2642
21-Sep-2020,10299878,13010,49721,1584,293958,116869,3047
22-Sep-2020,10149513,13100,50816,1605,413168,146246,3618
23-Sep-2020,9943095,13169,51918,1626,576456,187385,4417
24-Sep-2020,9663929,13210,53024,1648,796236,244494,5526
25-Sep-2020,9294047,13213,54132,1669,1085115,322843,7047
26-Sep-2020,8817160,13165,55238,1691,1453032,428677,9103
27-Sep-2020,8223487,13054,56338,1712,1902840,568810,11824
28-Sep-2020,7515690,12869,57425,1733,2425193,749817,15340
29-Sep-2020,6713638,12599,58493,1754,2994990,976843,19749
30-Sep-2020,5854735,12242,59535,1774,3572398,1252282,25098
01-Oct-2020,4987759,11803,60544,1794,4110005,1574800,31362
02-Oct-2020,4161805,11293,61513,1813,4564046,1939159,38438
03-Oct-2020,3415425,10728,62436,1831,4904508,2336974,46164
04-Oct-2020,2770656,10127,63311,1848,5119679,2758102,54343
05-Oct-2020,2233256,9509,64134,1864,5214389,3192141,62773
06-Oct-2020,1797044,8890,64905,1879,5204479,3629601,71269
07-Oct-2020,1449276,8281,65625,1893,5110751,4062563,79678
08-Oct-2020,1175000,7693,66295,1906,4954394,4484899,87880
09-Oct-2020,959788,7131,66916,1918,4754351,4892172,95790
10-Oct-2020,791056,6599,67491,1929,4526244,5281399,103349
11-Oct-2020,658454,6098,68023,1939,4282270,5650760,110522
12-Oct-2020,553770,5629,68515,1949,4031584,5999329,117292
13-Oct-2020,470627,5191,68968,1957,3780833,6326836,123653
14-Oct-2020,404133,4785,69386,1966,3534702,6633485,129608
15-Oct-2020,350556,4408,69771,1973,3296382,6919807,135169
16-Oct-2020,307054,4059,70126,1980,3067948,7186549,140349
17-Oct-2020,271460,3736,70453,1986,2850666,7434599,145167
18-Oct-2020,242113,3438,70753,1992,2645207,7664922,149640
19-Oct-2020,217741,3163,71030,1997,2451822,7878524,153788
20-Oct-2020,197356,2909,71284,2002,2270466,8076417,157632
21-Oct-2020,180191,2675,71518,2007,2100886,8259599,161189
22-Oct-2020,165646,2460,71733,2011,1942692,8429043,164480
23-Oct-2020,153247,2262,71931,2015,1795406,8585684,167522
24-Oct-2020,142616,2079,72113,2019,1658492,8730413,170333
25-Oct-2020,133455,1911,72280,2022,1531390,8864079,172929
26-Oct-2020,125521,1757,72434,2025,1413526,8987478,175326
27-Oct-2020,118617,1615,72575,2027,1304332,9101362,177538
28-Oct-2020,112585,1484,72705,2030,1203249,9206434,179578
29-Oct-2020,107294,1364,72824,2032,1109739,9303352,181461
30-Oct-2020,102635,1253,72934,2034,1023284,9392729,183196
31-Oct-2020,98519,1151,73035,2036,943393,9475135,184797
01-Nov-2020,94870,1058,73127,2038,869598,9551102,186272
02-Nov-2020,91628,972,73212,2040,801461,9621121,187632
03-Nov-2020,88737,893,73291,2041,738569,9685649,188885
04-Nov-2020,86155,821,73362,2043,680535,9745111,190040
05-Nov-2020,83842,754,73428,2044,626997,9799897,191104
06-Nov-2020,81766,693,73489,2045,577618,9850371,192084
07-Nov-2020,79899,637,73545,2046,532084,9896868,192987
08-Nov-2020,78217,585,73596,2047,490103,9939698,193819
09-Nov-2020,76700,537,73643,2048,451405,9979148,194585
10-Nov-2020,75328,494,73686,2049,415737,10015481,195291
11-Nov-2020,74086,453,73726,2050,382867,10048943,195941
12-Nov-2020,72961,417,73762,2051,352578,10079758,196539
13-Nov-2020,71940,383,73796,2051,324671,10108135,197090
14-Nov-2020,71012,352,73826,2052,298961,10134265,197598
15-Nov-2020,70168,323,73855,2052,275277,10158326,198065
16-Nov-2020,69401,297,73881,2053,253460,10180480,198495
17-Nov-2020,68701,273,73905,2053,233365,10200878,198892
18-Nov-2020,68063,250,73926,2054,214858,10219658,199256
19-Nov-2020,67481,230,73947,2054,197813,10236949,199592
20-Nov-2020,66950,211,73965,2054,182116,10252868,199901
21-Nov-2020,66464,194,73982,2055,167661,10267524,200186
22-Nov-2020,66020,178,73998,2055,154351,10281016,200448
23-Nov-2020,65614,164,74012,2055,142094,10293437,200689
24-Nov-2020,65242,150,74025,2056,130809,10304872,200911
25-Nov-2020,64902,138,74037,2056,120419,10315398,201116
26-Nov-2020,64590,127,74048,2056,110852,10325088,201304
27-Nov-2020,64305,117,74059,2056,102044,10334009,201477
28-Nov-2020,64043,107,74068,2056,93934,10342220,201637
29-Nov-2020,63803,98,74077,2057,86469,10349779,201783
30-Nov-2020,63583,90,74084,2057,79596,10356737,201919
01-Dec-2020,63381,83,74092,2057,73268,10363142,202043
02-Dec-2020,63196,76,74098,2057,67443,10369038,202158
03-Dec-2020,63026,70,74105,2057,62081,10374465,202263
04-Dec-2020,62869,64,74110,2057,57144,10379460,202360
05-Dec-2020,62726,59,74115,2057,52600,10384059,202449
06-Dec-2020,62594,54,74120,2058,48417,10388291,202531
07-Dec-2020,62473,50,74124,2058,44566,10392187,202607
08-Dec-2020,62362,46,74128,2058,41022,10395773,202677
09-Dec-2020,62260,42,74132,2058,37759,10399074,202741
10-Dec-2020,62166,39,74136,2058,34756,10402113,202800
11-Dec-2020,62080,36,74139,2058,31991,10404909,202854
12-Dec-2020,62000,33,74142,2058,29446,10407483,202904
13-Dec-2020,61927,30,74144,2058,27103,10409853,202950
14-Dec-2020,61860,28,74147,2058,24947,10412034,202993
15-Dec-2020,61799,25,74149,2058,22962,10414041,203032
16-Dec-2020,61742,23,74151,2058,21136,10415889,203067
17-Dec-2020,61690,21,74153,2058,19454,10417590,203100
18-Dec-2020,61642,20,74154,2058,17906,10419155,203131
19-Dec-2020,61598,18,74156,2058,16481,10420596,203159
