datetime,S,Q,R,D,Q_s,R_s,D_s
13-Oct-2020,10517872,5367,68722,1953,6900,165413,4540
14-Oct-2020,10517136,5285,69168,1961,6685,165981,4551
15-Oct-2020,10516418,5203,69607,1970,6477,166531,4562
16-Oct-2020,10515718,5120,70038,1978,6275,167065,4573
17-Oct-2020,10515037,5038,70463,1986,6080,167581,4583
18-Oct-2020,10514372,4956,70881,1995,5890,168082,4592
19-Oct-2020,10513724,4874,71292,2003,5706,168567,4602
20-Oct-2020,10513093,4792,71696,2010,5528,169037,4611
21-Oct-2020,10512478,4710,72094,2018,5356,169492,4620
22-Oct-2020,10511879,4629,72484,2026,5189,169933,4628
23-Oct-2020,10511295,4548,72868,2033,5027,170360,4637
24-Oct-2020,10510726,4468,73245,2041,4870,170774,4645
25-Oct-2020,10510171,4388,73616,2048,4718,171175,4652
26-Oct-2020,10509631,4308,73979,2055,4571,171563,4660
27-Oct-2020,10509105,4230,74336,2062,4428,171940,4667
28-Oct-2020,10508592,4152,74687,2069,4290,172304,4674
29-Oct-2020,10508092,4074,75031,2075,4156,172658,4681
30-Oct-2020,10507606,3998,75369,2082,4026,173000,4688
31-Oct-2020,10507132,3922,75700,2088,3901,173331,4694
01-Nov-2020,10506670,3847,76025,2094,3779,173652,4700
02-Nov-2020,10506220,3773,76343,2101,3661,173964,4706
03-Nov-2020,10505782,3699,76656,2107,3546,174265,4712
04-Nov-2020,10505356,3627,76962,2113,3436,174557,4718
05-Nov-2020,10504940,3555,77263,2119,3328,174840,4724
06-Nov-2020,10504535,3484,77557,2124,3224,175114,4729
07-Nov-2020,10504141,3414,77846,2130,3124,175379,4734
08-Nov-2020,10503757,3345,78128,2135,3026,175636,4739
09-Nov-2020,10503384,3277,78405,2141,2931,175886,4744
10-Nov-2020,10503020,3210,78677,2146,2840,176127,4749
11-Nov-2020,10502665,3144,78942,2151,2751,176361,4753
12-Nov-2020,10502320,3079,79203,2156,2665,176587,4757
13-Nov-2020,10501984,3015,79458,2161,2582,176807,4762
14-Nov-2020,10501657,2952,79707,2166,2501,177019,4766
15-Nov-2020,10501338,2889,79951,2171,2423,177225,4770
16-Nov-2020,10501028,2828,80190,2175,2347,177425,4774
17-Nov-2020,10500726,2768,80425,2180,2274,177618,4777
18-Nov-2020,10500432,2709,80654,2184,2203,177805,4781
19-Nov-2020,10500146,2650,80878,2189,2134,177986,4785
20-Nov-2020,10499868,2593,81097,2193,2067,178162,4788
21-Nov-2020,10499597,2537,81311,2197,2002,178332,4791
22-Nov-2020,10499333,2481,81521,2201,1940,178497,4795
23-Nov-2020,10499076,2427,81727,2205,1879,178657,4798
24-Nov-2020,10498826,2373,81927,2209,1820,178812,4801
25-Nov-2020,10498582,2321,82124,2213,1763,178961,4804
26-Nov-2020,10498345,2269,82316,2217,1708,179107,4806
27-Nov-2020,10498115,2218,82503,2220,1655,179247,4809
28-Nov-2020,10497890,2169,82687,2224,1603,179384,4812
29-Nov-2020,10497672,2120,82866,2227,1553,179516,4814
30-Nov-2020,10497459,2072,83041,2231,1504,179643,4817
01-Dec-2020,10497253,2025,83213,2234,1457,179767,4819
02-Dec-2020,10497051,1979,83380,2237,1412,179887,4822
03-Dec-2020,10496855,1934,83544,2241,1368,180003,4824
04-Dec-2020,10496665,1889,83704,2244,1325,180116,4826
05-Dec-2020,10496479,1846,83860,2247,1283,180225,4828
06-Dec-2020,10496299,1803,84012,2250,1243,180331,4830
07-Dec-2020,10496123,1761,84161,2253,1204,180433,4832
08-Dec-2020,10495952,1720,84307,2255,1167,180532,4834
09-Dec-2020,10495786,1680,84449,2258,1130,180628,4836
10-Dec-2020,10495624,1641,84588,2261,1095,180721,4838
11-Dec-2020,10495467,1602,84724,2263,1060,180811,4839
12-Dec-2020,10495314,1565,84856,2266,1027,180899,4841
13-Dec-2020,10495165,1528,84986,2269,995,180983,4843
14-Dec-2020,10495020,1492,85112,2271,964,181065,4844
15-Dec-2020,10494879,1456,85235,2273,934,181145,4846
16-Dec-2020,10494742,1422,85356,2276,905,181221,4847
17-Dec-2020,10494608,1388,85473,2278,876,181296,4849
18-Dec-2020,10494479,1354,85588,2280,849,181368,4850
19-Dec-2020,10494352,1322,85700,2282,822,181438,4852
20-Dec-2020,10494229,1290,85809,2284,796,181506,4853
21-Dec-2020,10494110,1259,85915,2287,772,181571,4854
22-Dec-2020,10493994,1229,86019,2289,747,181635,4855
23-Dec-2020,10493881,1199,86121,2291,724,181696,4857
24-Dec-2020,10493771,1170,86220,2292,701,181756,4858
25-Dec-2020,10493664,1141,86317,2294,679,181814,4859
26-Dec-2020,10493560,1113,86411,2296,658,181869,4860
27-Dec-2020,10493459,1086,86503,2298,637,181924,4861
28-Dec-2020,10493360,1059,86593,2300,618,181976,4862
29-Dec-2020,10493265,1033,86680,2301,598,182027,4863
30-Dec-2020,10493172,1008,86766,2303,579,182076,4864
31-Dec-2020,10493081,983,86849,2305,561,182124,4865
01-Jan-2021,10492993,959,86930,2306,544,182170,4866
02-Jan-2021,10492907,935,87009,2308,527,182215,4867
03-Jan-2021,10492824,912,87086,2309,510,182258,4868
04-Jan-2021,10492743,889,87162,2311,494,182300,4868
05-Jan-2021,10492665,867,87235,2312,479,182341,4869
06-Jan-2021,10492588,845,87307,2314,464,182380,4870
07-Jan-2021,10492514,824,87377,2315,449,182419,4871
08-Jan-2021,10492441,803,87445,2316,435,182456,4871
09-Jan-2021,10492371,783,87511,2318,422,182491,4872
10-Jan-2021,10492302,764,87576,2319,408,182526,4873
11-Jan-2021,10492236,744,87639,2320,396,182560,4873
12-Jan-2021,10492171,726,87700,2321,383,182592,4874
13-Jan-2021,10492108,707,87760,2322,371,182624,4875
14-Jan-2021,10492047,689,87819,2324,360,182654,4875
15-Jan-2021,10491988,672,87876,2325,348,182684,4876
16-Jan-2021,10491930,655,87931,2326,337,182713,4876
17-Jan-2021,10491874,638,87985,2327,327,182740,4877
18-Jan-2021,10491819,622,88038,2328,317,182767,4877
19-Jan-2021,10491766,606,88089,2329,307,182793,4878
20-Jan-2021,10491714,590,88139,2330,297,182819,4878
21-Jan-2021,10491664,575,88188,2331,288,182843,4879
22-Jan-2021,10491615,561,88235,2332,279,182867,4879
23-Jan-2021,10491568,546,88282,2333,270,182890,4880
24-Jan-2021,10491522,532,88327,2333,262,182912,4880
25-Jan-2021,10491477,518,88371,2334,253,182933,4881
26-Jan-2021,10491433,505,88413,2335,245,182954,4881
27-Jan-2021,10491391,492,88455,2336,238,182975,4881
28-Jan-2021,10491350,479,88496,2337,230,182994,4882
29-Jan-2021,10491310,467,88535,2337,223,183013,4882
30-Jan-2021,10491271,455,88574,2338,216,183031,4883
31-Jan-2021,10491233,443,88611,2339,209,183049,4883
01-Feb-2021,10491196,431,88648,2340,203,183066,4883
02-Feb-2021,10491161,420,88684,2340,196,183083,4884
03-Feb-2021,10491126,409,88718,2341,190,183099,4884
04-Feb-2021,10491092,398,88752,2342,184,183115,4884
05-Feb-2021,10491059,388,88785,2342,179,183130,4885
06-Feb-2021,10491028,378,88817,2343,173,183145,4885
07-Feb-2021,10490997,368,88848,2344,168,183159,4885
08-Feb-2021,10490966,358,88879,2344,162,183173,4885
09-Feb-2021,10490937,349,88908,2345,157,183186,4886
10-Feb-2021,10490909,340,88937,2345,152,183199,4886
11-Feb-2021,10490881,331,88965,2346,147,183212,4886
12-Feb-2021,10490854,322,88992,2346,143,183224,4886
13-Feb-2021,10490828,314,89019,2347,138,183236,4887
14-Feb-2021,10490803,305,89045,2347,134,183247,4887
15-Feb-2021,10490778,297,89070,2348,130,183258,4887
16-Feb-2021,10490754,289,89094,2348,126,183269,4887
17-Feb-2021,10490731,282,89118,2349,122,183279,4887
18-Feb-2021,10490708,274,89142,2349,118,183289,4888
19-Feb-2021,10490686,267,89164,2350,114,183299,4888
20-Feb-2021,10490665,260,89186,2350,111,183308,4888
21-Feb-2021,10490644,253,89208,2351,107,183317,4888
22-Feb-2021,10490624,246,89228,2351,104,183326,4888
23-Feb-2021,10490604,240,89249,2351,101,183335,4888
24-Feb-2021,10490585,233,89269,2352,98,183343,4889
25-Feb-2021,10490567,227,89288,2352,94,183351,4889
26-Feb-2021,10490549,221,89306,2352,91,183359,4889
27-Feb-2021,10490531,215,89325,2353,89,183366,4889
28-Feb-2021,10490514,209,89342,2353,86,183374,4889
01-Mar-2021,10490498,204,89360,2353,83,183381,4889
02-Mar-2021,10490482,198,89377,2354,81,183388,4890
03-Mar-2021,10490466,193,89393,2354,78,183394,4890
04-Mar-2021,10490451,188,89409,2354,76,183401,4890
05-Mar-2021,10490436,183,89424,2355,73,183407,4890
06-Mar-2021,10490422,178,89439,2355,71,183413,4890
07-Mar-2021,10490408,173,89454,2355,69,183419,4890
08-Mar-2021,10490395,168,89468,2356,67,183424,4890
09-Mar-2021,10490382,164,89482,2356,64,183430,4890
10-Mar-2021,10490369,159,89496,2356,62,183435,4890
11-Mar-2021,10490357,155,89509,2356,60,183440,4891
12-Mar-2021,10490345,151,89521,2357,59,183445,4891
13-Mar-2021,10490333,147,89534,2357,57,183450,4891
14-Mar-2021,10490322,143,89546,2357,55,183455,4891
15-Mar-2021,10490311,139,89558,2357,53,183459,4891
16-Mar-2021,10490300,135,89569,2358,52,183464,4891
17-Mar-2021,10490289,131,89580,2358,50,183468,4891
