datetime,S,Q,R,D,Q_s,R_s,D_s
07-Jul-2020,10745037,3784,8277,664,3784,8277,664
08-Jul-2020,10744152,3860,8498,670,4131,8506,670
09-Jul-2020,10743208,3938,8724,675,4510,8756,676
10-Jul-2020,10742199,4018,8954,681,4923,9029,683
11-Jul-2020,10741121,4099,9189,687,5374,9326,690
12-Jul-2020,10739967,4182,9429,693,5866,9651,699
13-Jul-2020,10738731,4266,9673,699,6403,10006,708
14-Jul-2020,10737406,4352,9923,705,6990,10394,717
15-Jul-2020,10735984,4440,10177,712,7630,10817,728
16-Jul-2020,10734457,4529,10437,718,8328,11278,740
17-Jul-2020,10732816,4621,10701,725,9090,11782,752
18-Jul-2020,10731051,4713,10972,732,9922,12332,766
19-Jul-2020,10729151,4808,11247,739,10829,12932,781
20-Jul-2020,10727104,4905,11528,746,11819,13587,798
21-Jul-2020,10724899,5003,11815,753,12900,14302,816
22-Jul-2020,10722520,5104,12107,760,14078,15082,835
23-Jul-2020,10719953,5206,12406,768,15364,15934,857
24-Jul-2020,10717182,5310,12710,776,16766,16863,880
25-Jul-2020,10714188,5416,13020,783,18296,17877,906
26-Jul-2020,10710953,5524,13337,791,19964,18983,934
27-Jul-2020,10707454,5635,13660,800,21784,20191,964
28-Jul-2020,10703669,5747,13989,808,23768,21508,997
29-Jul-2020,10699573,5861,14325,816,25932,22946,1033
30-Jul-2020,10695139,5977,14668,825,28291,24514,1073
31-Jul-2020,10690337,6096,15017,834,30863,26225,1116
01-Aug-2020,10685135,6216,15374,843,33666,28091,1163
02-Aug-2020,10679498,6339,15737,852,36721,30127,1214
03-Aug-2020,10673388,6464,16107,861,40049,32347,1270
04-Aug-2020,10666764,6591,16485,871,43676,34769,1331
05-Aug-2020,10659582,6720,16870,880,47627,37409,1398
06-Aug-2020,10651793,6852,17263,890,51930,40289,1470
07-Aug-2020,10643346,6985,17664,900,56615,43428,1549
08-Aug-2020,10634182,7121,18072,911,61716,46851,1635
09-Aug-2020,10624242,7258,18488,921,67267,50581,1729
10-Aug-2020,10613459,7398,18912,932,73308,54647,1832
11-Aug-2020,10601761,7540,19344,943,79878,59077,1943
12-Aug-2020,10589072,7684,19785,954,87023,63905,2065
13-Aug-2020,10575308,7830,20234,965,94790,69163,2197
14-Aug-2020,10560380,7978,20691,977,103229,74890,2341
15-Aug-2020,10544192,8127,21157,988,112397,81127,2498
16-Aug-2020,10526640,8279,21632,1000,122350,87917,2669
17-Aug-2020,10507614,8432,22116,1012,133151,95307,2855
18-Aug-2020,10486995,8587,22608,1025,144866,103348,3058
19-Aug-2020,10464657,8743,23110,1037,157566,112095,3278
20-Aug-2020,10440465,8900,23620,1050,171325,121608,3518
21-Aug-2020,10414276,9059,24140,1063,186221,131950,3778
22-Aug-2020,10385937,9219,24669,1077,202336,143188,4061
23-Aug-2020,10355287,9379,25207,1090,219758,155397,4368
24-Aug-2020,10322156,9540,25755,1104,238575,168654,4702
25-Aug-2020,10286366,9701,26312,1118,258882,183043,5065
26-Aug-2020,10247730,9863,26878,1132,280774,198653,5458
27-Aug-2020,10206051,10023,27453,1147,304350,215578,5884
28-Aug-2020,10161128,10184,28038,1162,329710,233919,6346
29-Aug-2020,10112751,10343,28632,1177,356956,253782,6846
30-Aug-2020,10060705,10501,29236,1192,386188,275279,7387
31-Aug-2020,10004770,10657,29848,1207,417505,298527,7972
01-Sep-2020,9944724,10811,30469,1223,451004,323651,8605
02-Sep-2020,9880344,10962,31099,1239,486776,350779,9288
03-Sep-2020,9811408,11110,31738,1255,524906,380046,10025
04-Sep-2020,9737697,11253,32385,1271,565472,411589,10819
05-Sep-2020,9659002,11392,33041,1288,608537,445553,11674
06-Sep-2020,9575122,11526,33704,1304,654154,482083,12594
07-Sep-2020,9485868,11654,34375,1321,702359,521328,13582
08-Sep-2020,9391074,11776,35053,1338,753166,563438,14643
09-Sep-2020,9290591,11890,35738,1355,806570,608564,15779
10-Sep-2020,9184298,11996,36429,1373,862540,656856,16995
11-Sep-2020,9072107,12093,37126,1390,921016,708460,18294
12-Sep-2020,8953962,12181,37829,1408,981907,763519,19681
13-Sep-2020,8829849,12258,38536,1426,1045090,822170,21158
14-Sep-2020,8699797,12325,39248,1444,1110406,884540,22728
15-Sep-2020,8563882,12379,39963,1462,1177658,950748,24395
16-Sep-2020,8422232,12421,40680,1480,1246614,1020899,26162
17-Sep-2020,8275025,12450,41400,1498,1317001,1095083,28029
18-Sep-2020,8122497,12465,42121,1516,1388511,1173376,30001
19-Sep-2020,7964935,12466,42843,1534,1460800,1255832,32077
20-Sep-2020,7802682,12452,43564,1553,1533492,1342486,34259
21-Sep-2020,7636130,12423,44284,1571,1606183,1433349,36547
22-Sep-2020,7465722,12379,45002,1589,1678446,1528409,38940
23-Sep-2020,7291947,12319,45717,1607,1749830,1627629,41439
24-Sep-2020,7115327,12243,46427,1625,1819881,1730944,44040
25-Sep-2020,6936416,12152,47134,1642,1888137,1838263,46743
26-Sep-2020,6755794,12046,47834,1660,1954139,1949471,49543
27-Sep-2020,6574059,11925,48528,1678,2017437,2064423,52437
28-Sep-2020,6391817,11789,49214,1695,2077601,2182949,55422
29-Sep-2020,6209667,11639,49892,1712,2134229,2304857,58491
30-Sep-2020,6028196,11475,50561,1729,2186954,2429931,61641
01-Oct-2020,5847982,11299,51220,1745,2235440,2557937,64864
02-Oct-2020,5669574,11111,51869,1762,2279398,2688619,68154
03-Oct-2020,5493490,10911,52506,1778,2318588,2821708,71505
04-Oct-2020,5320208,10702,53132,1793,2352820,2956922,74910
05-Oct-2020,5150166,10482,53745,1809,2381953,3093971,78361
06-Oct-2020,4983755,10255,54345,1824,2405900,3232557,81850
07-Oct-2020,4821322,10021,54932,1839,2424625,3372378,85371
08-Oct-2020,4663163,9780,55505,1853,2438141,3513131,88915
09-Oct-2020,4509525,9534,56064,1867,2446505,3654517,92475
10-Oct-2020,4360609,9284,56609,1881,2449820,3796240,96044
11-Oct-2020,4216570,9030,57139,1894,2448227,3938013,99614
12-Oct-2020,4077517,8775,57654,1907,2441901,4079556,103178
13-Oct-2020,3943523,8518,58154,1920,2431044,4220600,106729
