datetime,S,Q,R,D,Q_s,R_s,D_s
07-Jul-2020,10736096,3784,8277,664,12725,8277,664
08-Jul-2020,10734139,3862,8498,670,13600,9036,683
09-Jul-2020,10732062,3942,8723,675,14535,9847,704
10-Jul-2020,10729858,4023,8952,681,15533,10714,725
11-Jul-2020,10727519,4106,9187,687,16600,11640,749
12-Jul-2020,10725035,4190,9426,693,17739,12630,774
13-Jul-2020,10722397,4277,9670,699,18956,13688,800
14-Jul-2020,10719594,4364,9919,705,20256,14819,829
15-Jul-2020,10716617,4454,10174,712,21645,16027,859
16-Jul-2020,10713454,4545,10433,718,23127,17317,892
17-Jul-2020,10710092,4638,10698,725,24711,18696,926
18-Jul-2020,10706519,4733,10968,732,26401,20170,963
19-Jul-2020,10702721,4830,11244,739,28206,21744,1003
20-Jul-2020,10698682,4928,11525,746,30134,23426,1045
21-Jul-2020,10694389,5029,11813,753,32191,25223,1091
22-Jul-2020,10689822,5131,12106,760,34387,27142,1139
23-Jul-2020,10684966,5235,12405,768,36730,29193,1190
24-Jul-2020,10679802,5341,12710,776,39231,31383,1246
25-Jul-2020,10674308,5449,13021,783,41900,33721,1304
26-Jul-2020,10668464,5559,13338,791,44748,36220,1367
27-Jul-2020,10662248,5671,13662,800,47785,38887,1434
28-Jul-2020,10655635,5784,13992,808,51025,41736,1506
29-Jul-2020,10648601,5900,14329,816,54480,44778,1583
30-Jul-2020,10641117,6018,14673,825,58164,48025,1664
31-Jul-2020,10633156,6138,15024,834,62092,51492,1752
01-Aug-2020,10624687,6260,15381,843,66279,55193,1845
02-Aug-2020,10615678,6383,15746,852,70740,59143,1944
03-Aug-2020,10606095,6509,16117,861,75494,63359,2050
04-Aug-2020,10595903,6637,16497,871,80558,67858,2164
05-Aug-2020,10585062,6767,16883,881,85951,72658,2284
06-Aug-2020,10573534,6898,17277,891,91693,77780,2413
07-Aug-2020,10561276,7032,17679,901,97805,83243,2551
08-Aug-2020,10548242,7168,18089,911,104309,89070,2698
09-Aug-2020,10534388,7305,18506,921,111229,95284,2854
10-Aug-2020,10519661,7445,18931,932,118587,101910,3021
11-Aug-2020,10504012,7586,19365,943,126409,108973,3199
12-Aug-2020,10487385,7729,19806,954,134723,116502,3388
13-Aug-2020,10469724,7873,20256,966,143554,124525,3590
14-Aug-2020,10450967,8019,20715,977,152931,133072,3805
15-Aug-2020,10431054,8167,21181,989,162884,142178,4034
16-Aug-2020,10409917,8316,21657,1001,173443,151874,4278
17-Aug-2020,10387490,8467,22141,1013,184640,162198,4538
18-Aug-2020,10363702,8619,22634,1025,196506,173187,4815
19-Aug-2020,10338478,8772,23135,1038,209075,184880,5109
20-Aug-2020,10311743,8926,23646,1051,222380,197320,5422
21-Aug-2020,10283418,9081,24165,1064,236456,210549,5755
22-Aug-2020,10253422,9236,24693,1077,251337,224613,6109
23-Aug-2020,10221672,9392,25230,1091,267058,239559,6485
24-Aug-2020,10188082,9548,25777,1104,283654,255437,6885
25-Aug-2020,10152565,9705,26332,1118,301159,272298,7309
26-Aug-2020,10115032,9861,26896,1133,319608,290196,7760
27-Aug-2020,10075394,10017,27469,1147,339035,309187,8238
28-Aug-2020,10033559,10173,28052,1162,359471,329327,8745
