datetime,S,Q,R,D,Q_s,R_s,D_s
05-Jun-2020,10751836,4401,2751,532,7684,2751,532
06-Jun-2020,10749617,4397,2902,536,9450,3044,541
07-Jun-2020,10746924,4393,3053,541,11621,3404,551
08-Jun-2020,10743649,4389,3203,545,14289,3846,565
09-Jun-2020,10739657,4385,3354,550,17569,4391,581
10-Jun-2020,10734787,4381,3504,554,21600,5060,601
11-Jun-2020,10728836,4377,3654,559,26553,5883,625
12-Jun-2020,10721562,4373,3804,563,32636,6894,655
13-Jun-2020,10712662,4368,3954,568,40105,8137,692
14-Jun-2020,10701772,4364,4104,572,49273,9664,737
15-Jun-2020,10688443,4359,4253,577,60521,11541,793
16-Jun-2020,10672132,4354,4403,581,74311,13845,862
17-Jun-2020,10652176,4349,4552,586,91206,16673,946
18-Jun-2020,10627773,4344,4701,590,111887,20143,1049
19-Jun-2020,10597957,4338,4850,594,137173,24400,1175
20-Jun-2020,10561563,4332,4999,599,168049,29616,1330
21-Jun-2020,10517201,4325,5147,603,205688,36003,1520
22-Jun-2020,10463218,4318,5295,608,251479,43817,1752
23-Jun-2020,10397670,4309,5443,612,307053,53364,2036
24-Jun-2020,10318289,4300,5591,616,374298,65011,2382
25-Jun-2020,10222468,4290,5738,621,455373,79194,2803
26-Jun-2020,10107257,4278,5885,625,552696,96430,3316
27-Jun-2020,9969391,4264,6031,629,668916,117319,3936
28-Jun-2020,9805353,4249,6177,634,806830,142558,4686
29-Jun-2020,9611496,4231,6323,638,969271,172939,5589
30-Jun-2020,9384231,4210,6468,642,1158915,209350,6671
01-Jul-2020,9120290,4186,6612,647,1378027,252765,7961
02-Jul-2020,8817072,4159,6755,651,1628138,304223,9490
03-Jul-2020,8473045,4127,6897,655,1909676,364797,11290
04-Jul-2020,8088172,4091,7038,659,2221581,435553,13392
05-Jul-2020,7664299,4050,7177,664,2560982,517488,15827
06-Jul-2020,7205414,4004,7315,668,2923000,611467,18619
07-Jul-2020,6717698,3952,7452,672,3300770,718154,21789
08-Jul-2020,6209321,3895,7587,676,3685715,837946,25348
09-Jul-2020,5689915,3832,7719,680,4068117,970925,29300
10-Jul-2020,5169891,3764,7849,683,4437837,1116828,33635
11-Jul-2020,4659518,3691,7977,687,4785222,1275056,38336
12-Jul-2020,4168190,3614,8102,691,5101824,1444689,43377
13-Jul-2020,3703691,3532,8225,695,5381067,1624556,48721
14-Jul-2020,3271840,3448,8345,698,5618535,1813292,54329
15-Jul-2020,2876343,3361,8461,702,5812041,2009422,60157
16-Jul-2020,2518911,3273,8575,705,5961435,2211428,66159
17-Jul-2020,2199548,3183,8686,708,6068247,2417823,72292
18-Jul-2020,1916933,3093,8793,712,6135255,2627188,78513
19-Jul-2020,1668803,3003,8898,715,6166066,2838219,84783
20-Jul-2020,1452321,2913,8999,718,6164723,3049744,91068
21-Jul-2020,1264369,2824,9098,721,6135406,3260731,97338
