datetime,S,Q,R,D,Q_s,R_s,D_s
07-Jul-2020,6717698,3784,8277,664,3300770,718154,21789
08-Jul-2020,6701231,3864,8501,670,3123728,906618,26525
09-Jul-2020,6685661,3945,8731,675,2956146,1084973,31006
10-Jul-2020,6670936,4027,8964,681,2797522,1253758,35247
11-Jul-2020,6657008,4110,9203,687,2647382,1413485,39261
12-Jul-2020,6643829,4194,9447,693,2505275,1564640,43059
13-Jul-2020,6631358,4279,9696,700,2370772,1707680,46653
14-Jul-2020,6619552,4365,9949,706,2243470,1843039,50054
15-Jul-2020,6608375,4452,10208,713,2122986,1971130,53272
16-Jul-2020,6597789,4541,10472,719,2008956,2092342,56318
17-Jul-2020,6587761,4630,10741,726,1901036,2207042,59200
18-Jul-2020,6578259,4721,11015,733,1798900,2315580,61927
19-Jul-2020,6569254,4813,11295,740,1702240,2418287,64508
20-Jul-2020,6560715,4907,11580,747,1610762,2515475,66950
21-Jul-2020,6552618,5001,11871,754,1524192,2607439,69261
22-Jul-2020,6544937,5097,12167,762,1442266,2694460,71448
23-Jul-2020,6537647,5194,12469,769,1364735,2776804,73517
24-Jul-2020,6530728,5293,12777,777,1291366,2854722,75474
25-Jul-2020,6524157,5393,13090,785,1221934,2928449,77327
26-Jul-2020,6517915,5495,13410,793,1156231,2998213,79080
27-Jul-2020,6511983,5598,13735,801,1094054,3064226,80739
28-Jul-2020,6506343,5703,14067,809,1035218,3126689,82308
29-Jul-2020,6500979,5809,14405,818,979541,3185792,83793
30-Jul-2020,6495875,5917,14749,827,926855,3241716,85198
31-Jul-2020,6491015,6026,15099,835,876999,3294633,86528
01-Aug-2020,6486387,6137,15456,844,829823,3344702,87786
02-Aug-2020,6481976,6250,15820,854,785181,3392079,88977
03-Aug-2020,6477771,6365,16190,863,742939,3436906,90103
04-Aug-2020,6473758,6481,16567,872,702967,3479322,91169
05-Aug-2020,6469928,6599,16951,882,665144,3519456,92177
06-Aug-2020,6466269,6719,17341,892,629354,3557430,93131
07-Aug-2020,6462771,6841,17739,902,595488,3593361,94034
08-Aug-2020,6459425,6965,18144,912,563443,3627359,94888
09-Aug-2020,6456222,7091,18557,922,533121,3659526,95697
10-Aug-2020,6453154,7219,18977,933,504430,3689963,96461
11-Aug-2020,6450211,7349,19404,944,477282,3718762,97185
12-Aug-2020,6447388,7481,19839,955,451594,3746011,97870
13-Aug-2020,6444677,7615,20282,966,427287,3771793,98518
14-Aug-2020,6442070,7751,20733,977,404288,3796187,99131
15-Aug-2020,6439561,7889,21192,989,382526,3819268,99710
16-Aug-2020,6437145,8030,21659,1000,361935,3841107,100259
17-Aug-2020,6434816,8173,22134,1012,342452,3861770,100778
18-Aug-2020,6432567,8318,22618,1024,324017,3881322,101270
19-Aug-2020,6430395,8465,23111,1037,306574,3899820,101734
20-Aug-2020,6428293,8615,23612,1049,290070,3917323,102174
21-Aug-2020,6426258,8768,24122,1062,274453,3933883,102590
22-Aug-2020,6424284,8923,24641,1075,259677,3949552,102984
23-Aug-2020,6422369,9080,25169,1088,245696,3964377,103357
24-Aug-2020,6420507,9240,25707,1102,232468,3978404,103709
25-Aug-2020,6418695,9403,26254,1116,219951,3991676,104043
26-Aug-2020,6416929,9568,26810,1130,208108,4004233,104358
27-Aug-2020,6415207,9736,27377,1144,196903,4016114,104657
28-Aug-2020,6413524,9906,27953,1158,186300,4027355,104939
29-Aug-2020,6411878,10080,28540,1173,176268,4037991,105206
30-Aug-2020,6410265,10256,29136,1188,166777,4048055,105459
31-Aug-2020,6408684,10435,29743,1203,157796,4057576,105698
01-Sep-2020,6407131,10617,30361,1219,149298,4066585,105925
02-Sep-2020,6405604,10802,30990,1235,141258,4075108,106139
03-Sep-2020,6404100,10991,31629,1251,133651,4083173,106342
04-Sep-2020,6402618,11182,32280,1267,126454,4090803,106533
05-Sep-2020,6401155,11376,32942,1284,119643,4098022,106715
06-Sep-2020,6399708,11573,33615,1301,113200,4104853,106886
07-Sep-2020,6398277,11774,34300,1318,107103,4111315,107049
08-Sep-2020,6396859,11978,34997,1335,101335,4117430,107202
09-Sep-2020,6395452,12185,35706,1353,95877,4123215,107348
10-Sep-2020,6394054,12396,36427,1371,90713,4128689,107485
11-Sep-2020,6392665,12610,37161,1390,85827,4133868,107615
