datetime,S,Q,R,D,Q_s,R_s,D_s
14-Sep-2020,6388530,12161,42325,1440,72692,4147790,107965
15-Sep-2020,6388530,11451,43018,1457,68448,4151930,108069
16-Sep-2020,6388530,10782,43670,1474,64452,4155828,108167
17-Sep-2020,6388530,10153,44284,1489,60689,4159499,108259
18-Sep-2020,6388530,9560,44862,1504,57145,4162956,108346
19-Sep-2020,6388530,9002,45407,1517,53809,4166210,108428
20-Sep-2020,6388530,8476,45919,1530,50667,4169275,108505
21-Sep-2020,6388530,7981,46402,1542,47709,4172161,108578
22-Sep-2020,6388530,7515,46857,1554,44923,4174878,108646
23-Sep-2020,6388530,7077,47285,1565,42300,4177437,108710
24-Sep-2020,6388530,6663,47688,1575,39831,4179846,108771
25-Sep-2020,6388530,6274,48067,1584,37505,4182114,108828
26-Sep-2020,6388530,5908,48425,1593,35315,4184250,108881
27-Sep-2020,6388530,5563,48761,1602,33253,4186262,108932
28-Sep-2020,6388530,5238,49078,1610,31312,4188156,108979
29-Sep-2020,6388530,4932,49376,1617,29484,4189939,109024
