datetime,S,Q,R,D,Q_s,R_s,D_s
28-Sep-2020,6388530,5238,49078,1610,31312,4188156,108979
29-Sep-2020,6387976,5328,49388,1617,29625,4189943,109024
30-Sep-2020,6387423,5420,49703,1625,28029,4191635,109067
01-Oct-2020,6386870,5513,50024,1633,26520,4193235,109107
02-Oct-2020,6386317,5608,50351,1642,25091,4194749,109145
03-Oct-2020,6385764,5704,50683,1650,23740,4196181,109181
04-Oct-2020,6385209,5802,51020,1658,22461,4197537,109215
05-Oct-2020,6384653,5902,51364,1667,21251,4198819,109247
06-Oct-2020,6384094,6003,51713,1676,20106,4200032,109278
07-Oct-2020,6383534,6106,52068,1685,19023,4201180,109307
08-Oct-2020,6382970,6211,52430,1694,17998,4202266,109334
09-Oct-2020,6382403,6317,52797,1703,17029,4203294,109360
10-Oct-2020,6381832,6426,53171,1713,16112,4204266,109384
11-Oct-2020,6381257,6536,53551,1722,15244,4205186,109407
12-Oct-2020,6380678,6648,53938,1732,14422,4206056,109429
13-Oct-2020,6380093,6761,54332,1742,13645,4206879,109450
14-Oct-2020,6379504,6877,54732,1752,12910,4207658,109470
15-Oct-2020,6378909,6995,55139,1762,12215,4208395,109488
16-Oct-2020,6378308,7114,55553,1772,11557,4209093,109506
17-Oct-2020,6377702,7236,55974,1783,10934,4209752,109522
18-Oct-2020,6377088,7359,56402,1794,10345,4210377,109538
19-Oct-2020,6376468,7485,56838,1805,9788,4210967,109553
20-Oct-2020,6375841,7612,57281,1816,9261,4211526,109567
21-Oct-2020,6375206,7742,57731,1827,8762,4212055,109580
22-Oct-2020,6374563,7874,58189,1839,8290,4212555,109593
23-Oct-2020,6373913,8008,58655,1850,7843,4213028,109604
24-Oct-2020,6373254,8145,59129,1862,7421,4213476,109616
25-Oct-2020,6372587,8283,59611,1874,7021,4213900,109626
26-Oct-2020,6371911,8424,60102,1887,6642,4214300,109636
27-Oct-2020,6371226,8567,60600,1899,6285,4214680,109646
28-Oct-2020,6370531,8713,61107,1912,5946,4215038,109655
29-Oct-2020,6369827,8861,61623,1925,5626,4215378,109663
30-Oct-2020,6369113,9011,62147,1938,5323,4215699,109672
31-Oct-2020,6368388,9164,62681,1951,5036,4216003,109679
01-Nov-2020,6367654,9320,63223,1965,4764,4216290,109686
02-Nov-2020,6366908,9478,63775,1979,4508,4216562,109693
03-Nov-2020,6366152,9638,64335,1993,4265,4216820,109700
04-Nov-2020,6365384,9802,64906,2007,4035,4217063,109706
05-Nov-2020,6364605,9967,65486,2022,3818,4217294,109712
06-Nov-2020,6363814,10136,66076,2037,3612,4217512,109717
07-Nov-2020,6363011,10307,66676,2052,3417,4217718,109722
08-Nov-2020,6362195,10481,67286,2067,3233,4217913,109727
09-Nov-2020,6361368,10658,67906,2083,3059,4218097,109732
10-Nov-2020,6360527,10838,68537,2099,2894,4218272,109736
11-Nov-2020,6359673,11021,69178,2115,2738,4218437,109740
12-Nov-2020,6358806,11207,69830,2131,2591,4218594,109744
13-Nov-2020,6357926,11395,70493,2148,2451,4218741,109748
14-Nov-2020,6357031,11587,71168,2165,2319,4218881,109752
15-Nov-2020,6356123,11782,71853,2182,2194,4219014,109755
