datetime,S,Q,R,D,Q_s,R_s,D_s
07-Jul-2020,10736096,3784,8277,664,12725,8277,664
08-Jul-2020,10733208,3888,8451,669,14690,8899,683
09-Jul-2020,10729910,3994,8630,675,16957,9617,704
10-Jul-2020,10726142,4104,8815,680,19573,10446,729
11-Jul-2020,10721832,4216,9004,686,22590,11403,757
12-Jul-2020,10716899,4331,9198,691,26071,12507,790
13-Jul-2020,10711250,4449,9397,697,30085,13781,828
14-Jul-2020,10704775,4570,9602,703,34714,15251,871
15-Jul-2020,10697351,4694,9813,710,40050,16947,922
16-Jul-2020,10688836,4822,10029,716,46199,18904,980
17-Jul-2020,10679068,4952,10251,723,53284,21162,1047
18-Jul-2020,10667858,5086,10479,730,61444,23765,1125
19-Jul-2020,10654994,5222,10714,736,70839,26767,1214
20-Jul-2020,10640232,5362,10954,744,81651,30227,1317
21-Jul-2020,10623294,5506,11201,751,94085,34214,1436
22-Jul-2020,10603862,5652,11455,759,108379,38808,1572
23-Jul-2020,10581577,5801,11715,766,124798,44099,1730
24-Jul-2020,10556031,5953,11982,774,143644,50191,1911
25-Jul-2020,10526764,6108,12256,782,165256,57200,2120
26-Jul-2020,10493257,6266,12538,791,190013,65262,2359
27-Jul-2020,10454930,6427,12826,799,218341,74529,2635
28-Jul-2020,10411134,6589,13122,808,250709,85174,2952
29-Jul-2020,10361149,6753,13425,817,287636,97391,3315
30-Jul-2020,10304181,6919,13736,826,329690,111401,3732
31-Jul-2020,10239364,7087,14054,836,377486,127451,4210
01-Aug-2020,10165754,7254,14380,846,431681,145816,4756
02-Aug-2020,10082341,7422,14714,856,492970,166804,5381
03-Aug-2020,9988057,7589,15055,866,562076,190752,6093
04-Aug-2020,9881784,7754,15404,876,639731,218033,6905
05-Aug-2020,9762383,7917,15760,887,726660,249053,7828
06-Aug-2020,9628715,8076,16123,897,823553,284247,8875
07-Aug-2020,9479679,8231,16494,908,931030,324085,10060
08-Aug-2020,9314257,8379,16872,920,1049604,369058,11398
09-Aug-2020,9131562,8520,17256,931,1179633,419681,12904
10-Aug-2020,8930902,8651,17646,943,1321273,476478,14594
11-Aug-2020,8711837,8772,18042,955,1474422,539976,16483
12-Aug-2020,8474245,8881,18443,966,1638673,610691,18587
13-Aug-2020,8218384,8976,18849,979,1813269,689110,20921
14-Aug-2020,7944937,9055,19259,991,1997069,775680,23496
15-Aug-2020,7655049,9118,19672,1003,2188534,870786,26326
16-Aug-2020,7350334,9162,20088,1015,2385737,974733,29419
17-Aug-2020,7032863,9186,20505,1028,2586392,1087732,32781
18-Aug-2020,6705125,9190,20923,1040,2787912,1209883,36415
19-Aug-2020,6369931,9174,21340,1053,2987508,1341161,40321
20-Aug-2020,6030339,9136,21756,1065,3182284,1481414,44494
21-Aug-2020,5689542,9076,22170,1077,3369342,1630355,48925
22-Aug-2020,5350697,8997,22581,1090,3545949,1787571,53603
23-Aug-2020,5016855,8897,22988,1102,3709604,1952531,58511
24-Aug-2020,4690831,8778,23390,1114,3858151,2124594,63630
25-Aug-2020,4375100,8642,23786,1125,3989863,2303031,68939
26-Aug-2020,4071751,8490,24175,1137,4103471,2487049,74414
27-Aug-2020,3782441,8324,24557,1148,4198183,2675804,80030
28-Aug-2020,3508392,8145,24932,1160,4273672,2868427,85761
29-Aug-2020,3250404,7955,25298,1170,4330034,3064046,91581
30-Aug-2020,3008879,7756,25655,1181,4367751,3261800,97465
31-Aug-2020,2783888,7550,26003,1191,4387608,3460860,103387
01-Sep-2020,2575209,7339,26341,1201,4390635,3660435,109325
02-Sep-2020,2382381,7124,26670,1211,4378057,3859788,115256
03-Sep-2020,2204764,6906,26989,1221,4351206,4058240,121161
04-Sep-2020,2041607,6687,27298,1230,4311470,4255175,127020
05-Sep-2020,1892058,6468,27597,1239,4260272,4450035,132818
06-Sep-2020,1755217,6251,27886,1247,4199013,4642334,138539
07-Sep-2020,1630171,6034,28165,1256,4129041,4831648,144172
08-Sep-2020,1516021,5821,28434,1264,4051635,5017607,149705
09-Sep-2020,1411885,5611,28694,1271,3967997,5199900,155128
10-Sep-2020,1316917,5405,28944,1279,3879235,5378272,160435
11-Sep-2020,1230320,5203,29186,1286,3786362,5552511,165619
