datetime,S,Q,R,D,Q_s,R_s,D_s
28-Aug-2020,3508392,6955,29169,1154,4273672,2868427,85761
29-Aug-2020,3355948,7444,29689,1166,4114886,3171585,92811
30-Aug-2020,3215436,7919,30245,1179,3955904,3463253,99594
31-Aug-2020,3085896,8377,30834,1193,3797668,3743452,106110
01-Sep-2020,2966430,8817,31455,1207,3640992,4012266,112362
02-Sep-2020,2856212,9235,32108,1222,3486567,4269833,118352
03-Sep-2020,2754473,9631,32790,1238,3334974,4516338,124085
04-Sep-2020,2660511,10004,33499,1255,3186692,4752003,129565
05-Sep-2020,2573678,10352,34235,1272,3042110,4977083,134800
06-Sep-2020,2493382,10676,34995,1289,2901537,5191855,139794
07-Sep-2020,2419082,10974,35778,1308,2765212,5396619,144556
08-Sep-2020,2350282,11248,36581,1326,2633309,5591689,149093
09-Sep-2020,2286531,11497,37403,1345,2505952,5777390,153412
10-Sep-2020,2227415,11721,38242,1365,2383214,5954051,157520
11-Sep-2020,2172559,11922,39097,1385,2265131,6122009,161426
12-Sep-2020,2121620,12100,39965,1405,2151700,6281601,165138
13-Sep-2020,2074284,12256,40846,1426,2042895,6433162,168662
14-Sep-2020,2030265,12390,41737,1446,1938660,6577024,172008
15-Sep-2020,1989304,12504,42636,1467,1838921,6713515,175182
16-Sep-2020,1951162,12598,43543,1488,1743588,6842957,178192
17-Sep-2020,1915621,12673,44457,1510,1652558,6965665,181046
18-Sep-2020,1882483,12731,45375,1531,1565714,7081945,183750
19-Sep-2020,1851566,12772,46297,1552,1482935,7192096,186312
20-Sep-2020,1822702,12798,47221,1574,1404091,7296407,188738
21-Sep-2020,1795740,12808,48146,1595,1329048,7395157,191034
22-Sep-2020,1770539,12805,49072,1617,1257671,7488617,193208
23-Sep-2020,1746971,12789,49997,1638,1189823,7577046,195264
24-Sep-2020,1724919,12761,50921,1660,1125365,7660694,197210
25-Sep-2020,1704273,12722,51842,1681,1064159,7739802,199049
26-Sep-2020,1684934,12673,52759,1703,1006071,7814600,200789
27-Sep-2020,1666810,12614,53673,1724,950967,7885308,202433
28-Sep-2020,1649817,12546,54583,1745,898715,7952137,203987
29-Sep-2020,1633876,12470,55487,1766,849186,8015288,205456
30-Sep-2020,1618916,12386,56385,1787,802257,8074954,206844
01-Oct-2020,1604869,12296,57277,1808,757806,8131319,208155
02-Oct-2020,1591675,12200,58162,1828,715715,8184556,209393
03-Oct-2020,1579276,12098,59041,1849,675871,8234834,210562
04-Oct-2020,1567620,11990,59911,1869,638164,8282309,211666
05-Oct-2020,1556657,11879,60774,1889,602490,8327133,212708
06-Oct-2020,1546343,11763,61628,1909,568746,8369449,213692
07-Oct-2020,1536634,11643,62474,1929,536835,8409393,214621
08-Oct-2020,1527494,11520,63311,1948,506665,8447094,215498
09-Oct-2020,1518884,11394,64139,1967,478146,8482674,216326
10-Oct-2020,1510771,11266,64958,1986,451192,8516250,217106
11-Oct-2020,1503124,11135,65768,2005,425722,8547932,217843
12-Oct-2020,1495913,11003,66568,2024,401659,8577825,218538
13-Oct-2020,1489112,10869,67358,2042,378928,8606026,219194
14-Oct-2020,1482694,10734,68139,2060,357458,8632631,219813
15-Oct-2020,1476636,10597,68910,2078,337183,8657728,220397
16-Oct-2020,1470917,10460,69671,2096,318038,8681400,220947
17-Oct-2020,1465514,10323,70422,2113,299963,8703728,221466
18-Oct-2020,1460410,10184,71163,2131,282899,8724786,221956
19-Oct-2020,1455586,10046,71894,2148,266792,8744646,222418
20-Oct-2020,1451024,9908,72615,2164,251590,8763374,222854
21-Oct-2020,1446710,9770,73326,2181,237243,8781035,223264
22-Oct-2020,1442629,9632,74027,2197,223704,8797689,223652
23-Oct-2020,1438767,9494,74719,2213,210929,8813391,224017
24-Oct-2020,1435110,9357,75400,2229,198876,8828197,224361
25-Oct-2020,1431647,9220,76071,2245,187504,8842156,224686
26-Oct-2020,1428367,9085,76733,2260,176776,8855317,224992
27-Oct-2020,1425258,8950,77384,2275,166657,8867725,225280
28-Oct-2020,1422311,8816,78026,2290,157112,8879422,225552
29-Oct-2020,1419516,8683,78659,2305,148109,8890449,225809
30-Oct-2020,1416865,8551,79282,2319,139618,8900845,226051
31-Oct-2020,1414349,8420,79895,2334,131610,8910644,226278
01-Nov-2020,1411961,8290,80499,2348,124058,8919881,226493
02-Nov-2020,1409693,8161,81093,2362,116937,8928587,226696
03-Nov-2020,1407539,8034,81679,2375,110222,8936794,226887
04-Nov-2020,1405492,7908,82255,2389,103890,8944530,227067
05-Nov-2020,1403546,7784,82822,2402,97920,8951821,227236
06-Nov-2020,1401695,7660,83380,2415,92291,8958693,227396
07-Nov-2020,1399934,7538,83929,2427,86984,8965170,227547
08-Nov-2020,1398259,7418,84470,2440,81981,8971274,227688
09-Nov-2020,1396663,7299,85001,2452,77264,8977027,227822
10-Nov-2020,1395144,7181,85525,2465,72817,8982450,227948
11-Nov-2020,1393696,7065,86040,2477,68625,8987560,228067
