datetime,S,Q,R,D,Q_s,R_s,D_s
28-Sep-2020,2030265,4318,49990,1618,688371,7798896,200424
29-Sep-2020,2015631,4360,50303,1626,653048,7847363,201551
30-Sep-2020,2001825,4400,50620,1633,619445,7893340,202620
01-Oct-2020,1988796,4438,50939,1640,587488,7936948,203634
02-Oct-2020,1976496,4473,51261,1648,557105,7978303,204596
03-Oct-2020,1964882,4507,51586,1655,528227,8017517,205508
04-Oct-2020,1953912,4539,51913,1663,500787,8054696,206373
05-Oct-2020,1943548,4569,52242,1671,474719,8089942,207192
06-Oct-2020,1933753,4598,52573,1678,449960,8123351,207969
07-Oct-2020,1924494,4624,52907,1686,426450,8155016,208706
08-Oct-2020,1915739,4650,53242,1694,404130,8185025,209403
09-Oct-2020,1907458,4673,53579,1702,382943,8213463,210065
10-Oct-2020,1899624,4695,53917,1710,362837,8240408,210691
11-Oct-2020,1892210,4716,54257,1717,343759,8265938,211285
12-Oct-2020,1885192,4736,54599,1725,325659,8290124,211848
13-Oct-2020,1878547,4754,54942,1733,308490,8313036,212381
14-Oct-2020,1872253,4771,55286,1741,292206,8334739,212885
15-Oct-2020,1866290,4787,55632,1749,276765,8355296,213363
16-Oct-2020,1860640,4802,55978,1758,262123,8374767,213816
17-Oct-2020,1855284,4816,56326,1766,248241,8393206,214245
18-Oct-2020,1850205,4828,56674,1774,235081,8410669,214651
19-Oct-2020,1845388,4840,57024,1782,222608,8427205,215036
20-Oct-2020,1840818,4851,57374,1790,210786,8442864,215400
21-Oct-2020,1836481,4861,57725,1798,199582,8457690,215745
22-Oct-2020,1832364,4870,58077,1806,188966,8471729,216071
23-Oct-2020,1828454,4879,58429,1815,178907,8485020,216380
24-Oct-2020,1824739,4886,58782,1823,169376,8497603,216673
25-Oct-2020,1821210,4893,59135,1831,160347,8509516,216950
26-Oct-2020,1817855,4899,59489,1839,151794,8520794,217212
27-Oct-2020,1814664,4905,59843,1847,143692,8531470,217460
28-Oct-2020,1811629,4910,60198,1856,136018,8541576,217695
29-Oct-2020,1808741,4914,60553,1864,128750,8551142,217918
30-Oct-2020,1805992,4918,60909,1872,121867,8560197,218128
31-Oct-2020,1803373,4921,61264,1880,115348,8568767,218328
01-Nov-2020,1800879,4924,61620,1889,109175,8576879,218516
02-Nov-2020,1798501,4926,61976,1897,103330,8584557,218695
03-Nov-2020,1796234,4928,62332,1905,97796,8591824,218864
04-Nov-2020,1794071,4929,62688,1914,92555,8598701,219024
05-Nov-2020,1792007,4930,63045,1922,87594,8605210,219175
06-Nov-2020,1790036,4931,63401,1930,82897,8611370,219319
07-Nov-2020,1788153,4931,63757,1938,78450,8617199,219454
08-Nov-2020,1786353,4931,64114,1947,74240,8622716,219582
09-Nov-2020,1784633,4930,64470,1955,70255,8627936,219704
10-Nov-2020,1782986,4929,64826,1963,66482,8632877,219819
11-Nov-2020,1781411,4928,65183,1972,62911,8637552,219927
12-Nov-2020,1779901,4926,65539,1980,59531,8641976,220030
13-Nov-2020,1778455,4924,65895,1988,56332,8646162,220128
14-Nov-2020,1777068,4922,66250,1996,53303,8650123,220220
15-Nov-2020,1775737,4919,66606,2005,50437,8653871,220307
16-Nov-2020,1774460,4916,66962,2013,47725,8657417,220389
17-Nov-2020,1773233,4913,67317,2021,45157,8660773,220467
18-Nov-2020,1772054,4910,67672,2029,42727,8663949,220541
19-Nov-2020,1770920,4907,68027,2038,40428,8666953,220611
20-Nov-2020,1769828,4903,68381,2046,38252,8669796,220677
21-Nov-2020,1768777,4899,68735,2054,36192,8672485,220740
22-Nov-2020,1767764,4895,69089,2062,34243,8675030,220799
23-Nov-2020,1766787,4891,69443,2071,32399,8677438,220855
24-Nov-2020,1765844,4886,69796,2079,30653,8679716,220908
25-Nov-2020,1764934,4881,70149,2087,29002,8681871,220958
26-Nov-2020,1764055,4876,70502,2095,27439,8683910,221006
27-Nov-2020,1763204,4871,70854,2103,25960,8685840,221050
28-Nov-2020,1762381,4866,71206,2112,24560,8687665,221093
29-Nov-2020,1761583,4861,71558,2120,23236,8689392,221133
30-Nov-2020,1760811,4855,71909,2128,21983,8691026,221171
01-Dec-2020,1760062,4850,72259,2136,20798,8692571,221207
02-Dec-2020,1759334,4844,72610,2144,19676,8694034,221241
03-Dec-2020,1758628,4838,72960,2152,18615,8695417,221273
04-Dec-2020,1757942,4832,73309,2161,17610,8696726,221304
05-Dec-2020,1757274,4825,73658,2169,16660,8697964,221332
06-Dec-2020,1756624,4819,74007,2177,15761,8699135,221360
07-Dec-2020,1755991,4813,74355,2185,14910,8700243,221385
08-Dec-2020,1755374,4806,74702,2193,14106,8701292,221410
09-Dec-2020,1754772,4799,75049,2201,13344,8702284,221433
10-Dec-2020,1754185,4793,75396,2209,12624,8703222,221455
11-Dec-2020,1753611,4786,75742,2217,11942,8704109,221475
12-Dec-2020,1753050,4779,76088,2225,11297,8704949,221495
13-Dec-2020,1752501,4772,76433,2233,10687,8705743,221513
14-Dec-2020,1751964,4764,76778,2241,10110,8706495,221531
15-Dec-2020,1751438,4757,77122,2249,9564,8707205,221547
16-Dec-2020,1750923,4750,77465,2257,9047,8707878,221563
