datetime,S,Q,R,D,Q_s,R_s,D_s
17-Jul-2020,10744085,4982,9994,731,4982,4982,731
18-Jul-2020,10743339,5071,10294,738,5026,5281,738
19-Jul-2020,10742583,5162,10600,745,5070,5582,745
20-Jul-2020,10741817,5254,10910,753,5114,5886,753
21-Jul-2020,10741042,5346,11227,760,5159,6193,760
22-Jul-2020,10740256,5440,11549,768,5204,6502,767
23-Jul-2020,10739460,5535,11876,776,5250,6814,775
24-Jul-2020,10738654,5632,12210,784,5296,7129,782
25-Jul-2020,10737838,5729,12549,792,5342,7447,790
26-Jul-2020,10737012,5828,12894,800,5389,7767,797
27-Jul-2020,10736175,5928,13245,808,5436,8090,805
28-Jul-2020,10735327,6029,13602,817,5483,8416,813
29-Jul-2020,10734468,6132,13965,826,5531,8745,821
30-Jul-2020,10733599,6235,14334,834,5579,9076,829
31-Jul-2020,10732718,6340,14709,843,5628,9411,837
01-Aug-2020,10731827,6447,15091,853,5677,9748,845
02-Aug-2020,10730924,6554,15479,862,5726,10089,853
03-Aug-2020,10730010,6663,15874,871,5776,10432,861
04-Aug-2020,10729084,6773,16275,881,5826,10778,869
05-Aug-2020,10728147,6885,16683,890,5877,11128,878
06-Aug-2020,10727198,6998,17097,900,5927,11480,886
07-Aug-2020,10726238,7112,17518,910,5979,11836,894
08-Aug-2020,10725265,7228,17946,921,6030,12194,903
09-Aug-2020,10724280,7345,18381,931,6083,12556,912
10-Aug-2020,10723283,7463,18823,941,6135,12920,920
11-Aug-2020,10722274,7583,19272,952,6188,13288,929
12-Aug-2020,10721252,7704,19729,963,6241,13659,938
13-Aug-2020,10720218,7827,20192,974,6295,14033,947
14-Aug-2020,10719171,7951,20663,985,6349,14411,956
15-Aug-2020,10718111,8077,21142,997,6404,14792,965
16-Aug-2020,10717039,8204,21628,1008,6459,15176,974
17-Aug-2020,10715953,8333,22121,1020,6514,15563,983
18-Aug-2020,10714854,8463,22623,1032,6570,15953,993
19-Aug-2020,10713741,8594,23132,1044,6626,16347,1002
20-Aug-2020,10712615,8727,23649,1057,6683,16745,1011
21-Aug-2020,10711475,8862,24174,1069,6740,17145,1021
22-Aug-2020,10710322,8998,24707,1082,6798,17549,1031
23-Aug-2020,10709155,9136,25248,1095,6856,17957,1040
24-Aug-2020,10707973,9276,25798,1108,6914,18368,1050
25-Aug-2020,10706778,9417,26356,1121,6973,18783,1060
26-Aug-2020,10705568,9559,26922,1135,7032,19201,1070
27-Aug-2020,10704343,9704,27497,1148,7092,19622,1080
28-Aug-2020,10703104,9850,28081,1162,7152,20047,1090
29-Aug-2020,10701850,9997,28674,1176,7213,20476,1100
30-Aug-2020,10700582,10146,29275,1191,7274,20909,1111
31-Aug-2020,10699298,10297,29885,1205,7335,21345,1121
01-Sep-2020,10697999,10450,30504,1220,7397,21785,1132
02-Sep-2020,10696685,10604,31133,1235,7460,22228,1142
03-Sep-2020,10695355,10761,31771,1250,7523,22675,1153
04-Sep-2020,10694009,10918,32418,1266,7586,23126,1164
05-Sep-2020,10692648,11078,33074,1281,7650,23581,1174
06-Sep-2020,10691271,11239,33741,1297,7714,24040,1185
07-Sep-2020,10689878,11402,34416,1313,7779,24502,1196
08-Sep-2020,10688468,11567,35102,1330,7844,24969,1207
09-Sep-2020,10687042,11734,35798,1346,7910,25439,1219
10-Sep-2020,10685600,11903,36503,1363,7976,25913,1230
11-Sep-2020,10684140,12073,37219,1380,8042,26391,1241
12-Sep-2020,10682664,12245,37945,1397,8109,26873,1253
13-Sep-2020,10681171,12420,38681,1415,8177,27359,1264
14-Sep-2020,10679661,12596,39428,1433,8245,27850,1276
15-Sep-2020,10678133,12774,40185,1451,8313,28344,1288
16-Sep-2020,10676588,12953,40953,1469,8382,28842,1300
17-Sep-2020,10675025,13135,41732,1488,8451,29345,1312
18-Sep-2020,10673444,13319,42521,1506,8521,29851,1324
19-Sep-2020,10671845,13505,43322,1526,8591,30362,1336
20-Sep-2020,10670228,13692,44134,1545,8662,30877,1348
21-Sep-2020,10668593,13882,44957,1565,8734,31396,1361
22-Sep-2020,10666939,14074,45792,1584,8805,31920,1373
23-Sep-2020,10665266,14267,46638,1605,8878,32448,1386
24-Sep-2020,10663575,14463,47495,1625,8950,32980,1398
25-Sep-2020,10661865,14661,48365,1646,9023,33517,1411
26-Sep-2020,10660135,14861,49246,1667,9097,34057,1424
27-Sep-2020,10658386,15062,50139,1688,9171,34603,1437
28-Sep-2020,10656618,15266,51044,1710,9246,35153,1450
