datetime,S,Q,R,D,Q_s,R_s,D_s
14-Sep-2020,10679661,12161,42325,1440,8245,27850,1276
15-Sep-2020,10677992,12349,43350,1460,7988,28528,1289
16-Sep-2020,10676346,12513,44390,1480,7739,29186,1302
17-Sep-2020,10674723,12655,45443,1501,7498,29823,1314
18-Sep-2020,10673124,12775,46507,1521,7264,30441,1326
19-Sep-2020,10671547,12874,47580,1542,7037,31039,1338
20-Sep-2020,10669995,12955,48660,1563,6817,31618,1349
21-Sep-2020,10668465,13018,49746,1584,6604,32179,1360
22-Sep-2020,10666960,13063,50837,1605,6397,32723,1371
23-Sep-2020,10665478,13093,51931,1627,6197,33250,1381
24-Sep-2020,10664020,13108,53027,1648,6003,33760,1391
25-Sep-2020,10662586,13108,54124,1669,5815,34254,1401
26-Sep-2020,10661176,13095,55220,1690,5633,34733,1410
27-Sep-2020,10659789,13070,56314,1712,5456,35197,1419
28-Sep-2020,10658426,13034,57406,1733,5285,35646,1428
29-Sep-2020,10657087,12986,58494,1754,5119,36081,1436
30-Sep-2020,10655771,12928,59578,1775,4958,36502,1444
01-Oct-2020,10654478,12861,60657,1796,4803,36910,1452
02-Oct-2020,10653208,12785,61729,1817,4652,37306,1460
03-Oct-2020,10651962,12701,62795,1838,4505,37689,1467
04-Oct-2020,10650738,12609,63854,1858,4364,38060,1474
05-Oct-2020,10649537,12510,64905,1879,4226,38419,1481
06-Oct-2020,10648358,12405,65947,1899,4093,38767,1488
07-Oct-2020,10647202,12294,66980,1919,3964,39104,1495
08-Oct-2020,10646068,12177,68003,1939,3839,39430,1501
09-Oct-2020,10644955,12055,69017,1958,3718,39746,1507
10-Oct-2020,10643864,11929,70020,1978,3601,40052,1513
11-Oct-2020,10642795,11798,71012,1997,3487,40349,1519
12-Oct-2020,10641746,11663,71993,2016,3377,40636,1524
13-Oct-2020,10640719,11526,72963,2035,3271,40914,1530
14-Oct-2020,10639712,11385,73921,2054,3167,41183,1535
15-Oct-2020,10638725,11241,74868,2072,3067,41444,1540
16-Oct-2020,10637759,11095,75802,2090,2970,41696,1545
17-Oct-2020,10636812,10946,76724,2108,2876,41941,1550
18-Oct-2020,10635885,10796,77633,2126,2785,42178,1554
19-Oct-2020,10634977,10644,78530,2143,2697,42407,1559
20-Oct-2020,10634088,10491,79414,2160,2612,42629,1563
21-Oct-2020,10633217,10337,80285,2177,2529,42844,1567
22-Oct-2020,10632365,10182,81143,2194,2449,43052,1571
23-Oct-2020,10631532,10026,81988,2210,2372,43254,1575
24-Oct-2020,10630716,9870,82820,2226,2296,43449,1579
25-Oct-2020,10629917,9714,83639,2242,2224,43638,1583
26-Oct-2020,10629136,9557,84445,2258,2153,43821,1586
27-Oct-2020,10628372,9401,85238,2273,2085,43998,1590
28-Oct-2020,10627624,9245,86018,2289,2019,44170,1593
29-Oct-2020,10626893,9089,86785,2303,1955,44336,1596
30-Oct-2020,10626178,8933,87538,2318,1893,44497,1599
31-Oct-2020,10625479,8779,88279,2332,1832,44652,1602
01-Nov-2020,10624796,8625,89007,2347,1774,44803,1605
02-Nov-2020,10624127,8471,89722,2360,1718,44949,1608
03-Nov-2020,10623474,8319,90424,2374,1663,45091,1611
04-Nov-2020,10622836,8168,91114,2388,1610,45228,1614
05-Nov-2020,10622212,8018,91791,2401,1559,45360,1616
06-Nov-2020,10621602,7869,92455,2414,1510,45489,1619
07-Nov-2020,10621006,7722,93107,2426,1462,45613,1621
08-Nov-2020,10620424,7576,93747,2439,1415,45733,1623
09-Nov-2020,10619855,7431,94375,2451,1370,45850,1626
10-Nov-2020,10619299,7288,94990,2463,1327,45962,1628
11-Nov-2020,10618756,7146,95594,2475,1284,46072,1630
12-Nov-2020,10618226,7006,96186,2486,1243,46177,1632
13-Nov-2020,10617708,6868,96766,2497,1204,46280,1634
14-Nov-2020,10617203,6731,97335,2508,1165,46379,1636
15-Nov-2020,10616709,6596,97892,2519,1128,46475,1638
16-Nov-2020,10616227,6463,98438,2530,1092,46567,1640
17-Nov-2020,10615756,6331,98973,2540,1058,46657,1641
18-Nov-2020,10615296,6201,99497,2550,1024,46744,1643
19-Nov-2020,10614848,6073,100011,2560,991,46829,1645
20-Nov-2020,10614410,5947,100514,2570,960,46910,1646
21-Nov-2020,10613983,5823,101006,2580,929,46989,1648
22-Nov-2020,10613565,5700,101488,2589,899,47066,1649
23-Nov-2020,10613158,5580,101959,2598,871,47140,1651
24-Nov-2020,10612761,5461,102421,2607,843,47211,1652
25-Nov-2020,10612373,5344,102873,2616,816,47281,1654
26-Nov-2020,10611995,5229,103315,2624,790,47348,1655
27-Nov-2020,10611626,5116,103748,2633,765,47413,1656
28-Nov-2020,10611266,5005,104171,2641,740,47476,1657
29-Nov-2020,10610915,4895,104585,2649,717,47537,1658
30-Nov-2020,10610572,4788,104990,2657,694,47596,1660
01-Dec-2020,10610238,4682,105386,2665,672,47653,1661
02-Dec-2020,10609912,4578,105774,2672,650,47708,1662
03-Dec-2020,10609594,4477,106152,2680,630,47762,1663
04-Dec-2020,10609284,4376,106523,2687,609,47814,1664
05-Dec-2020,10608982,4278,106884,2694,590,47864,1665
06-Dec-2020,10608687,4181,107238,2701,571,47912,1666
07-Dec-2020,10608400,4087,107584,2707,553,47959,1667
08-Dec-2020,10608120,3994,107922,2714,535,48005,1668
09-Dec-2020,10607846,3903,108252,2720,518,48049,1668
10-Dec-2020,10607580,3813,108575,2727,502,48091,1669
11-Dec-2020,10607320,3725,108890,2733,486,48133,1670
12-Dec-2020,10607067,3639,109198,2739,470,48173,1671
13-Dec-2020,10606821,3555,109499,2745,455,48211,1672
14-Dec-2020,10606580,3472,109793,2750,440,48249,1672
15-Dec-2020,10606346,3391,110080,2756,426,48285,1673
16-Dec-2020,10606117,3312,110360,2761,413,48320,1674
17-Dec-2020,10605895,3234,110634,2767,400,48354,1674
18-Dec-2020,10605678,3158,110901,2772,387,48387,1675
19-Dec-2020,10605466,3083,111162,2777,374,48419,1676
20-Dec-2020,10605260,3010,111417,2782,362,48450,1676
21-Dec-2020,10605059,2938,111666,2787,351,48479,1677
22-Dec-2020,10604864,2868,111909,2791,340,48508,1677
23-Dec-2020,10604673,2799,112146,2796,329,48536,1678
24-Dec-2020,10604488,2732,112377,2800,318,48563,1678
25-Dec-2020,10604307,2666,112603,2805,308,48590,1679
26-Dec-2020,10604130,2602,112823,2809,298,48615,1679
27-Dec-2020,10603959,2539,113038,2813,289,48639,1680
28-Dec-2020,10603792,2477,113248,2817,279,48663,1680
29-Dec-2020,10603629,2417,113452,2821,270,48686,1681
30-Dec-2020,10603470,2358,113652,2825,262,48708,1681
31-Dec-2020,10603316,2300,113847,2829,253,48730,1682
