datetime,S,Q,R,D,Q_s,R_s,D_s
29-Sep-2020,10657087,12986,58494,1754,5119,36081,1436
30-Sep-2020,10656455,12273,59550,1775,4958,36502,1444
01-Oct-2020,10655843,11607,60549,1794,4803,36910,1452
02-Oct-2020,10655250,10984,61493,1812,4652,37306,1460
03-Oct-2020,10654675,10403,62387,1830,4506,37689,1467
04-Oct-2020,10654119,9859,63234,1846,4364,38060,1474
05-Oct-2020,10653581,9350,64038,1862,4227,38419,1481
06-Oct-2020,10653059,8873,64799,1876,4094,38767,1488
07-Oct-2020,10652554,8426,65523,1891,3965,39104,1495
08-Oct-2020,10652064,8007,66210,1904,3841,39430,1501
09-Oct-2020,10651591,7613,66863,1917,3720,39747,1507
10-Oct-2020,10651132,7244,67484,1929,3603,40053,1513
11-Oct-2020,10650687,6897,68075,1940,3489,40349,1519
12-Oct-2020,10650256,6570,68638,1951,3380,40637,1524
13-Oct-2020,10649839,6263,69175,1961,3273,40915,1530
14-Oct-2020,10649436,5974,69687,1971,3170,41184,1535
