datetime,S,Q,R,D,Q_s,R_s,D_s
13-Oct-2020,10649839,6263,69175,1961,3273,40915,1530
14-Oct-2020,10649104,6291,69700,1972,3170,41184,1535
15-Oct-2020,10648381,6311,70227,1982,3070,41445,1540
16-Oct-2020,10647669,6323,70756,1992,2974,41698,1545
17-Oct-2020,10646968,6328,71285,2002,2880,41943,1550
18-Oct-2020,10646280,6327,71814,2013,2789,42180,1554
19-Oct-2020,10645602,6319,72343,2023,2701,42410,1559
20-Oct-2020,10644936,6305,72871,2033,2616,42632,1563
21-Oct-2020,10644281,6286,73398,2043,2534,42847,1567
22-Oct-2020,10643638,6261,73923,2054,2454,43056,1571
23-Oct-2020,10643006,6232,74445,2064,2376,43258,1575
24-Oct-2020,10642386,6198,74965,2074,2301,43453,1579
25-Oct-2020,10641776,6161,75482,2084,2229,43643,1583
26-Oct-2020,10641178,6119,75996,2094,2158,43826,1586
27-Oct-2020,10640590,6073,76506,2104,2090,44004,1590
28-Oct-2020,10640014,6025,77012,2114,2024,44176,1593
29-Oct-2020,10639448,5973,77513,2123,1960,44343,1596
30-Oct-2020,10638893,5918,78011,2133,1898,44504,1600
31-Oct-2020,10638349,5861,78503,2143,1838,44660,1603
01-Nov-2020,10637815,5802,78991,2152,1780,44812,1606
02-Nov-2020,10637292,5740,79474,2161,1724,44958,1608
03-Nov-2020,10636778,5676,79951,2171,1669,45100,1611
04-Nov-2020,10636275,5611,80423,2180,1616,45237,1614
05-Nov-2020,10635782,5544,80890,2189,1565,45370,1616
06-Nov-2020,10635299,5475,81351,2198,1516,45499,1619
07-Nov-2020,10634826,5405,81806,2207,1468,45624,1621
08-Nov-2020,10634362,5334,82255,2215,1421,45745,1624
09-Nov-2020,10633908,5263,82698,2224,1376,45862,1626
10-Nov-2020,10633463,5190,83135,2233,1333,45975,1628
11-Nov-2020,10633027,5116,83566,2241,1291,46085,1630
12-Nov-2020,10632601,5042,83991,2249,1250,46191,1632
13-Nov-2020,10632183,4968,84410,2257,1210,46294,1634
14-Nov-2020,10631775,4893,84822,2265,1172,46394,1636
15-Nov-2020,10631375,4818,85228,2273,1135,46490,1638
16-Nov-2020,10630983,4742,85628,2281,1099,46583,1640
17-Nov-2020,10630600,4667,86022,2289,1064,46674,1642
18-Nov-2020,10630225,4591,86409,2296,1030,46761,1643
19-Nov-2020,10629859,4516,86790,2304,997,46846,1645
20-Nov-2020,10629500,4441,87165,2311,966,46928,1647
21-Nov-2020,10629149,4366,87533,2318,935,47008,1648
22-Nov-2020,10628806,4291,87895,2325,906,47085,1650
23-Nov-2020,10628471,4216,88251,2332,877,47159,1651
24-Nov-2020,10628143,4142,88600,2339,849,47232,1653
25-Nov-2020,10627822,4068,88944,2345,822,47301,1654
26-Nov-2020,10627508,3995,89281,2352,796,47369,1655
27-Nov-2020,10627202,3923,89612,2358,771,47435,1657
28-Nov-2020,10626903,3850,89937,2365,746,47498,1658
29-Nov-2020,10626610,3779,90256,2371,723,47559,1659
30-Nov-2020,10626324,3708,90569,2377,700,47619,1660
01-Dec-2020,10626044,3638,90877,2383,677,47677,1661
02-Dec-2020,10625771,3568,91178,2389,656,47732,1662
03-Dec-2020,10625505,3500,91473,2395,635,47786,1663
04-Dec-2020,10625244,3431,91763,2400,615,47839,1664
05-Dec-2020,10624990,3364,92048,2406,595,47889,1665
06-Dec-2020,10624741,3298,92326,2411,576,47938,1666
07-Dec-2020,10624498,3232,92599,2416,558,47986,1667
08-Dec-2020,10624261,3167,92867,2422,540,48032,1668
09-Dec-2020,10624030,3103,93129,2427,523,48076,1669
10-Dec-2020,10623804,3040,93386,2432,507,48119,1670
11-Dec-2020,10623583,2978,93638,2437,491,48161,1671
12-Dec-2020,10623367,2916,93884,2441,475,48201,1671
13-Dec-2020,10623157,2856,94126,2446,460,48240,1672
14-Dec-2020,10622952,2796,94362,2451,445,48278,1673
15-Dec-2020,10622751,2737,94593,2455,431,48315,1674
16-Dec-2020,10622556,2680,94820,2459,417,48350,1674
17-Dec-2020,10622365,2623,95042,2464,404,48385,1675
18-Dec-2020,10622179,2567,95259,2468,391,48418,1676
19-Dec-2020,10621997,2511,95471,2472,379,48450,1676
20-Dec-2020,10621820,2457,95679,2476,367,48481,1677
21-Dec-2020,10621647,2404,95882,2480,355,48512,1677
22-Dec-2020,10621478,2351,96081,2484,344,48541,1678
23-Dec-2020,10621313,2300,96276,2488,333,48569,1679
24-Dec-2020,10621152,2249,96466,2491,322,48596,1679
25-Dec-2020,10620996,2199,96652,2495,312,48623,1680
26-Dec-2020,10620843,2151,96834,2499,302,48649,1680
27-Dec-2020,10620694,2103,97012,2502,293,48674,1681
28-Dec-2020,10620548,2055,97186,2505,283,48698,1681
29-Dec-2020,10620407,2009,97356,2509,274,48721,1681
30-Dec-2020,10620268,1964,97522,2512,265,48743,1682
31-Dec-2020,10620134,1919,97684,2515,257,48765,1682
01-Jan-2021,10620002,1875,97843,2518,249,48786,1683
02-Jan-2021,10619874,1833,97998,2521,241,48807,1683
03-Jan-2021,10619749,1790,98149,2524,233,48827,1684
04-Jan-2021,10619627,1749,98298,2527,226,48846,1684
05-Jan-2021,10619509,1709,98442,2530,219,48865,1684
06-Jan-2021,10619393,1669,98583,2533,212,48883,1685
07-Jan-2021,10619280,1630,98721,2535,205,48900,1685
08-Jan-2021,10619170,1592,98856,2538,198,48917,1685
09-Jan-2021,10619063,1555,98988,2540,192,48933,1686
10-Jan-2021,10618958,1518,99116,2543,186,48949,1686
11-Jan-2021,10618857,1482,99242,2545,180,48964,1686
12-Jan-2021,10618757,1447,99364,2548,174,48979,1687
13-Jan-2021,10618661,1413,99484,2550,169,48994,1687
14-Jan-2021,10618567,1379,99601,2552,163,49007,1687
15-Jan-2021,10618475,1346,99715,2555,158,49021,1687
16-Jan-2021,10618385,1314,99826,2557,153,49034,1688
17-Jan-2021,10618298,1283,99935,2559,148,49046,1688
18-Jan-2021,10618213,1252,100041,2561,144,49059,1688
19-Jan-2021,10618131,1222,100144,2563,139,49071,1688
20-Jan-2021,10618050,1192,100245,2565,135,49082,1689
21-Jan-2021,10617972,1163,100343,2567,130,49093,1689
22-Jan-2021,10617895,1135,100440,2569,126,49104,1689
23-Jan-2021,10617821,1107,100533,2570,122,49114,1689
24-Jan-2021,10617748,1080,100625,2572,118,49124,1689
25-Jan-2021,10617677,1054,100714,2574,114,49134,1690
26-Jan-2021,10617609,1028,100801,2576,111,49143,1690
27-Jan-2021,10617542,1002,100886,2577,107,49152,1690
28-Jan-2021,10617476,978,100969,2579,104,49161,1690
29-Jan-2021,10617413,954,101050,2580,101,49170,1690
30-Jan-2021,10617351,930,101128,2582,97,49178,1690
31-Jan-2021,10617291,907,101205,2584,94,49186,1691
01-Feb-2021,10617232,884,101280,2585,91,49194,1691
02-Feb-2021,10617175,862,101353,2586,88,49201,1691
03-Feb-2021,10617119,841,101424,2588,86,49209,1691
04-Feb-2021,10617065,820,101494,2589,83,49216,1691
05-Feb-2021,10617012,799,101561,2590,80,49223,1691
06-Feb-2021,10616961,779,101627,2592,78,49229,1691
07-Feb-2021,10616911,759,101692,2593,75,49236,1691
08-Feb-2021,10616862,740,101754,2594,73,49242,1692
09-Feb-2021,10616815,721,101815,2595,70,49248,1692
10-Feb-2021,10616769,703,101875,2597,68,49254,1692
11-Feb-2021,10616724,685,101933,2598,66,49259,1692
12-Feb-2021,10616680,668,101990,2599,64,49265,1692
13-Feb-2021,10616637,651,102045,2600,62,49270,1692
14-Feb-2021,10616596,634,102099,2601,60,49275,1692
15-Feb-2021,10616556,618,102151,2602,58,49280,1692
16-Feb-2021,10616517,602,102202,2603,56,49285,1692
17-Feb-2021,10616478,587,102252,2604,54,49289,1693
18-Feb-2021,10616441,572,102300,2605,53,49294,1693
19-Feb-2021,10616405,557,102347,2606,51,49298,1693
20-Feb-2021,10616370,543,102393,2607,49,49302,1693
21-Feb-2021,10616336,529,102438,2607,48,49306,1693
22-Feb-2021,10616302,515,102482,2608,46,49310,1693
23-Feb-2021,10616270,502,102524,2609,45,49314,1693
24-Feb-2021,10616238,489,102566,2610,43,49318,1693
25-Feb-2021,10616208,476,102606,2611,42,49321,1693
26-Feb-2021,10616178,464,102645,2611,41,49325,1693
27-Feb-2021,10616149,452,102684,2612,39,49328,1693
28-Feb-2021,10616120,440,102721,2613,38,49331,1693
01-Mar-2021,10616093,428,102757,2614,37,49334,1693
02-Mar-2021,10616066,417,102793,2614,36,49338,1693
03-Mar-2021,10616040,406,102827,2615,35,49340,1694
04-Mar-2021,10616015,395,102861,2616,33,49343,1694
05-Mar-2021,10615990,385,102893,2616,32,49346,1694
06-Mar-2021,10615966,375,102925,2617,31,49349,1694
07-Mar-2021,10615943,365,102956,2618,30,49351,1694
08-Mar-2021,10615920,356,102986,2618,29,49354,1694
09-Mar-2021,10615898,346,103015,2619,28,49356,1694
10-Mar-2021,10615877,337,103044,2619,28,49359,1694
11-Mar-2021,10615856,328,103072,2620,27,49361,1694
12-Mar-2021,10615836,319,103099,2620,26,49363,1694
13-Mar-2021,10615816,311,103125,2621,25,49365,1694
14-Mar-2021,10615797,303,103151,2621,24,49367,1694
15-Mar-2021,10615778,295,103176,2622,23,49369,1694
16-Mar-2021,10615760,287,103200,2622,23,49371,1694
17-Mar-2021,10615742,279,103224,2623,22,49373,1694
18-Mar-2021,10615725,272,103247,2623,21,49375,1694
19-Mar-2021,10615708,264,103269,2624,21,49377,1694
20-Mar-2021,10615692,257,103291,2624,20,49378,1694
21-Mar-2021,10615676,250,103312,2624,19,49380,1694
22-Mar-2021,10615661,244,103333,2625,19,49381,1694
23-Mar-2021,10615646,237,103353,2625,18,49383,1694
24-Mar-2021,10615631,231,103373,2626,18,49385,1694
25-Mar-2021,10615617,225,103392,2626,17,49386,1694
26-Mar-2021,10615603,219,103410,2626,16,49387,1694
27-Mar-2021,10615590,213,103428,2627,16,49389,1694
28-Mar-2021,10615577,207,103446,2627,15,49390,1694
29-Mar-2021,10615564,201,103463,2627,15,49391,1695
30-Mar-2021,10615552,196,103480,2628,14,49392,1695
31-Mar-2021,10615540,191,103496,2628,14,49394,1695
01-Apr-2021,10615529,186,103512,2628,14,49395,1695
02-Apr-2021,10615517,181,103527,2629,13,49396,1695
03-Apr-2021,10615506,176,103542,2629,13,49397,1695
04-Apr-2021,10615496,171,103556,2629,12,49398,1695
05-Apr-2021,10615485,166,103570,2629,12,49399,1695
06-Apr-2021,10615475,162,103584,2630,11,49400,1695
07-Apr-2021,10615465,157,103597,2630,11,49401,1695
08-Apr-2021,10615456,153,103610,2630,11,49402,1695
09-Apr-2021,10615447,149,103623,2630,10,49403,1695
10-Apr-2021,10615438,145,103635,2631,10,49404,1695
11-Apr-2021,10615429,141,103647,2631,10,49404,1695
12-Apr-2021,10615420,137,103659,2631,9,49405,1695
13-Apr-2021,10615412,133,103670,2631,9,49406,1695
14-Apr-2021,10615404,130,103681,2632,9,49407,1695
15-Apr-2021,10615396,126,103692,2632,9,49408,1695
16-Apr-2021,10615389,123,103702,2632,8,49408,1695
17-Apr-2021,10615381,119,103712,2632,8,49409,1695
18-Apr-2021,10615374,116,103722,2632,8,49410,1695
19-Apr-2021,10615367,113,103732,2633,8,49410,1695
20-Apr-2021,10615360,110,103741,2633,7,49411,1695
21-Apr-2021,10615354,107,103750,2633,7,49411,1695
22-Apr-2021,10615347,104,103759,2633,7,49412,1695
23-Apr-2021,10615341,101,103767,2633,7,49413,1695
24-Apr-2021,10615335,98,103776,2633,6,49413,1695
25-Apr-2021,10615329,95,103784,2634,6,49414,1695
26-Apr-2021,10615324,93,103792,2634,6,49414,1695
27-Apr-2021,10615318,90,103799,2634,6,49415,1695
28-Apr-2021,10615313,88,103807,2634,6,49415,1695
29-Apr-2021,10615307,85,103814,2634,5,49416,1695
30-Apr-2021,10615302,83,103821,2634,5,49416,1695
01-May-2021,10615297,81,103828,2634,5,49417,1695
