datetime,S,Q,R,D,Q_s,R_s,D_s
05-Jun-2020,10757860,4401,2751,532,4401,10,532
06-Jun-2020,10756906,4267,3184,676,4468,453,680
07-Jun-2020,10755937,4156,3605,817,4536,904,830
08-Jun-2020,10754954,4065,4016,954,4605,1361,982
09-Jun-2020,10753956,3992,4419,1088,4675,1825,1137
10-Jun-2020,10752943,3935,4815,1220,4746,2296,1294
11-Jun-2020,10751915,3891,5206,1350,4818,2774,1453
12-Jun-2020,10750871,3860,5594,1480,4891,3260,1615
13-Jun-2020,10749811,3840,5979,1608,4965,3752,1779
14-Jun-2020,10748736,3829,6362,1736,5040,4253,1946
15-Jun-2020,10747644,3827,6745,1863,5116,4760,2115
16-Jun-2020,10746536,3832,7128,1991,5193,5276,2287
17-Jun-2020,10745412,3843,7511,2119,5271,5799,2462
18-Jun-2020,10744270,3861,7896,2247,5350,6330,2639
19-Jun-2020,10743112,3884,8284,2376,5431,6869,2818
20-Jun-2020,10741937,3911,8673,2506,5512,7416,3001
21-Jun-2020,10740744,3943,9066,2637,5594,7972,3186
22-Jun-2020,10739533,3978,9462,2769,5678,8535,3374
23-Jun-2020,10738305,4017,9862,2902,5762,9107,3564
24-Jun-2020,10737058,4059,10265,3037,5848,9688,3758
25-Jun-2020,10735793,4104,10674,3173,5934,10277,3954
26-Jun-2020,10734509,4152,11086,3310,6022,10875,4154
27-Jun-2020,10733207,4202,11504,3450,6111,11481,4356
28-Jun-2020,10731886,4254,11927,3591,6202,12097,4561
29-Jun-2020,10730545,4308,12355,3733,6293,12722,4769
30-Jun-2020,10729184,4363,12788,3878,6386,13356,4981
01-Jul-2020,10727804,4421,13228,4024,6479,13999,5195
02-Jul-2020,10726404,4480,13673,4173,6574,14651,5412
03-Jul-2020,10724983,4541,14124,4323,6670,15314,5633
04-Jul-2020,10723542,4603,14581,4475,6768,15986,5857
05-Jul-2020,10722080,4667,15044,4630,6866,16667,6084
06-Jul-2020,10720598,4732,15514,4786,6966,17359,6315
07-Jul-2020,10719093,4798,15991,4945,7067,18060,6549
08-Jul-2020,10717567,4866,16474,5106,7169,18772,6786
09-Jul-2020,10716020,4935,16964,5270,7273,19494,7027
10-Jul-2020,10714450,5004,17461,5435,7377,20227,7271
11-Jul-2020,10712858,5076,17965,5603,7484,20970,7519
12-Jul-2020,10711243,5148,18476,5774,7591,21724,7770
13-Jul-2020,10709605,5221,18995,5947,7699,22488,8025
14-Jul-2020,10707945,5295,19520,6122,7809,23263,8283
15-Jul-2020,10706260,5371,20054,6300,7921,24050,8545
16-Jul-2020,10704553,5447,20595,6480,8033,24848,8811
17-Jul-2020,10702821,5525,21143,6663,8147,25657,9081
18-Jul-2020,10701065,5603,21700,6848,8262,26477,9354
19-Jul-2020,10699284,5683,22264,7036,8379,27309,9632
20-Jul-2020,10697479,5764,22836,7227,8497,28153,9913
21-Jul-2020,10695648,5845,23417,7421,8616,29008,10198
22-Jul-2020,10693792,5928,24005,7617,8736,29876,10487
23-Jul-2020,10691911,6012,24602,7816,8858,30756,10781
24-Jul-2020,10690004,6097,25208,8018,8981,31648,11078
25-Jul-2020,10688071,6182,25822,8222,9106,32552,11379
26-Jul-2020,10686111,6269,26444,8430,9232,33469,11685
27-Jul-2020,10684124,6357,27075,8640,9359,34399,11995
28-Jul-2020,10682111,6446,27716,8854,9488,35341,12309
29-Jul-2020,10680070,6536,28365,9070,9618,36296,12627
30-Jul-2020,10678002,6627,29023,9289,9750,37265,12950
31-Jul-2020,10675906,6719,29690,9512,9883,38246,13277
01-Aug-2020,10673781,6812,30367,9737,10017,39241,13609
02-Aug-2020,10671629,6906,31052,9966,10153,40250,13945
