datetime,S,Q,R,D,Q_s,R_s,D_s
14-Sep-2020,10548436,12161,42325,1440,17235,98305,33297
15-Sep-2020,10544781,12266,43546,1847,17424,100038,33875
16-Sep-2020,10541087,12375,44778,2258,17614,101790,34459
17-Sep-2020,10537354,12488,46021,2672,17805,103561,35049
18-Sep-2020,10533582,12605,47276,3090,17997,105351,35646
19-Sep-2020,10529771,12726,48543,3513,18189,107160,36249
20-Sep-2020,10525921,12850,49821,3939,18382,108989,36858
21-Sep-2020,10522031,12976,51113,4369,18576,110837,37474
22-Sep-2020,10518102,13105,52417,4804,18770,112704,38097
23-Sep-2020,10514134,13235,53734,5243,18965,114591,38726
24-Sep-2020,10510126,13368,55064,5686,19160,116497,39361
25-Sep-2020,10506079,13502,56407,6134,19356,118423,40003
26-Sep-2020,10501992,13638,57764,6586,19552,120368,40651
27-Sep-2020,10497866,13776,59135,7043,19749,122333,41306
28-Sep-2020,10493699,13915,60520,7505,19945,124318,41968
29-Sep-2020,10489494,14054,61918,7971,20142,126323,42636
30-Sep-2020,10485248,14195,63330,8442,20340,128347,43311
01-Oct-2020,10480963,14337,64757,8917,20537,130390,43992
02-Oct-2020,10476638,14479,66198,9398,20735,132454,44680
03-Oct-2020,10472274,14623,67653,9883,20932,134537,45374
04-Oct-2020,10467870,14766,69122,10372,21130,136641,46076
05-Oct-2020,10463426,14911,70606,10867,21328,138763,46783
06-Oct-2020,10458943,15056,72105,11367,21526,140906,47497
07-Oct-2020,10454421,15201,73617,11871,21723,143069,48218
08-Oct-2020,10449859,15347,75145,12380,21920,145251,48946
09-Oct-2020,10445258,15493,76687,12894,22117,147453,49680
10-Oct-2020,10440618,15639,78243,13413,22314,149674,50420
11-Oct-2020,10435939,15785,79815,13937,22511,151915,51167
12-Oct-2020,10431222,15932,81400,14465,22707,154176,51921
13-Oct-2020,10426465,16078,83001,14999,22902,156457,52681
14-Oct-2020,10421670,16225,84616,15537,23097,158757,53448
15-Oct-2020,10416837,16371,86246,16080,23292,161076,54221
16-Oct-2020,10411965,16517,87890,16628,23486,163415,55000
17-Oct-2020,10407055,16664,89549,17181,23679,165773,55786
18-Oct-2020,10402108,16809,91223,17739,23871,168151,56579
19-Oct-2020,10397123,16955,92911,18302,24063,170548,57378
20-Oct-2020,10392101,17101,94614,18870,24253,172963,58183
21-Oct-2020,10387041,17246,96331,19442,24443,175398,58995
22-Oct-2020,10381945,17390,98063,20019,24632,177852,59813
23-Oct-2020,10376812,17535,99809,20601,24820,180325,60637
24-Oct-2020,10371643,17678,101570,21188,25006,182816,61467
25-Oct-2020,10366438,17822,103345,21780,25191,185326,62304
26-Oct-2020,10361198,17964,105134,22376,25375,187854,63147
27-Oct-2020,10355922,18106,106938,22978,25558,190401,63996
28-Oct-2020,10350611,18247,108755,23583,25739,192966,64851
29-Oct-2020,10345265,18388,110587,24194,25919,195549,65712
30-Oct-2020,10339885,18528,112433,24809,26097,198149,66578
31-Oct-2020,10334472,18667,114293,25429,26274,200768,67451
01-Nov-2020,10329025,18805,116166,26054,26448,203404,68330
02-Nov-2020,10323544,18942,118054,26683,26622,206058,69215
03-Nov-2020,10318032,19078,119955,27317,26793,208728,70105
04-Nov-2020,10312486,19213,121869,27955,26962,211416,71001
05-Nov-2020,10306910,19347,123797,28597,27130,214121,71902
06-Nov-2020,10301302,19480,125739,29245,27295,216842,72809
07-Nov-2020,10295663,19611,127693,29896,27459,219580,73722
08-Nov-2020,10289993,19742,129661,30552,27620,222334,74640
09-Nov-2020,10284294,19871,131641,31212,27779,225104,75563
10-Nov-2020,10278566,19999,133635,31877,27936,227889,76492
11-Nov-2020,10272809,20125,135641,32545,28091,230691,77426
12-Nov-2020,10267023,20250,137660,33218,28243,233507,78364
13-Nov-2020,10261210,20374,139691,33895,28392,236339,79308
14-Nov-2020,10255370,20496,141735,34577,28539,239186,80257
15-Nov-2020,10249503,20616,143790,35262,28684,242047,81211
16-Nov-2020,10243611,20735,145858,35951,28825,244922,82169
17-Nov-2020,10237693,20852,147937,36644,28965,247812,83133
18-Nov-2020,10231750,20967,150028,37341,29101,250715,84100
19-Nov-2020,10225783,21081,152130,38042,29234,253632,85073
20-Nov-2020,10219792,21192,154244,38746,29365,256562,86049
21-Nov-2020,10213779,21302,156369,39455,29492,259505,87030
22-Nov-2020,10207743,21410,158504,40166,29617,262460,88015
23-Nov-2020,10201686,21516,160651,40882,29739,265428,89005
24-Nov-2020,10195608,21620,162808,41601,29857,268408,89998
25-Nov-2020,10189510,21722,164975,42323,29972,271399,90995
26-Nov-2020,10183392,21822,167152,43049,30084,274402,91996
27-Nov-2020,10177256,21920,169339,43778,30193,277416,93001
28-Nov-2020,10171101,22015,171536,44510,30298,280441,94009
29-Nov-2020,10164929,22109,173742,45246,30400,283476,95021
30-Nov-2020,10158741,22200,175958,45984,30499,286521,96036
01-Dec-2020,10152537,22288,178182,46726,30594,289575,97054
02-Dec-2020,10146317,22375,180415,47470,30685,292639,98075
03-Dec-2020,10140083,22459,182657,48217,30773,295712,99099
04-Dec-2020,10133836,22540,184907,48967,30858,298794,100127
05-Dec-2020,10127575,22620,187165,49720,30939,301884,101157
06-Dec-2020,10121303,22696,189431,50475,31016,304981,102189
07-Dec-2020,10115019,22770,191704,51233,31089,308087,103224
08-Dec-2020,10108724,22842,193985,51993,31159,311199,104262
09-Dec-2020,10102420,22911,196272,52756,31224,314318,105301
10-Dec-2020,10096107,22977,198567,53521,31287,317444,106343
11-Dec-2020,10089785,23041,200868,54288,31345,320575,107387
12-Dec-2020,10083456,23102,203175,55057,31399,323713,108433
13-Dec-2020,10077121,23160,205488,55828,31450,326855,109480
14-Dec-2020,10070780,23216,207807,56601,31496,330002,110529
15-Dec-2020,10064434,23269,210131,57375,31539,333154,111580
16-Dec-2020,10058083,23319,212460,58152,31577,336310,112632
17-Dec-2020,10051730,23366,214795,58930,31612,339470,113685
18-Dec-2020,10045373,23410,217133,59709,31643,342632,114739
19-Dec-2020,10039015,23452,219477,60491,31670,345798,115795
20-Dec-2020,10032656,23490,221824,61273,31692,348966,116851
21-Dec-2020,10026297,23526,224175,62057,31711,352136,117907
22-Dec-2020,10019939,23559,226529,62841,31726,355308,118965
23-Dec-2020,10013582,23589,228886,63627,31736,358481,120022
24-Dec-2020,10007228,23616,231246,64414,31743,361655,121080
25-Dec-2020,10000876,23640,233609,65201,31745,364830,122139
26-Dec-2020,9994529,23661,235974,65990,31744,368004,123197
27-Dec-2020,9988186,23679,238341,66779,31738,371178,124255
28-Dec-2020,9981848,23694,240710,67568,31729,374352,125313
29-Dec-2020,9975517,23706,243080,68358,31715,377524,126370
30-Dec-2020,9969194,23716,245451,69149,31698,380695,127427
31-Dec-2020,9962878,23722,247823,69939,31676,383864,128483
01-Jan-2021,9956570,23725,250195,70730,31651,387030,129539
02-Jan-2021,9950273,23725,252568,71521,31621,390194,130593
03-Jan-2021,9943985,23723,254940,72312,31588,393354,131647
04-Jan-2021,9937708,23717,257312,73102,31551,396511,132699
05-Jan-2021,9931444,23708,259684,73893,31509,399664,133750
06-Jan-2021,9925191,23697,262054,74683,31464,402813,134800
07-Jan-2021,9918952,23682,264423,75473,31415,405957,135848
08-Jan-2021,9912727,23664,266790,76262,31362,409096,136894
09-Jan-2021,9906517,23644,269156,77050,31306,412229,137938
10-Jan-2021,9900322,23621,271519,77838,31245,415357,138981
11-Jan-2021,9894144,23594,273880,78625,31181,418478,140021
12-Jan-2021,9887982,23565,276238,79411,31113,421593,141060
13-Jan-2021,9881838,23533,278593,80196,31042,424701,142096
14-Jan-2021,9875712,23498,280944,80980,30967,427801,143129
15-Jan-2021,9869606,23460,283292,81762,30888,430894,144160
16-Jan-2021,9863519,23419,285636,82544,30806,433978,145188
17-Jan-2021,9857452,23376,287976,83324,30720,437055,146214
18-Jan-2021,9851406,23330,290311,84102,30630,440122,147236
19-Jan-2021,9845382,23281,292642,84879,30538,443181,148256
20-Jan-2021,9839380,23229,294967,85654,30442,446230,149272
21-Jan-2021,9833401,23175,297287,86427,30342,449269,150285
22-Jan-2021,9827446,23118,299602,87199,30239,452298,151295
23-Jan-2021,9821514,23058,301911,87969,30133,455317,152301
24-Jan-2021,9815608,22996,304214,88736,30024,458325,153304
25-Jan-2021,9809726,22931,306510,89502,29912,461321,154302
26-Jan-2021,9803871,22863,308800,90265,29797,464307,155298
27-Jan-2021,9798042,22793,311082,91026,29678,467281,156289
28-Jan-2021,9792239,22721,313358,91784,29557,470242,157276
29-Jan-2021,9786465,22646,315626,92540,29433,473192,158259
30-Jan-2021,9780718,22568,317887,93294,29305,476129,159238
31-Jan-2021,9775000,22489,320140,94045,29176,479053,160213
01-Feb-2021,9769310,22406,322385,94793,29043,481964,161183
02-Feb-2021,9763651,22322,324621,95539,28908,484861,162149
03-Feb-2021,9758021,22235,326849,96281,28770,487745,163110
04-Feb-2021,9752421,22147,329068,97021,28629,490615,164067
05-Feb-2021,9746853,22056,331278,97758,28486,493471,165019
06-Feb-2021,9741316,21962,333479,98491,28341,496312,165966
07-Feb-2021,9735810,21867,335671,99222,28193,499139,166908
08-Feb-2021,9730336,21770,337853,99949,28043,501951,167846
09-Feb-2021,9724895,21670,340025,100673,27890,504748,168778
