datetime,S,Q,R,D,Q_s,R_s,D_s
17-Jul-2020,10744085,4982,9994,731,4982,4982,731
18-Jul-2020,10743513,5031,10347,853,4576,5319,847
19-Jul-2020,10742940,5080,10704,976,4203,5629,954
20-Jul-2020,10742365,5130,11064,1101,3861,5913,1053
21-Jul-2020,10741788,5180,11428,1227,3546,6174,1143
22-Jul-2020,10741209,5231,11795,1354,3257,6414,1226
23-Jul-2020,10740628,5282,12166,1482,2992,6634,1302
24-Jul-2020,10740044,5334,12541,1611,2748,6837,1372
25-Jul-2020,10739456,5386,12919,1742,2524,7023,1436
26-Jul-2020,10738865,5439,13301,1874,2319,7193,1495
27-Jul-2020,10738271,5492,13687,2007,2130,7350,1550
28-Jul-2020,10737673,5546,14076,2142,1956,7494,1599
29-Jul-2020,10737071,5600,14469,2278,1797,7627,1645
30-Jul-2020,10736465,5654,14866,2415,1650,7748,1687
31-Jul-2020,10735855,5709,15267,2554,1516,7860,1726
01-Aug-2020,10735240,5765,15672,2694,1392,7963,1761
02-Aug-2020,10734621,5821,16081,2835,1279,8057,1794
03-Aug-2020,10733996,5878,16494,2978,1175,8143,1824
04-Aug-2020,10733367,5935,16910,3122,1079,8223,1851
05-Aug-2020,10732733,5993,17331,3267,991,8296,1876
06-Aug-2020,10732093,6051,17756,3414,910,8363,1900
07-Aug-2020,10731449,6109,18185,3562,836,8424,1921
08-Aug-2020,10730799,6169,18618,3712,768,8481,1940
09-Aug-2020,10730143,6228,19056,3863,706,8533,1958
10-Aug-2020,10729482,6289,19497,4016,648,8581,1975
11-Aug-2020,10728815,6350,19943,4170,595,8624,1990
12-Aug-2020,10728142,6411,20393,4326,547,8665,2004
13-Aug-2020,10727463,6473,20848,4483,502,8702,2017
14-Aug-2020,10726778,6535,21307,4641,461,8736,2028
15-Aug-2020,10726087,6598,21770,4801,424,8767,2039
16-Aug-2020,10725390,6662,22238,4963,389,8796,2049
17-Aug-2020,10724686,6726,22711,5126,357,8822,2058
18-Aug-2020,10723976,6791,23187,5291,328,8846,2067
19-Aug-2020,10723260,6856,23669,5458,302,8868,2074
20-Aug-2020,10722537,6922,24155,5626,277,8889,2081
21-Aug-2020,10721807,6989,24646,5795,254,8907,2088
22-Aug-2020,10721071,7056,25141,5967,234,8925,2094
23-Aug-2020,10720328,7123,25642,6140,215,8940,2099
24-Aug-2020,10719578,7192,26147,6314,197,8955,2104
25-Aug-2020,10718821,7261,26657,6490,181,8968,2109
26-Aug-2020,10718057,7330,27171,6668,166,8981,2113
27-Aug-2020,10717286,7400,27691,6848,153,8992,2117
28-Aug-2020,10716508,7471,28216,7029,140,9002,2121
29-Aug-2020,10715723,7542,28745,7212,129,9012,2124
30-Aug-2020,10714930,7614,29280,7397,118,9020,2127
31-Aug-2020,10714130,7687,29820,7584,109,9028,2130
01-Sep-2020,10713322,7760,30365,7772,100,9036,2132
02-Sep-2020,10712507,7834,30915,7962,92,9042,2134
03-Sep-2020,10711684,7908,31471,8154,84,9049,2137
04-Sep-2020,10710854,7983,32031,8348,77,9054,2139
05-Sep-2020,10710016,8059,32597,8544,71,9060,2140
06-Sep-2020,10709170,8136,33169,8741,65,9064,2142
07-Sep-2020,10708316,8213,33745,8941,60,9069,2144
08-Sep-2020,10707454,8290,34328,9142,55,9073,2145
09-Sep-2020,10706584,8369,34915,9345,51,9077,2146
10-Sep-2020,10705706,8448,35509,9550,46,9080,2147
11-Sep-2020,10704820,8528,36108,9757,43,9083,2149
12-Sep-2020,10703926,8608,36712,9966,39,9086,2150
13-Sep-2020,10703023,8689,37323,10177,36,9089,2150
14-Sep-2020,10702112,8771,37939,10390,33,9091,2151
15-Sep-2020,10701192,8854,38560,10605,30,9093,2152
16-Sep-2020,10700264,8937,39188,10822,28,9095,2153
17-Sep-2020,10699327,9021,39822,11041,26,9097,2153
18-Sep-2020,10698382,9105,40461,11262,24,9099,2154
19-Sep-2020,10697428,9190,41107,11485,22,9101,2155
20-Sep-2020,10696465,9276,41758,11710,20,9102,2155
21-Sep-2020,10695493,9363,42416,11938,18,9103,2156
22-Sep-2020,10694512,9451,43080,12167,17,9105,2156
23-Sep-2020,10693522,9539,43750,12399,15,9106,2156
24-Sep-2020,10692523,9628,44426,12632,14,9107,2157
25-Sep-2020,10691515,9717,45108,12868,13,9108,2157
26-Sep-2020,10690498,9808,45797,13106,12,9109,2157
27-Sep-2020,10689471,9899,46492,13347,11,9109,2158
28-Sep-2020,10688435,9991,47194,13589,10,9110,2158
