datetime,S,Q,R,D,Q_s,R_s,D_s
14-Sep-2020,10702112,12161,42325,1440,33,9091,2151
15-Sep-2020,10700742,12174,43378,1737,36,9094,2152
16-Sep-2020,10699363,12193,44433,2034,39,9097,2153
17-Sep-2020,10697976,12219,45490,2332,43,9101,2154
18-Sep-2020,10696577,12251,46549,2630,46,9105,2155
19-Sep-2020,10695166,12291,47611,2929,50,9109,2156
20-Sep-2020,10693742,12338,48678,3230,55,9113,2158
21-Sep-2020,10692302,12395,49748,3531,60,9118,2159
22-Sep-2020,10690845,12461,50824,3834,65,9124,2161
23-Sep-2020,10689369,12537,51906,4139,70,9130,2162
24-Sep-2020,10687872,12624,52995,4446,76,9136,2164
25-Sep-2020,10686352,12723,54092,4755,83,9143,2166
26-Sep-2020,10684806,12834,55199,5067,90,9150,2168
27-Sep-2020,10683231,12960,56315,5381,97,9158,2170
28-Sep-2020,10681625,13101,57443,5699,106,9167,2173
29-Sep-2020,10679985,13257,58584,6020,114,9177,2175
30-Sep-2020,10678308,13431,59739,6346,124,9187,2178
01-Oct-2020,10676589,13624,60910,6676,134,9198,2181
02-Oct-2020,10674826,13837,62099,7011,145,9210,2185
03-Oct-2020,10673015,14072,63307,7351,157,9223,2189
04-Oct-2020,10671150,14330,64536,7697,170,9238,2193
05-Oct-2020,10669228,14613,65789,8050,184,9253,2197
06-Oct-2020,10667243,14923,67067,8410,199,9269,2202
07-Oct-2020,10665190,15263,68374,8778,215,9287,2207
08-Oct-2020,10663063,15633,69711,9155,232,9307,2212
09-Oct-2020,10660857,16037,71082,9541,251,9328,2218
10-Oct-2020,10658565,16477,72489,9938,271,9350,2224
11-Oct-2020,10656179,16955,73936,10345,292,9375,2231
12-Oct-2020,10653693,17475,75426,10765,315,9401,2239
13-Oct-2020,10651099,18039,76963,11198,339,9429,2247
14-Oct-2020,10648388,18649,78551,11645,365,9460,2255
15-Oct-2020,10645551,19310,80194,12108,393,9492,2264
16-Oct-2020,10642580,20025,81896,12588,423,9528,2274
17-Oct-2020,10639463,20796,83663,13085,455,9566,2285
18-Oct-2020,10636192,21628,85499,13603,489,9607,2297
19-Oct-2020,10632754,22525,87410,14141,525,9650,2309
20-Oct-2020,10629137,23490,89401,14702,563,9697,2322
21-Oct-2020,10625331,24528,91479,15287,603,9748,2336
22-Oct-2020,10621321,25643,93651,15899,646,9802,2352
23-Oct-2020,10617094,26839,95922,16539,692,9860,2368
24-Oct-2020,10612638,28120,98300,17209,740,9922,2385
25-Oct-2020,10607935,29491,100794,17911,790,9988,2404
26-Oct-2020,10602973,30956,103410,18648,843,10059,2424
27-Oct-2020,10597736,32520,106157,19422,899,10134,2445
28-Oct-2020,10592206,34188,109044,20236,957,10214,2468
29-Oct-2020,10586369,35963,112080,21091,1018,10300,2492
30-Oct-2020,10580207,37851,115274,21991,1082,10391,2517
31-Oct-2020,10573704,39854,118637,22938,1148,10487,2545
01-Nov-2020,10566842,41977,122179,23936,1216,10590,2573
02-Nov-2020,10559605,44223,125909,24987,1287,10698,2604
03-Nov-2020,10551975,46595,129840,26094,1360,10813,2636
04-Nov-2020,10543937,49096,133981,27261,1434,10934,2670
05-Nov-2020,10535473,51728,138345,28490,1510,11061,2706
06-Nov-2020,10526569,54491,142942,29785,1587,11195,2744
07-Nov-2020,10517208,57387,147784,31149,1665,11336,2784
08-Nov-2020,10507378,60414,152883,32586,1743,11483,2825
09-Nov-2020,10497066,63572,158249,34097,1822,11638,2869
10-Nov-2020,10486261,66858,163895,35688,1899,11799,2914
11-Nov-2020,10474951,70269,169830,37360,1976,11967,2961
12-Nov-2020,10463131,73798,176066,39116,2050,12141,3010
13-Nov-2020,10450794,77441,182612,40961,2123,12322,3061
14-Nov-2020,10437937,81190,189478,42895,2192,12508,3114
15-Nov-2020,10424557,85035,196673,44922,2257,12701,3168
16-Nov-2020,10410658,88966,204205,47044,2318,12899,3224
17-Nov-2020,10396243,92971,212080,49262,2373,13102,3281
18-Nov-2020,10381320,97037,220305,51579,2423,13310,3340
19-Nov-2020,10365898,101149,228884,53996,2466,13521,3399
20-Nov-2020,10349991,105291,237821,56514,2501,13737,3460
21-Nov-2020,10333615,109445,247116,59132,2529,13954,3521
22-Nov-2020,10316789,113595,256772,61852,2548,14174,3583
23-Nov-2020,10299536,117720,266785,64673,2558,14395,3646
24-Nov-2020,10281879,121801,277154,67594,2560,14617,3708
25-Nov-2020,10263847,125818,287874,70614,2552,14838,3770
26-Nov-2020,10245468,129751,298938,73731,2534,15058,3832
27-Nov-2020,10226773,133581,310338,76943,2507,15277,3894
28-Nov-2020,10207797,137287,322065,80246,2471,15492,3955
29-Nov-2020,10188572,140851,334106,83639,2426,15704,4014
30-Nov-2020,10169135,144256,346450,87116,2372,15912,4073
01-Dec-2020,10149521,147483,359080,90674,2310,16115,4130
02-Dec-2020,10129766,150519,371982,94309,2241,16312,4185
03-Dec-2020,10109905,153349,385138,98015,2164,16503,4239
04-Dec-2020,10089975,155962,398529,101787,2082,16686,4291
05-Dec-2020,10070008,158349,412137,105621,1995,16863,4341
06-Dec-2020,10050037,160500,425941,109510,1904,17032,4388
07-Dec-2020,10030096,162412,439922,113448,1810,17193,4434
08-Dec-2020,10010212,164079,454057,117430,1713,17345,4477
09-Dec-2020,9990415,165502,468326,121450,1614,17489,4517
10-Dec-2020,9970729,166679,482708,125502,1516,17625,4555
11-Dec-2020,9951180,167614,497181,129579,1417,17752,4591
12-Dec-2020,9931788,168311,511724,133676,1320,17870,4624
13-Dec-2020,9912572,168776,526318,137787,1224,17980,4655
14-Dec-2020,9893551,169015,540942,141907,1131,18082,4684
15-Dec-2020,9874739,169038,555578,146030,1041,18176,4711
16-Dec-2020,9856150,168854,570207,150151,955,18263,4735
17-Dec-2020,9837793,168473,584811,154265,872,18342,4757
18-Dec-2020,9819680,167907,599373,158368,794,18414,4778
19-Dec-2020,9801817,167167,613880,162454,720,18479,4796
20-Dec-2020,9784211,166265,628315,166521,650,18538,4813
21-Dec-2020,9766866,165213,642665,170564,585,18592,4828
22-Dec-2020,9749786,164024,656919,174579,525,18640,4841
23-Dec-2020,9732973,162708,671063,178564,469,18683,4853
24-Dec-2020,9716428,161278,685089,182515,418,18721,4864
25-Dec-2020,9700152,159745,698987,186430,371,18755,4874
26-Dec-2020,9684144,158119,712747,190307,328,18786,4882
27-Dec-2020,9668403,156412,726364,194143,290,18812,4890
28-Dec-2020,9652929,154633,739829,197936,255,18836,4897
29-Dec-2020,9637718,152791,753138,201685,223,18856,4902
30-Dec-2020,9622769,150894,766284,205389,195,18875,4907
31-Dec-2020,9608079,148952,779265,209046,170,18890,4912
01-Jan-2021,9593645,146971,792075,212654,147,18904,4916
02-Jan-2021,9579465,144958,804713,216215,128,18916,4919
03-Jan-2021,9565535,142920,817175,219725,110,18926,4922
04-Jan-2021,9551851,140862,829460,223186,95,18935,4924
05-Jan-2021,9538411,138789,841566,226597,81,18943,4927
06-Jan-2021,9525211,136706,853492,229956,70,18949,4928
07-Jan-2021,9512248,134618,865237,233265,60,18955,4930
08-Jan-2021,9499519,132528,876802,236523,51,18960,4931
09-Jan-2021,9487020,130439,888185,239730,43,18964,4933
10-Jan-2021,9474747,128355,899388,242886,37,18967,4934
11-Jan-2021,9462698,126278,910411,245991,31,18970,4934
12-Jan-2021,9450869,124210,921254,249046,26,18972,4935
13-Jan-2021,9439258,122154,931919,252050,22,18975,4936
14-Jan-2021,9427859,120112,942407,255005,18,18976,4936
15-Jan-2021,9416672,118085,952718,257910,15,18978,4936
16-Jan-2021,9405691,116074,962854,260765,13,18979,4937
17-Jan-2021,9394915,114081,972817,263572,11,18980,4937
18-Jan-2021,9384341,112107,982609,266330,9,18981,4937
19-Jan-2021,9373964,110153,992230,269041,7,18981,4938
20-Jan-2021,9363782,108219,1001683,271704,6,18982,4938
21-Jan-2021,9353793,106306,1010969,274320,5,18983,4938
22-Jan-2021,9343992,104415,1020091,276889,4,18983,4938
23-Jan-2021,9334378,102547,1029050,279413,3,18983,4938
24-Jan-2021,9324948,100701,1037848,281892,3,18984,4938
25-Jan-2021,9315697,98878,1046488,284326,2,18984,4938
26-Jan-2021,9306625,97079,1054971,286715,2,18984,4938
27-Jan-2021,9297727,95303,1063298,289062,2,18984,4938
28-Jan-2021,9289001,93551,1071474,291365,1,18984,4938
29-Jan-2021,9280444,91822,1079498,293625,1,18984,4938
30-Jan-2021,9272054,90118,1087374,295844,1,18984,4938
31-Jan-2021,9263828,88438,1095103,298021,1,18984,4938
01-Feb-2021,9255762,86781,1102688,300158,1,18985,4938
02-Feb-2021,9247855,85149,1110131,302255,0,18985,4938
03-Feb-2021,9240104,83541,1117433,304312,0,18985,4938
04-Feb-2021,9232506,81957,1124597,306330,0,18985,4938
05-Feb-2021,9225059,80396,1131625,308310,0,18985,4938
06-Feb-2021,9217759,78860,1138519,310252,0,18985,4938
07-Feb-2021,9210605,77347,1145281,312157,0,18985,4938
08-Feb-2021,9203594,75858,1151913,314025,0,18985,4938
09-Feb-2021,9196723,74393,1158417,315858,0,18985,4938
10-Feb-2021,9189990,72950,1164795,317654,0,18985,4938
11-Feb-2021,9183393,71531,1171049,319416,0,18985,4938
12-Feb-2021,9176929,70135,1177182,321144,0,18985,4938
13-Feb-2021,9170596,68762,1183194,322838,0,18985,4938
14-Feb-2021,9164391,67411,1189089,324498,0,18985,4938
15-Feb-2021,9158313,66083,1194868,326126,0,18985,4938
16-Feb-2021,9152358,64778,1200532,327722,0,18985,4938
17-Feb-2021,9146525,63494,1206085,329286,0,18985,4938
18-Feb-2021,9140811,62232,1211527,330820,0,18985,4938
19-Feb-2021,9135215,60992,1216862,332322,0,18985,4938
20-Feb-2021,9129733,59773,1222089,333795,0,18985,4938
21-Feb-2021,9124364,58575,1227212,335238,0,18985,4938
22-Feb-2021,9119106,57399,1232232,336652,0,18985,4938
23-Feb-2021,9113957,56243,1237152,338038,0,18985,4938
24-Feb-2021,9108915,55107,1241972,339396,0,18985,4938
25-Feb-2021,9103977,53992,1246695,340727,0,18985,4938
26-Feb-2021,9099141,52897,1251322,342030,0,18985,4938
27-Feb-2021,9094407,51822,1255855,343307,0,18985,4938
28-Feb-2021,9089771,50766,1260295,344558,0,18985,4938
01-Mar-2021,9085232,49729,1264646,345784,0,18985,4938
02-Mar-2021,9080788,48711,1268907,346984,0,18985,4938
03-Mar-2021,9076437,47712,1273081,348160,0,18985,4938
04-Mar-2021,9072177,46732,1277169,349312,0,18985,4938
05-Mar-2021,9068007,45770,1281173,350440,0,18985,4938
06-Mar-2021,9063925,44826,1285095,351545,0,18985,4938
07-Mar-2021,9059929,43899,1288936,352627,0,18985,4938
08-Mar-2021,9056017,42990,1292697,353686,0,18985,4938
09-Mar-2021,9052188,42098,1296380,354724,0,18985,4938
10-Mar-2021,9048440,41223,1299987,355740,0,18985,4938
11-Mar-2021,9044772,40365,1303519,356735,0,18985,4938
12-Mar-2021,9041181,39523,1306977,357709,0,18985,4938
13-Mar-2021,9037667,38697,1310363,358663,0,18985,4938
14-Mar-2021,9034227,37888,1313678,359597,0,18985,4938
15-Mar-2021,9030861,37094,1316924,360511,0,18985,4938
16-Mar-2021,9027567,36315,1320102,361406,0,18985,4938
17-Mar-2021,9024343,35552,1323213,362283,0,18985,4938
18-Mar-2021,9021188,34804,1326258,363141,0,18985,4938
19-Mar-2021,9018100,34070,1329239,363981,0,18985,4938
20-Mar-2021,9015079,33351,1332158,364803,0,18985,4938
21-Mar-2021,9012122,32646,1335015,365608,0,18985,4938
22-Mar-2021,9009229,31954,1337811,366395,0,18985,4938
23-Mar-2021,9006398,31277,1340548,367166,0,18985,4938
24-Mar-2021,9003628,30613,1343227,367921,0,18985,4938
25-Mar-2021,9000918,29963,1345850,368660,0,18985,4938
26-Mar-2021,8998266,29325,1348416,369383,0,18985,4938
27-Mar-2021,8995671,28701,1350928,370090,0,18985,4938
28-Mar-2021,8993133,28088,1353386,370783,0,18985,4938
29-Mar-2021,8990649,27489,1355792,371461,0,18985,4938
30-Mar-2021,8988219,26901,1358146,372124,0,18985,4938
31-Mar-2021,8985841,26326,1360450,372773,0,18985,4938
01-Apr-2021,8983515,25762,1362705,373408,0,18985,4938
02-Apr-2021,8981240,25209,1364911,374030,0,18985,4938
03-Apr-2021,8979014,24668,1367071,374638,0,18985,4938
04-Apr-2021,8976836,24138,1369183,375233,0,18985,4938
05-Apr-2021,8974705,23619,1371250,375816,0,18985,4938
06-Apr-2021,8972621,23110,1373273,376385,0,18985,4938
07-Apr-2021,8970582,22612,1375252,376943,0,18985,4938
08-Apr-2021,8968588,22125,1377189,377489,0,18985,4938
09-Apr-2021,8966637,21647,1379084,378022,0,18985,4938
10-Apr-2021,8964729,21179,1380938,378545,0,18985,4938
11-Apr-2021,8962862,20721,1382751,379056,0,18985,4938
12-Apr-2021,8961036,20273,1384526,379556,0,18985,4938
13-Apr-2021,8959250,19834,1386262,380045,0,18985,4938
14-Apr-2021,8957503,19404,1387961,380523,0,18985,4938
15-Apr-2021,8955794,18983,1389622,380991,0,18985,4938
16-Apr-2021,8954123,18571,1391248,381449,0,18985,4938
17-Apr-2021,8952488,18167,1392838,381897,0,18985,4938
18-Apr-2021,8950889,17772,1394394,382335,0,18985,4938
19-Apr-2021,8949325,17386,1395916,382764,0,18985,4938
20-Apr-2021,8947795,17007,1397404,383184,0,18985,4938
21-Apr-2021,8946299,16636,1398861,383594,0,18985,4938
22-Apr-2021,8944836,16274,1400285,383995,0,18985,4938
23-Apr-2021,8943405,15919,1401679,384388,0,18985,4938
24-Apr-2021,8942005,15571,1403042,384772,0,18985,4938
25-Apr-2021,8940636,15231,1404375,385147,0,18985,4938
26-Apr-2021,8939298,14898,1405680,385515,0,18985,4938
27-Apr-2021,8937988,14572,1406955,385874,0,18985,4938
28-Apr-2021,8936708,14253,1408203,386226,0,18985,4938
29-Apr-2021,8935456,13941,1409424,386570,0,18985,4938
30-Apr-2021,8934231,13636,1410617,386906,0,18985,4938
01-May-2021,8933033,13337,1411785,387235,0,18985,4938
02-May-2021,8931862,13045,1412927,387556,0,18985,4938
03-May-2021,8930717,12758,1414044,387871,0,18985,4938
04-May-2021,8929597,12478,1415136,388179,0,18985,4938
05-May-2021,8928501,12204,1416205,388480,0,18985,4938
06-May-2021,8927430,11936,1417250,388774,0,18985,4938
07-May-2021,8926382,11674,1418272,389062,0,18985,4938
08-May-2021,8925358,11417,1419271,389344,0,18985,4938
09-May-2021,8924356,11166,1420249,389619,0,18985,4938
10-May-2021,8923377,10920,1421205,389888,0,18985,4938
11-May-2021,8922419,10680,1422140,390152,0,18985,4938
12-May-2021,8921482,10444,1423054,390409,0,18985,4938
13-May-2021,8920566,10214,1423949,390661,0,18985,4938
14-May-2021,8919671,9989,1424823,390908,0,18985,4938
15-May-2021,8918795,9768,1425678,391149,0,18985,4938
16-May-2021,8917938,9553,1426515,391384,0,18985,4938
17-May-2021,8917101,9342,1427333,391615,0,18985,4938
18-May-2021,8916282,9136,1428132,391840,0,18985,4938
19-May-2021,8915481,8934,1428915,392060,0,18985,4938
20-May-2021,8914698,8737,1429680,392276,0,18985,4938
