datetime,S,Q,R,D,Q_s,R_s,D_s
29-Sep-2020,10679985,13257,58584,6020,114,9177,2175
30-Sep-2020,10679985,11953,59676,6328,14,9181,2177
01-Oct-2020,10679985,10708,60656,6604,2,9181,2177
02-Oct-2020,10679985,9585,61533,6851,0,9181,2177
03-Oct-2020,10679985,8578,62319,7073,0,9181,2177
04-Oct-2020,10679985,7677,63022,7271,0,9181,2177
05-Oct-2020,10679985,6871,63651,7448,0,9181,2177
06-Oct-2020,10679985,6149,64214,7606,0,9181,2177
07-Oct-2020,10679985,5503,64718,7748,0,9181,2177
08-Oct-2020,10679985,4925,65169,7875,0,9181,2177
09-Oct-2020,10679985,4408,65573,7989,0,9181,2177
10-Oct-2020,10679985,3945,65934,8091,0,9181,2177
11-Oct-2020,10679985,3531,66257,8182,0,9181,2177
12-Oct-2020,10679985,3160,66547,8264,0,9181,2177
13-Oct-2020,10679985,2828,66806,8336,0,9181,2177
14-Oct-2020,10679985,2531,67037,8402,0,9181,2177
