datetime,S,Q,R,D,Q_s,R_s,D_s
13-Oct-2020,10679985,2828,66806,8336,0,9181,2177
14-Oct-2020,10679686,2814,67050,8405,0,9181,2177
15-Oct-2020,10679388,2801,67293,8474,0,9181,2177
16-Oct-2020,10679091,2788,67535,8542,0,9181,2177
17-Oct-2020,10678796,2774,67776,8610,0,9181,2177
18-Oct-2020,10678502,2761,68015,8677,0,9181,2177
19-Oct-2020,10678210,2748,68254,8744,0,9181,2177
20-Oct-2020,10677919,2734,68491,8811,0,9181,2177
21-Oct-2020,10677629,2721,68727,8878,0,9181,2177
22-Oct-2020,10677341,2708,68962,8944,0,9181,2177
23-Oct-2020,10677054,2695,69196,9010,0,9181,2177
24-Oct-2020,10676769,2682,69429,9075,0,9181,2177
25-Oct-2020,10676485,2669,69660,9141,0,9181,2177
26-Oct-2020,10676202,2656,69891,9206,0,9181,2177
27-Oct-2020,10675921,2643,70120,9270,0,9181,2177
28-Oct-2020,10675641,2631,70349,9335,0,9181,2177
29-Oct-2020,10675363,2618,70576,9399,0,9181,2177
30-Oct-2020,10675086,2605,70802,9462,0,9181,2177
31-Oct-2020,10674810,2593,71027,9526,0,9181,2177
01-Nov-2020,10674535,2580,71251,9589,0,9181,2177
02-Nov-2020,10674262,2568,71474,9652,0,9181,2177
03-Nov-2020,10673991,2555,71695,9714,0,9181,2177
04-Nov-2020,10673720,2543,71916,9776,0,9181,2177
05-Nov-2020,10673451,2530,72136,9838,0,9181,2177
06-Nov-2020,10673183,2518,72354,9900,0,9181,2177
07-Nov-2020,10672917,2506,72572,9961,0,9181,2177
08-Nov-2020,10672651,2494,72788,10022,0,9181,2177
09-Nov-2020,10672388,2482,73004,10083,0,9181,2177
10-Nov-2020,10672125,2469,73218,10143,0,9181,2177
11-Nov-2020,10671864,2457,73431,10203,0,9181,2177
12-Nov-2020,10671604,2445,73643,10263,0,9181,2177
13-Nov-2020,10671345,2434,73855,10322,0,9181,2177
14-Nov-2020,10671087,2422,74065,10382,0,9181,2177
15-Nov-2020,10670831,2410,74274,10440,0,9181,2177
16-Nov-2020,10670576,2398,74482,10499,0,9181,2177
17-Nov-2020,10670322,2386,74689,10557,0,9181,2177
18-Nov-2020,10670070,2375,74895,10615,0,9181,2177
19-Nov-2020,10669818,2363,75100,10673,0,9181,2177
20-Nov-2020,10669568,2352,75304,10731,0,9181,2177
21-Nov-2020,10669320,2340,75508,10788,0,9181,2177
22-Nov-2020,10669072,2329,75710,10845,0,9181,2177
23-Nov-2020,10668826,2317,75911,10902,0,9181,2177
24-Nov-2020,10668581,2306,76111,10958,0,9181,2177
25-Nov-2020,10668337,2294,76310,11014,0,9181,2177
26-Nov-2020,10668094,2283,76508,11070,0,9181,2177
27-Nov-2020,10667852,2272,76705,11125,0,9181,2177
28-Nov-2020,10667612,2261,76902,11181,0,9181,2177
29-Nov-2020,10667373,2250,77097,11236,0,9181,2177
30-Nov-2020,10667135,2239,77291,11290,0,9181,2177
01-Dec-2020,10666898,2228,77485,11345,0,9181,2177
02-Dec-2020,10666662,2217,77677,11399,0,9181,2177
03-Dec-2020,10666428,2206,77868,11453,0,9181,2177
04-Dec-2020,10666195,2195,78059,11507,0,9181,2177
05-Dec-2020,10665962,2184,78248,11560,0,9181,2177
06-Dec-2020,10665731,2173,78437,11613,0,9181,2177
07-Dec-2020,10665502,2163,78625,11666,0,9181,2177
08-Dec-2020,10665273,2152,78812,11719,0,9181,2177
