datetime,S,E,I,Q,R,D,P
28-Aug-2020,258799,3055,168969,37818,120900,7169,272932831
29-Aug-2020,258476,2434,166371,39543,122641,7239,272932837
30-Aug-2020,258158,1989,163648,41134,124457,7312,272932843
31-Aug-2020,257846,1669,160853,42596,126341,7388,272932849
01-Sep-2020,257540,1437,158023,43933,128288,7466,272932855
02-Sep-2020,257239,1268,155184,45150,130293,7546,272932861
03-Sep-2020,256944,1143,152355,46253,132349,7629,272932867
04-Sep-2020,256655,1050,149549,47247,134453,7714,272932873
05-Sep-2020,256371,979,146773,48139,136600,7800,272932879
06-Sep-2020,256093,925,144034,48933,138784,7888,272932885
07-Sep-2020,255820,881,141336,49635,141002,7977,272932891
08-Sep-2020,255552,846,138680,50249,143249,8067,272932896
09-Sep-2020,255290,817,136070,50782,145523,8158,272932902
10-Sep-2020,255033,792,133504,51236,147818,8251,272932908
11-Sep-2020,254780,770,130984,51617,150132,8344,272932914
12-Sep-2020,254533,750,128509,51930,152462,8437,272932920
13-Sep-2020,254290,732,126080,52177,154805,8531,272932926
14-Sep-2020,254052,715,123695,52364,157157,8626,272932932
15-Sep-2020,253819,699,121355,52494,159516,8721,272932937
16-Sep-2020,253590,684,119058,52570,161880,8816,272932943
17-Sep-2020,253366,670,116804,52595,164246,8911,272932949
18-Sep-2020,253146,656,114593,52574,166612,9006,272932955
19-Sep-2020,252930,643,112422,52508,168977,9101,272932961
20-Sep-2020,252718,630,110293,52401,171337,9196,272932966
21-Sep-2020,252511,617,108204,52255,173692,9290,272932972
22-Sep-2020,252307,605,106154,52073,176039,9385,272932978
23-Sep-2020,252108,593,104143,51858,178377,9479,272932984
24-Sep-2020,251912,581,102169,51612,180705,9572,272932990
25-Sep-2020,251720,569,100233,51337,183022,9665,272932995
26-Sep-2020,251531,558,98334,51035,185325,9758,272933001
27-Sep-2020,251346,547,96470,50707,187614,9850,272933007
28-Sep-2020,251165,536,94641,50357,189888,9941,272933013
29-Sep-2020,250987,526,92847,49986,192145,10032,272933018
