datetime,S,E,I,Q,R,D,P
30-Apr-2020,273489646,10118,10118,7804,1522,792,0
01-May-2020,269918324,10671,10557,7507,1943,810,3570187
02-May-2020,266393588,11228,11022,7232,2349,828,7093753
03-May-2020,262914830,11789,11511,6979,2740,845,10571307
04-May-2020,259481447,12356,12024,6746,3118,861,14003447
05-May-2020,256092846,12929,12562,6534,3484,877,17390767
06-May-2020,252748441,13510,13125,6341,3838,893,20733852
07-May-2020,249447654,14100,13713,6167,4182,908,24033277
08-May-2020,246189913,14698,14326,6010,4518,922,27289613
09-May-2020,242974657,15306,14964,5870,4845,936,30503421
10-May-2020,239801329,15925,15627,5747,5165,950,33675257
11-May-2020,236669382,16554,16316,5640,5478,964,36805667
12-May-2020,233578273,17194,17031,5548,5786,977,39895191
13-May-2020,230527469,17846,17771,5471,6089,991,42944363
14-May-2020,227516442,18509,18539,5409,6389,1004,45953709
15-May-2020,224544673,19185,19333,5360,6685,1016,48923748
16-May-2020,221611648,19872,20154,5325,6979,1029,51854992
17-May-2020,218716861,20572,21002,5303,7272,1042,54747948
18-May-2020,215859812,21283,21878,5294,7564,1055,57603114
19-May-2020,213040007,22008,22782,5297,7855,1067,60420984
20-May-2020,210256960,22744,23714,5312,8147,1080,63202042
21-May-2020,207510189,23493,24675,5340,8441,1093,65946770
22-May-2020,204799221,24255,25664,5378,8736,1106,68655640
23-May-2020,202123588,25028,26683,5428,9033,1119,71329121
24-May-2020,199482828,25814,27731,5489,9334,1132,73967673
25-May-2020,196876485,26612,28808,5561,9638,1145,76571751
26-May-2020,194304110,27421,29916,5643,9946,1158,79141805
27-May-2020,191765257,28242,31054,5736,10260,1172,81678279
28-May-2020,189259491,29075,32222,5839,10578,1186,84181609
29-May-2020,186786377,29919,33421,5953,10903,1200,86652228
30-May-2020,184345490,30773,34650,6076,11234,1214,89090563
31-May-2020,181936408,31639,35911,6209,11572,1229,91497033
01-Jun-2020,179558716,32514,37202,6351,11918,1244,93872054
02-Jun-2020,177212004,33400,38526,6503,12272,1259,96216035
03-Jun-2020,174895868,34296,39880,6665,12635,1275,98529382
04-Jun-2020,172609907,35201,41266,6836,13006,1291,100812493
05-Jun-2020,170353729,36115,42683,7016,13388,1308,103065762
06-Jun-2020,168126943,37038,44133,7205,13779,1325,105289578
07-Jun-2020,165929166,37969,45614,7403,14181,1342,107484325
08-Jun-2020,163760021,38907,47126,7610,14595,1360,109650381
09-Jun-2020,161619131,39853,48671,7826,15020,1379,111788120
10-Jun-2020,159506130,40807,50247,8051,15457,1398,113897911
11-Jun-2020,157420653,41766,51854,8285,15906,1417,115980118
12-Jun-2020,155362341,42732,53493,8527,16369,1437,118035100
13-Jun-2020,153330838,43703,55164,8778,16846,1458,120063213
14-Jun-2020,151325797,44679,56865,9038,17336,1480,122064805
15-Jun-2020,149346871,45659,58598,9306,17841,1501,124040223
16-Jun-2020,147393719,46644,60362,9582,18361,1524,125989807
17-Jun-2020,145466007,47632,62157,9867,18897,1547,127913894
18-Jun-2020,143563401,48623,63982,10160,19448,1571,129812815
19-Jun-2020,141685574,49616,65837,10461,20016,1596,131686899
20-Jun-2020,139832204,50612,67722,10771,20601,1621,133536469
21-Jun-2020,138002972,51608,69636,11089,21202,1648,135361845
22-Jun-2020,136197563,52605,71580,11414,21822,1675,137163341
23-Jun-2020,134415667,53602,73553,11748,22460,1702,138941268
24-Jun-2020,132656976,54599,75554,12090,23116,1731,140695934
25-Jun-2020,130921190,55595,77583,12440,23791,1760,142427641
26-Jun-2020,129208010,56589,79640,12797,24486,1790,144136688
27-Jun-2020,127517140,57581,81723,13162,25201,1821,145823371
28-Jun-2020,125848292,58570,83834,13535,25936,1853,147487980
29-Jun-2020,124201177,59555,85970,13916,26692,1886,149130804
30-Jun-2020,122575514,60537,88132,14304,27469,1920,150752125
01-Jul-2020,120971022,61514,90318,14699,28267,1955,152352225
02-Jul-2020,119387427,62486,92529,15102,29088,1990,153931378
03-Jul-2020,117824456,63451,94764,15512,29931,2027,155489859
04-Jul-2020,116281842,64411,97021,15929,30796,2065,157027936
05-Jul-2020,114759319,65364,99301,16353,31685,2103,158545875
06-Jul-2020,113256626,66309,101602,16784,32597,2143,160043938
07-Jul-2020,111773505,67246,103924,17222,33534,2184,161522385
08-Jul-2020,110309702,68174,106266,17667,34494,2225,162981470
09-Jul-2020,108864966,69093,108628,18119,35480,2268,164421447
10-Jul-2020,107439049,70002,111008,18577,36490,2312,165842563
11-Jul-2020,106031705,70901,113406,19041,37526,2357,167245064
12-Jul-2020,104642695,71788,115820,19512,38587,2403,168629194
13-Jul-2020,103271780,72665,118251,19988,39675,2451,169995191
14-Jul-2020,101918725,73529,120696,20471,40789,2499,171343291
15-Jul-2020,100583297,74380,123156,20960,41930,2549,172673728
16-Jul-2020,99265268,75219,125630,21454,43097,2600,173986732
17-Jul-2020,97964413,76044,128115,21954,44293,2651,175282530
18-Jul-2020,96680507,76855,130612,22460,45515,2705,176561346
19-Jul-2020,95413332,77652,133120,22970,46766,2759,177823401
20-Jul-2020,94162669,78433,135637,23486,48045,2815,179068914
21-Jul-2020,92928306,79199,138163,24007,49353,2871,180298101
22-Jul-2020,91710029,79950,140696,24532,50689,2930,181511174
23-Jul-2020,90507632,80683,143236,25062,52055,2989,182708343
24-Jul-2020,89320906,81401,145782,25597,53450,3050,183889815
25-Jul-2020,88149651,82101,148332,26135,54874,3112,185055795
26-Jul-2020,86993664,82783,150886,26678,56328,3175,186206486
27-Jul-2020,85852748,83448,153442,27225,57813,3239,187342086
28-Jul-2020,84726707,84094,156000,27775,59327,3305,188462792
29-Jul-2020,83615349,84722,158558,28329,60872,3372,189568798
30-Jul-2020,82518484,85331,161115,28886,62447,3441,190660296
31-Jul-2020,81435922,85920,163671,29447,64053,3511,191737476
01-Aug-2020,80367480,86491,166224,30010,65690,3582,192800523
02-Aug-2020,79312975,87041,168774,30576,67358,3654,193849623
03-Aug-2020,78272224,87571,171318,31144,69058,3728,194884956
04-Aug-2020,77245052,88081,173857,31715,70789,3803,195906704
05-Aug-2020,76231280,88571,176388,32287,72551,3880,196915042
06-Aug-2020,75230737,89039,178912,32862,74345,3958,197910147
07-Aug-2020,74243250,89487,181427,33438,76170,4037,198892190
08-Aug-2020,73268651,89914,183931,34016,78027,4118,199861342
09-Aug-2020,72306773,90320,186425,34595,79916,4200,200817772
10-Aug-2020,71357450,90704,188906,35174,81838,4284,201761645
11-Aug-2020,70420521,91066,191374,35755,83790,4369,202693125
12-Aug-2020,69495824,91407,193828,36336,85775,4455,203612375
