datetime,S,E,I,Q,R,D,P
28-Sep-2020,37360319,41452,259456,59136,202403,10754,235576892
29-Sep-2020,36868751,42973,258254,59298,205664,10896,236064577
30-Sep-2020,36383667,44345,257150,59435,208934,11038,236545845
01-Oct-2020,35904982,45578,256133,59550,212210,11180,237020781
02-Oct-2020,35432608,46682,255194,59646,215492,11323,237489468
03-Oct-2020,34966461,47667,254327,59724,218779,11466,237951989
04-Oct-2020,34506459,48540,253523,59787,222070,11609,238408426
05-Oct-2020,34052519,49309,252775,59836,225363,11752,238858858
06-Oct-2020,33604560,49983,252078,59873,228659,11895,239303364
07-Oct-2020,33162503,50566,251425,59898,231957,12039,239742023
08-Oct-2020,32726270,51066,250812,59914,235256,12182,240174912
09-Oct-2020,32295783,51489,250232,59921,238556,12326,240602107
10-Oct-2020,31870966,51839,249682,59919,241856,12469,241023682
11-Oct-2020,31451744,52122,249156,59911,245155,12612,241439711
12-Oct-2020,31038043,52343,248652,59896,248454,12756,241850269
13-Oct-2020,30629789,52505,248166,59876,251752,12899,242255426
14-Oct-2020,30226911,52613,247693,59850,255048,13043,242655254
15-Oct-2020,29829338,52671,247232,59820,258343,13186,243049823
16-Oct-2020,29436999,52682,246779,59785,261636,13329,243439203
17-Oct-2020,29049827,52649,246331,59746,264928,13472,243823461
18-Oct-2020,28667751,52576,245887,59703,268217,13615,244202665
19-Oct-2020,28290706,52465,245443,59656,271503,13758,244576881
20-Oct-2020,27918625,52319,244998,59607,274787,13901,244946176
21-Oct-2020,27551443,52140,244551,59554,278068,14043,245310614
22-Oct-2020,27189094,51931,244099,59498,281346,14186,245670259
23-Oct-2020,26831517,51694,243640,59439,284621,14328,246025174
24-Oct-2020,26478646,51431,243174,59377,287892,14471,246375422
25-Oct-2020,26130422,51144,242699,59312,291160,14613,246721063
26-Oct-2020,25786782,50835,242214,59245,294424,14755,247062158
27-Oct-2020,25447666,50505,241718,59174,297685,14896,247398768
28-Oct-2020,25113015,50156,241210,59101,300942,15038,247730952
29-Oct-2020,24782770,49789,240688,59025,304194,15179,248058767
30-Oct-2020,24456873,49407,240153,58947,307442,15320,248382271
31-Oct-2020,24135267,49009,239604,58865,310686,15461,248701521
01-Nov-2020,23817895,48597,239040,58781,313926,15602,249016573
02-Nov-2020,23504702,48173,238460,58693,317160,15743,249327482
03-Nov-2020,23195633,47737,237864,58603,320390,15883,249634302
04-Nov-2020,22890633,47291,237252,58509,323614,16024,249937089
05-Nov-2020,22589650,46836,236623,58413,326834,16164,250235894
06-Nov-2020,22292630,46371,235977,58313,330048,16303,250530770
07-Nov-2020,21999521,45899,235314,58210,333256,16443,250821769
08-Nov-2020,21710272,45420,234634,58104,336459,16582,251108942
09-Nov-2020,21424832,44934,233936,57995,339655,16721,251392340
10-Nov-2020,21143151,44443,233220,57882,342846,16860,251672011
11-Nov-2020,20865179,43947,232487,57766,346030,16998,251948006
12-Nov-2020,20590868,43446,231736,57646,349208,17136,252220371
13-Nov-2020,20320170,42942,230968,57523,352379,17274,252489157
14-Nov-2020,20053037,42435,230182,57396,355543,17412,252754408
15-Nov-2020,19789421,41925,229378,57266,358700,17549,253016173
16-Nov-2020,19529278,41413,228557,57132,361850,17686,253274497
17-Nov-2020,19272561,40899,227718,56995,364993,17822,253529424
18-Nov-2020,19019225,40383,226863,56854,368128,17959,253781001
19-Nov-2020,18769226,39867,225991,56709,371254,18095,254029271
20-Nov-2020,18522519,39351,225101,56561,374373,18230,254274277
21-Nov-2020,18279062,38834,224196,56409,377484,18366,254516064
22-Nov-2020,18038811,38318,223273,56253,380586,18500,254754672
23-Nov-2020,17801725,37802,222335,56093,383679,18635,254990144
24-Nov-2020,17567761,37287,221381,55930,386764,18769,255222521
25-Nov-2020,17336880,36773,220412,55762,389839,18903,255451844
26-Nov-2020,17109039,36261,219427,55591,392905,19036,255678154
27-Nov-2020,16884199,35750,218427,55417,395961,19169,255901489
28-Nov-2020,16662321,35241,217413,55238,399008,19301,256121889
29-Nov-2020,16443366,34735,216384,55056,402045,19433,256339394
30-Nov-2020,16227294,34230,215341,54871,405072,19565,256554040
01-Dec-2020,16014069,33729,214285,54681,408088,19696,256765865
02-Dec-2020,15803652,33230,213215,54488,411094,19827,256974907
03-Dec-2020,15596006,32734,212132,54291,414089,19957,257181203
04-Dec-2020,15391096,32241,211037,54091,417074,20087,257384788
05-Dec-2020,15188885,31751,209929,53887,420047,20216,257585698
06-Dec-2020,14989337,31265,208809,53680,423008,20345,257783969
07-Dec-2020,14792417,30783,207677,53469,425959,20473,257979635
08-Dec-2020,14598091,30304,206535,53255,428897,20601,258172730
09-Dec-2020,14406325,29829,205381,53037,431824,20728,258363289
10-Dec-2020,14217085,29357,204217,52816,434739,20855,258551344
11-Dec-2020,14030337,28890,203043,52591,437641,20981,258736930
12-Dec-2020,13846048,28427,201859,52364,440531,21107,258920077
13-Dec-2020,13664187,27968,200665,52133,443408,21232,259100820
14-Dec-2020,13484721,27514,199463,51899,446272,21356,259279188
15-Dec-2020,13307618,27063,198252,51662,449124,21480,259455213
16-Dec-2020,13132848,26618,197032,51422,451962,21604,259628927
17-Dec-2020,12960380,26176,195805,51179,454787,21726,259800359
18-Dec-2020,12790183,25740,194569,50933,457599,21849,259969540
19-Dec-2020,12622228,25307,193327,50684,460397,21970,260136500
20-Dec-2020,12456484,24880,192078,50433,463181,22091,260301266
21-Dec-2020,12292923,24457,190822,50178,465951,22212,260463870
22-Dec-2020,12131515,24039,189560,49921,468707,22332,260624338
23-Dec-2020,11972233,23626,188292,49662,471449,22451,260782700
24-Dec-2020,11815049,23217,187019,49400,474177,22569,260938982
25-Dec-2020,11659934,22814,185740,49135,476890,22687,261093213
26-Dec-2020,11506861,22415,184457,48868,479588,22805,261245418
27-Dec-2020,11355804,22021,183169,48599,482272,22921,261395626
28-Dec-2020,11206736,21632,181877,48328,484941,23037,261543861
29-Dec-2020,11059631,21248,180581,48054,487595,23153,261690151
30-Dec-2020,10914462,20869,179282,47779,490233,23267,261834521
31-Dec-2020,10771204,20494,177979,47501,492857,23381,261976996
01-Jan-2021,10629832,20125,176674,47221,495465,23495,262117600
02-Jan-2021,10490322,19760,175366,46940,498058,23608,262256359
03-Jan-2021,10352647,19400,174056,46657,500635,23720,262393298
04-Jan-2021,10216786,19046,172744,46372,503196,23831,262528439
05-Jan-2021,10082712,18696,171430,46085,505742,23942,262661806
06-Jan-2021,9950403,18351,170115,45797,508272,24052,262793424
07-Jan-2021,9819835,18010,168799,45507,510786,24161,262923314
08-Jan-2021,9690986,17675,167482,45216,513284,24270,263051500
09-Jan-2021,9563833,17344,166165,44923,515766,24377,263178004
10-Jan-2021,9438353,17019,164847,44630,518231,24485,263302848
11-Jan-2021,9314524,16697,163530,44334,520681,24591,263426054
12-Jan-2021,9192325,16381,162213,44038,523114,24697,263547644
13-Jan-2021,9071734,16070,160896,43741,525531,24802,263667639
14-Jan-2021,8952730,15763,159580,43443,527932,24906,263786060
15-Jan-2021,8835291,15460,158265,43143,530316,25010,263902927
16-Jan-2021,8719398,15163,156952,42843,532683,25113,264018261
17-Jan-2021,8605029,14870,155640,42542,535034,25215,264132082
18-Jan-2021,8492165,14581,154330,42241,537369,25317,264244411
19-Jan-2021,8380786,14297,153022,41938,539686,25417,264355266
20-Jan-2021,8270871,14018,151716,41635,541988,25517,264464667
21-Jan-2021,8162403,13743,150412,41332,544272,25617,264572634
22-Jan-2021,8055362,13472,149112,41028,546540,25715,264679184
23-Jan-2021,7949728,13206,147814,40723,548791,25813,264784338
24-Jan-2021,7845484,12944,146519,40419,551025,25910,264888112
25-Jan-2021,7742610,12687,145227,40114,553242,26007,264990526
26-Jan-2021,7641090,12433,143939,39808,555443,26102,265091597
27-Jan-2021,7540905,12184,142655,39503,557627,26197,265191342
28-Jan-2021,7442037,11939,141374,39197,559793,26292,265289780
29-Jan-2021,7344469,11699,140098,38892,561944,26385,265386927
30-Jan-2021,7248184,11462,138825,38586,564077,26478,265482801
31-Jan-2021,7153165,11229,137557,38281,566193,26570,265577418
01-Feb-2021,7059395,11001,136294,37975,568293,26661,265670794
02-Feb-2021,6966858,10776,135035,37670,570376,26752,265762946
03-Feb-2021,6875538,10555,133781,37365,572442,26841,265853891
04-Feb-2021,6785417,10338,132532,37060,574491,26931,265943643
