datetime,S,E,I,Q,R,D,P
30-Nov-2020,14380476,48328,260743,64717,443858,19125,258302752
01-Dec-2020,14184992,46006,259465,64535,447490,19276,258498236
02-Dec-2020,13992165,43796,258094,64345,451111,19426,258691063
03-Dec-2020,13801959,41692,256636,64147,454722,19576,258881269
04-Dec-2020,13614339,39688,255097,63940,458321,19725,259068889
05-Dec-2020,13429270,37781,253485,63724,461909,19873,259253958
06-Dec-2020,13246716,35966,251803,63497,465484,20022,259436512
07-Dec-2020,13066644,34238,250058,63261,469046,20169,259616584
08-Dec-2020,12889019,32593,248255,63014,472594,20316,259794209
09-Dec-2020,12713810,31027,246397,62757,476128,20463,259969418
10-Dec-2020,12540982,29536,244491,62488,479648,20609,260142246
11-Dec-2020,12370503,28117,242540,62210,483152,20754,260312725
12-Dec-2020,12202342,26766,240547,61920,486640,20898,260480886
13-Dec-2020,12036466,25480,238518,61620,490111,21042,260646762
14-Dec-2020,11872846,24256,236455,61310,493566,21186,260810382
