datetime,S,E,I,Q,R,D,P
30-Apr-2020,273489646,10118,10118,7804,1522,792,0
01-May-2020,258114813,12734,10859,7609,1789,809,15371388
02-May-2020,243604060,15228,11777,7427,2049,826,29878632
03-May-2020,229908791,17642,12865,7260,2304,842,43570297
04-May-2020,216983146,20003,14115,7110,2553,858,56492216
05-May-2020,204783854,22332,15524,6975,2797,874,68687644
06-May-2020,193270078,24642,17089,6858,3036,889,80197408
07-May-2020,182403282,26940,18807,6759,3272,904,91060036
08-May-2020,172147101,29232,20676,6678,3505,919,101311890
09-May-2020,162467213,31517,22694,6616,3735,934,110987292
10-May-2020,153331231,33792,24861,6574,3963,948,120118630
11-May-2020,144708590,36056,27172,6552,4191,963,128736477
12-May-2020,136570442,38301,29627,6551,4418,977,136869684
13-May-2020,128889568,40521,32223,6570,4645,992,144545482
14-May-2020,121640272,42709,34955,6611,4873,1007,151789574
15-May-2020,114798310,44856,37822,6674,5103,1021,158626214
16-May-2020,108340797,46955,40817,6759,5336,1036,165078300
17-May-2020,102246139,48997,43937,6866,5572,1051,171167438
18-May-2020,96493953,50974,47175,6996,5812,1067,176914024
19-May-2020,91065003,52877,50526,7148,6057,1082,182337306
20-May-2020,85941135,54700,53984,7323,6307,1098,187455452
21-May-2020,81105214,56434,57541,7521,6564,1115,192285611
22-May-2020,76541070,58073,61189,7742,6829,1132,196843965
23-May-2020,72233439,59611,64922,7985,7101,1149,201145792
24-May-2020,68167919,61043,68731,8251,7382,1167,205205507
25-May-2020,64330912,62363,72606,8539,7673,1186,209036721
26-May-2020,60709588,63568,76540,8849,7974,1205,212652276
27-May-2020,57291834,64654,80524,9181,8286,1225,216064295
28-May-2020,54066221,65618,84548,9534,8611,1246,219284221
29-May-2020,51021960,66460,88604,9908,8947,1267,222322853
30-May-2020,48148866,67179,92682,10302,9297,1290,225190385
31-May-2020,45437330,67772,96772,10716,9661,1313,227896435
01-Jun-2020,42878277,68243,100867,11148,10040,1337,230450087
02-Jun-2020,40463148,68590,104957,11599,10434,1363,232859909
03-Jun-2020,38183857,68817,109033,12068,10844,1389,235133993
04-Jun-2020,36032779,68924,113086,12553,11270,1416,237279971
05-Jun-2020,34002710,68916,117109,13054,11714,1444,239305051
