datetime,S,E,I,Q,R,D,P
14-Sep-2020,254052,715,123695,54277,158405,8841,272932932
15-Sep-2020,254047,507,121320,54319,160848,8939,272932937
16-Sep-2020,254041,359,118934,54310,163292,9037,272932943
17-Sep-2020,254035,255,116556,54252,165735,9136,272932949
18-Sep-2020,254029,181,114197,54148,168174,9234,272932955
19-Sep-2020,254023,128,111866,54000,170607,9331,272932961
20-Sep-2020,254017,91,109569,53812,173033,9429,272932967
21-Sep-2020,254012,64,107309,53585,175449,9526,272932972
22-Sep-2020,254006,46,105088,53322,177855,9623,272932978
23-Sep-2020,254000,32,102908,53026,180247,9719,272932984
24-Sep-2020,253994,23,100770,52700,182626,9814,272932990
25-Sep-2020,253988,16,98674,52344,184989,9909,272932996
26-Sep-2020,253982,12,96620,51962,187336,10004,272933002
27-Sep-2020,253977,8,94607,51556,189665,10097,272933007
28-Sep-2020,253971,6,92635,51127,191975,10190,272933013
29-Sep-2020,253965,4,90704,50677,194266,10282,272933019
30-Sep-2020,253959,3,88813,50209,196536,10373,272933025
