datetime,S,E,I,Q,R,D,P
08-Nov-2020,27736771,41158,303900,54804,368298,14614,244993828
09-Nov-2020,26014580,86761,301699,55644,371396,14707,246668586
10-Nov-2020,24399542,127955,300753,56417,374540,14802,248239365
11-Nov-2020,22884819,165233,300927,57141,377725,14898,249712629
12-Nov-2020,21464045,199015,302102,57834,380950,14996,251094432
13-Nov-2020,20131286,229658,304171,58509,384214,15094,252390441
14-Nov-2020,18881009,257470,307038,59178,387515,15194,253605970
15-Nov-2020,17708049,282713,310617,59851,390854,15294,254745996
16-Nov-2020,16607578,305615,314828,60538,394230,15396,255815188
17-Nov-2020,15575089,326374,319599,61243,397646,15499,256817922
18-Nov-2020,14606361,345162,324867,61975,401102,15603,257758303
19-Nov-2020,13697447,362131,330569,62736,404600,15709,258640181
20-Nov-2020,12844651,377415,336651,63531,408142,15816,259467168
21-Nov-2020,12044509,391133,343063,64362,411729,15924,260242654
22-Nov-2020,11293780,403390,349757,65231,415364,16034,260969817
23-Nov-2020,10589422,414285,356688,66140,419048,16145,261651645
24-Nov-2020,9928586,423902,363818,67089,422785,16257,262290935
25-Nov-2020,9308598,432323,371109,68078,426576,16372,262890318
26-Nov-2020,8726949,439620,378524,69106,430424,16488,263452261
27-Nov-2020,8181290,445861,386033,70174,434331,16606,263979079
28-Nov-2020,7669411,451108,393605,71279,438298,16725,264472947
29-Nov-2020,7189240,455421,401211,72420,442329,16847,264935906
30-Nov-2020,6738833,458855,408826,73596,446424,16970,265369868
01-Dec-2020,6316364,461463,416426,74804,450587,17096,265776635
02-Dec-2020,5920117,463293,423987,76043,454818,17224,266157892
03-Dec-2020,5548486,464393,431490,77309,459119,17353,266515223
04-Dec-2020,5199956,464807,438915,78601,463492,17485,266850117
05-Dec-2020,4873109,464578,446244,79916,467938,17619,267163968
06-Dec-2020,4566614,463748,453461,81251,472459,17756,267458084
07-Dec-2020,4279217,462356,460551,82604,477055,17894,267733697
08-Dec-2020,4009742,460438,467500,83972,481727,18035,267991959
09-Dec-2020,3757087,458031,474296,85352,486477,18179,268233952
10-Dec-2020,3520215,455170,480928,86741,491304,18324,268460693
11-Dec-2020,3298149,451887,487385,88137,496209,18472,268673135
12-Dec-2020,3089978,448215,493658,89537,501193,18622,268872171
13-Dec-2020,2894842,444183,499739,90938,506255,18775,269058641
14-Dec-2020,2711933,439822,505621,92338,511396,18930,269233334
15-Dec-2020,2540497,435158,511298,93734,516615,19088,269396985
16-Dec-2020,2379821,430218,516763,95124,521912,19247,269550287
17-Dec-2020,2229237,425028,522013,96505,527287,19409,269693893
18-Dec-2020,2088118,419612,527044,97875,532740,19574,269828410
19-Dec-2020,1955877,413994,531852,99232,538269,19741,269954409
20-Dec-2020,1831961,408194,536435,100574,543873,19910,270072427
21-Dec-2020,1715850,402234,540791,101898,549552,20081,270182967
22-Dec-2020,1607059,396134,544919,103202,555305,20255,270286499
23-Dec-2020,1505131,389912,548819,104485,561131,20430,270383466
24-Dec-2020,1409636,383586,552489,105745,567028,20608,270474282
25-Dec-2020,1320173,377172,555930,106981,572995,20788,270559334
26-Dec-2020,1236363,370687,559144,108190,579031,20970,270638989
27-Dec-2020,1157853,364145,562131,109371,585133,21154,270713586
28-Dec-2020,1084311,357561,564893,110523,591301,21340,270783445
29-Dec-2020,1015423,350946,567432,111645,597533,21528,270848866
30-Dec-2020,950899,344314,569750,112735,603827,21718,270910131
31-Dec-2020,890464,337675,571850,113792,610181,21910,270967502
01-Jan-2021,833860,331040,573734,114816,616594,22103,271021227
02-Jan-2021,780845,324419,575406,115805,623063,22298,271071537
03-Jan-2021,731195,317822,576869,116759,629586,22495,271118647
04-Jan-2021,684696,311255,578127,117677,636162,22693,271162762
05-Jan-2021,641150,304728,579183,118559,642789,22893,271204072
06-Jan-2021,600370,298247,580041,119403,649463,23095,271242754
07-Jan-2021,562182,291819,580705,120210,656185,23297,271278975
08-Jan-2021,526420,285450,581180,120979,662950,23501,271312893
09-Jan-2021,492933,279145,581469,121710,669758,23707,271344653
10-Jan-2021,461575,272909,581577,122402,676605,23913,271374392
11-Jan-2021,432212,266747,581508,123055,683490,24121,271402240
12-Jan-2021,404717,260662,581268,123670,690411,24330,271428316
13-Jan-2021,378972,254658,580859,124246,697365,24539,271452734
14-Jan-2021,354866,248738,580288,124783,704350,24750,271475598
15-Jan-2021,332294,242905,579558,125282,711365,24962,271497008
16-Jan-2021,311160,237162,578674,125742,718406,25174,271517056
17-Jan-2021,291371,231509,577640,126164,725472,25387,271535829
18-Jan-2021,272843,225950,576462,126548,732561,25601,271553408
19-Jan-2021,255495,220486,575144,126895,739670,25815,271569870
20-Jan-2021,239251,215117,573690,127203,746797,26030,271585284
21-Jan-2021,224043,209845,572105,127475,753941,26246,271599719
22-Jan-2021,209803,204670,570393,127710,761099,26462,271613236
23-Jan-2021,196470,199593,568559,127909,768269,26678,271625895
24-Jan-2021,183987,194614,566607,128073,775449,26895,271637749
25-Jan-2021,172298,189734,564541,128201,782638,27111,271648849
26-Jan-2021,161355,184951,562367,128295,789833,27328,271659245
27-Jan-2021,151108,180267,560087,128354,797032,27546,271668980
28-Jan-2021,141514,175680,557706,128380,804233,27763,271678098
29-Jan-2021,132531,171189,555229,128373,811435,27980,271686636
30-Jan-2021,124120,166795,552659,128334,818636,28197,271694633
31-Jan-2021,116245,162497,550000,128263,825833,28414,271702122
01-Feb-2021,108871,158293,547256,128161,833026,28631,271709135
02-Feb-2021,101966,154183,544431,128029,840212,28848,271715705
03-Feb-2021,95501,150166,541528,127867,847390,29065,271721857
04-Feb-2021,89447,146240,538552,127676,854558,29281,271727619
05-Feb-2021,83779,142405,535505,127457,861714,29497,271733017
06-Feb-2021,78471,138659,532391,127210,868858,29712,271738072
07-Feb-2021,73501,135001,529214,126937,875987,29927,271742807
08-Feb-2021,68847,131429,525977,126637,883099,30142,271747242
09-Feb-2021,64489,127943,522683,126312,890195,30356,271751396
10-Feb-2021,60408,124541,519335,125962,897271,30569,271755288
11-Feb-2021,56586,121221,515937,125588,904327,30782,271758933
12-Feb-2021,53007,117982,512490,125191,911361,30994,271762348
13-Feb-2021,49656,114823,508999,124771,918373,31206,271765546
14-Feb-2021,46517,111742,505466,124330,925360,31416,271768543
15-Feb-2021,43577,108738,501894,123867,932322,31626,271771350
16-Feb-2021,40825,105808,498285,123383,939257,31835,271773980
17-Feb-2021,38247,102953,494642,122880,946165,32044,271776443
18-Feb-2021,35832,100170,490968,122358,953044,32251,271778751
19-Feb-2021,33571,97457,487264,121817,959893,32458,271780914
20-Feb-2021,31453,94814,483534,121259,966711,32664,271782940
21-Feb-2021,29469,92238,479779,120683,973497,32868,271784838
22-Feb-2021,27611,89729,476003,120092,980251,33072,271786616
23-Feb-2021,25871,87284,472206,119484,986971,33275,271788283
24-Feb-2021,24241,84904,468391,118861,993657,33476,271789844
25-Feb-2021,22714,82585,464561,118224,1000307,33677,271791307
26-Feb-2021,21284,80326,460716,117572,1006921,33876,271792678
27-Feb-2021,19944,78127,456859,116908,1013498,34075,271793962
28-Feb-2021,18689,75986,452992,116231,1020037,34272,271795166
01-Mar-2021,17514,73901,449117,115542,1026539,34468,271796294
02-Mar-2021,16412,71871,445234,114841,1033001,34663,271797351
03-Mar-2021,15381,69896,441346,114129,1039423,34857,271798342
04-Mar-2021,14414,67973,437455,113407,1045806,35049,271799270
05-Mar-2021,13509,66101,433561,112675,1052147,35241,271800140
06-Mar-2021,12660,64279,429667,111934,1058447,35431,271800955
07-Mar-2021,11866,62506,425774,111184,1064706,35619,271801719
08-Mar-2021,11121,60780,421882,110426,1070922,35807,271802436
09-Mar-2021,10423,59101,417994,109660,1077095,35993,271803107
10-Mar-2021,9770,57467,414111,108887,1083225,36178,271803736
11-Mar-2021,9157,55877,410233,108106,1089312,36361,271804326
12-Mar-2021,8583,54331,406363,107320,1095355,36544,271804878
13-Mar-2021,8046,52826,402500,106528,1101353,36725,271805397
