datetime,S,E,I,Q,R,D,P
11-Jan-2021,360108,102208,553551,116037,681827,24156,271675486
12-Jan-2021,337205,97583,551188,116251,688400,24356,271698389
13-Jan-2021,315758,93168,548647,116423,694985,24557,271719835
14-Jan-2021,295676,88952,545939,116553,701578,24757,271739918
15-Jan-2021,276871,84927,543075,116641,708178,24958,271758723
16-Jan-2021,259261,81084,540067,116688,714781,25159,271776332
17-Jan-2021,242772,77415,536924,116695,721386,25360,271792822
18-Jan-2021,227332,73912,533655,116662,727990,25561,271808262
19-Jan-2021,212873,70567,530269,116590,734591,25762,271822721
20-Jan-2021,199334,67374,526776,116479,741187,25963,271836259
21-Jan-2021,186656,64325,523183,116332,747776,26164,271848937
22-Jan-2021,174785,61415,519499,116148,754355,26364,271860809
23-Jan-2021,163668,58636,515730,115928,760923,26564,271871925
24-Jan-2021,153259,55982,511883,115674,767477,26763,271882335
25-Jan-2021,143512,53449,507965,115387,774016,26962,271892082
