datetime,S,E,I,Q,R,D,P
25-Jan-2021,142917,72215,525502,118253,777753,27084,271849648
26-Jan-2021,133496,69619,521780,118011,784463,27289,271858717
27-Jan-2021,124698,67103,517999,117736,791157,27493,271867188
28-Jan-2021,116483,64667,514163,117429,797835,27696,271875101
29-Jan-2021,108810,62308,510277,117092,804495,27899,271882492
30-Jan-2021,101645,60026,506345,116726,811134,28101,271889397
31-Jan-2021,94954,57818,502369,116331,817752,28303,271895847
01-Feb-2021,88705,55682,498354,115910,824347,28503,271901872
02-Feb-2021,82868,53617,494303,115463,830917,28704,271907501
03-Feb-2021,77418,51621,490220,114990,837461,28903,271912760
04-Feb-2021,72327,49693,486107,114494,843978,29101,271917673
05-Feb-2021,67572,47831,481968,113975,850466,29299,271922263
06-Feb-2021,63131,46032,477805,113434,856923,29496,271926551
07-Feb-2021,58984,44296,473623,112873,863350,29691,271930557
08-Feb-2021,55109,42620,469423,112291,869744,29886,271934300
09-Feb-2021,51491,41003,465208,111690,876104,30080,271937798
10-Feb-2021,48111,39443,460980,111071,882430,30272,271941066
11-Feb-2021,44953,37939,456743,110435,888720,30464,271944119
12-Feb-2021,42004,36488,452499,109783,894973,30654,271946972
13-Feb-2021,39249,35089,448249,109115,901189,30844,271949638
14-Feb-2021,36676,33741,443997,108433,907367,31032,271952129
15-Feb-2021,34272,32441,439743,107737,913505,31219,271954456
16-Feb-2021,32026,31189,435491,107027,919604,31405,271956631
17-Feb-2021,29928,29983,431242,106306,925662,31589,271958664
18-Feb-2021,27968,28821,426997,105573,931678,31772,271960564
19-Feb-2021,26137,27702,422759,104829,937653,31954,271962339
20-Feb-2021,24427,26625,418530,104075,943585,32135,271963998
21-Feb-2021,22828,25587,414310,103311,949474,32314,271965548
22-Feb-2021,21335,24588,410102,102539,955319,32492,271966997
23-Feb-2021,19940,23627,405907,101759,961121,32669,271968351
24-Feb-2021,18636,22702,401725,100971,966877,32844,271969617
25-Feb-2021,17418,21812,397559,100176,972589,33018,271970800
26-Feb-2021,16280,20955,393410,99376,978256,33191,271971905
27-Feb-2021,15217,20131,389279,98569,983877,33362,271972939
28-Feb-2021,14223,19339,385166,97757,989452,33532,271973905
01-Mar-2021,13295,18576,381074,96941,994980,33700,271974807
02-Mar-2021,12427,17843,377002,96120,1000463,33867,271975651
03-Mar-2021,11616,17138,372952,95296,1005898,34033,271976440
04-Mar-2021,10859,16459,368925,94469,1011287,34197,271977177
05-Mar-2021,10151,15808,364922,93639,1016628,34360,271977867
06-Mar-2021,9489,15181,360942,92807,1021923,34521,271978511
07-Mar-2021,8871,14578,356988,91973,1027170,34681,271979113
08-Mar-2021,8293,13999,353059,91138,1032369,34839,271979677
09-Mar-2021,7753,13442,349157,90302,1037522,34996,271980203
10-Mar-2021,7248,12907,345281,89465,1042626,35151,271980695
11-Mar-2021,6776,12393,341433,88628,1047683,35305,271981155
12-Mar-2021,6335,11899,337612,87791,1052693,35458,271981585
13-Mar-2021,5923,11424,333820,86954,1057655,35609,271981988
14-Mar-2021,5538,10968,330057,86119,1062570,35759,271982364
15-Mar-2021,5177,10530,326323,85284,1067437,35907,271982715
16-Mar-2021,4841,10109,322619,84451,1072257,36054,271983044
17-Mar-2021,4526,9704,318944,83620,1077029,36199,271983351
18-Mar-2021,4232,9315,315299,82790,1081755,36343,271983638
19-Mar-2021,3957,8942,311685,81963,1086433,36486,271983907
20-Mar-2021,3700,8584,308102,81139,1091064,36627,271984158
21-Mar-2021,3460,8239,304549,80317,1095649,36766,271984393
22-Mar-2021,3235,7909,301027,79498,1100187,36904,271984613
23-Mar-2021,3025,7591,297537,78682,1104679,37041,271984818
24-Mar-2021,2829,7286,294078,77869,1109124,37177,271985010
25-Mar-2021,2646,6993,290650,77060,1113524,37311,271985190
26-Mar-2021,2474,6712,287254,76255,1117877,37443,271985358
27-Mar-2021,2314,6442,283889,75454,1122185,37574,271985515
28-Mar-2021,2164,6182,280557,74657,1126448,37704,271985662
29-Mar-2021,2023,5933,277255,73864,1130665,37833,271985799
30-Mar-2021,1892,5694,273986,73076,1134838,37960,271985928
31-Mar-2021,1770,5465,270748,72292,1138966,38085,271986048
01-Apr-2021,1655,5244,267542,71513,1143049,38210,271986160
02-Apr-2021,1548,5033,264367,70739,1147089,38333,271986265
03-Apr-2021,1448,4830,261225,69969,1151084,38455,271986364
04-Apr-2021,1354,4635,258113,69205,1155036,38575,271986456
05-Apr-2021,1266,4448,255034,68446,1158945,38694,271986542
06-Apr-2021,1185,4268,251985,67692,1162810,38812,271986622
07-Apr-2021,1108,4095,248968,66943,1166634,38928,271986697
08-Apr-2021,1036,3930,245982,66200,1170414,39043,271986767
09-Apr-2021,969,3771,243028,65462,1174153,39157,271986833
10-Apr-2021,907,3619,240104,64730,1177850,39270,271986895
11-Apr-2021,848,3472,237211,64003,1181505,39381,271986952
12-Apr-2021,793,3332,234349,63283,1185120,39491,271987006
13-Apr-2021,742,3197,231517,62567,1188693,39600,271987057
14-Apr-2021,694,3067,228716,61858,1192227,39708,271987104
15-Apr-2021,649,2943,225945,61155,1195720,39814,271987148
16-Apr-2021,607,2824,223204,60457,1199173,39919,271987189
17-Apr-2021,568,2710,220492,59766,1202587,40023,271987228
18-Apr-2021,531,2600,217811,59080,1205962,40126,271987264
19-Apr-2021,497,2495,215159,58400,1209298,40227,271987297
20-Apr-2021,465,2393,212536,57726,1212595,40328,271987329
21-Apr-2021,435,2296,209943,57059,1215854,40427,271987359
22-Apr-2021,407,2203,207378,56397,1219076,40525,271987386
