datetime,S,E,I,Q,R,D,P
30-Apr-2020,273489646,10118,10118,7804,1522,792,0
01-May-2020,270264069,10247,10801,7506,1936,810,3224631
02-May-2020,267076475,10413,11486,7234,2334,828,6411230
03-May-2020,263926416,10614,12178,6985,2718,845,9560244
04-May-2020,260813450,10846,12878,6758,3089,862,12672117
05-May-2020,257737141,11106,13588,6552,3449,878,15747286
06-May-2020,254697056,11392,14312,6367,3798,893,18786182
07-May-2020,251692769,11702,15050,6201,4137,908,21789233
08-May-2020,248723857,12033,15804,6053,4468,923,24756862
09-May-2020,245789903,12384,16575,5923,4792,937,27689484
10-May-2020,242890496,12754,17366,5810,5109,951,30587513
11-May-2020,240025227,13142,18176,5714,5420,965,33451356
12-May-2020,237193693,13546,19008,5632,5727,979,36281414
13-May-2020,234395496,13966,19863,5566,6030,992,39078087
14-May-2020,231630244,14401,20740,5514,6329,1006,41841767
15-May-2020,228897547,14850,21641,5476,6626,1019,44572842
16-May-2020,226197020,15312,22567,5452,6921,1032,47271696
17-May-2020,223528284,15787,23519,5441,7215,1045,49938709
18-May-2020,220890964,16274,24497,5442,7509,1058,52574255
19-May-2020,218284689,16774,25502,5456,7804,1071,55178705
20-May-2020,215709091,17284,26534,5482,8099,1084,57752425
21-May-2020,213163810,17806,27594,5519,8397,1097,60295777
22-May-2020,210648487,18338,28683,5568,8696,1111,62809117
23-May-2020,208162768,18881,29801,5627,8999,1124,65292800
24-May-2020,205706304,19434,30948,5698,9305,1138,67747174
25-May-2020,203278749,19996,32125,5780,9615,1151,70172584
26-May-2020,200879763,20567,33332,5871,9930,1165,72569372
27-May-2020,198509007,21148,34570,5973,10250,1180,74937873
28-May-2020,196166149,21737,35838,6085,10575,1194,77278421
29-May-2020,193850859,22335,37138,6207,10908,1209,79591345
30-May-2020,191562812,22940,38469,6339,11247,1224,81876970
31-May-2020,189301686,23554,39831,6480,11593,1239,84135616
01-Jun-2020,187067164,24175,41225,6631,11947,1255,86367602
02-Jun-2020,184858932,24803,42652,6791,12310,1271,88573241
03-Jun-2020,182676679,25438,44110,6961,12682,1288,90752843
04-Jun-2020,180520099,26079,45601,7139,13063,1305,92906715
05-Jun-2020,178388889,26727,47124,7327,13453,1322,95035158
06-Jun-2020,176282750,27380,48680,7523,13855,1340,97138473
07-Jun-2020,174201385,28039,50268,7728,14267,1358,99216954
08-Jun-2020,172144504,28704,51888,7942,14690,1377,101270895
09-Jun-2020,170111816,29373,53542,8165,15125,1396,103300582
10-Jun-2020,168103037,30047,55227,8397,15573,1416,105306303
11-Jun-2020,166117885,30725,56945,8637,16033,1437,107288339
12-Jun-2020,164156082,31407,58695,8885,16507,1458,109246967
13-Jun-2020,162217351,32092,60477,9142,16994,1479,111182465
14-Jun-2020,160301421,32780,62292,9407,17495,1501,113095103
15-Jun-2020,158408024,33472,64138,9681,18011,1524,114985150
16-Jun-2020,156536894,34165,66016,9963,18542,1548,116852873
17-Jun-2020,154687768,34861,67925,10253,19088,1572,118698533
18-Jun-2020,152860387,35558,69865,10551,19650,1597,120522391
19-Jun-2020,151054496,36256,71837,10857,20229,1623,122324702
20-Jun-2020,149269841,36956,73838,11172,20824,1649,124105720
21-Jun-2020,147506172,37655,75870,11494,21436,1677,125865695
22-Jun-2020,145763242,38355,77932,11824,22066,1705,127604875
23-Jun-2020,144040808,39054,80024,12162,22715,1733,129323505
24-Jun-2020,142338626,39753,82144,12508,23381,1763,131021825
25-Jun-2020,140656461,40450,84293,12861,24067,1793,132700075
26-Jun-2020,138994075,41146,86470,13222,24772,1825,134358491
