datetime,S,E,I,Q,R,D,P
08-Nov-2020,27736771,41158,303900,54804,368298,14614,244993828
09-Nov-2020,18420387,28940,368992,54516,371595,14699,254254246
10-Nov-2020,12228307,21802,415859,54733,374890,14784,260402998
11-Nov-2020,8115343,15961,449464,55292,378209,14869,264484236
12-Nov-2020,5384662,11319,472321,56064,381570,14956,267192482
13-Nov-2020,3572326,7837,486907,56954,384981,15043,268989325
14-Nov-2020,2369778,5335,495442,57892,388447,15133,270181347
15-Nov-2020,1571970,3591,499710,58828,391970,15223,270972081
16-Nov-2020,1042731,2398,501047,59732,395549,15315,271496601
17-Nov-2020,691671,1593,500407,60584,399180,15409,271844529
18-Nov-2020,458808,1054,498452,61373,402862,15504,272075320
19-Nov-2020,304348,696,495635,62094,406589,15600,272228412
20-Nov-2020,201892,459,492260,62743,410357,15697,272329966
21-Nov-2020,133930,302,488528,63322,414162,15794,272397334
22-Nov-2020,88849,199,484576,63832,418001,15893,272442024
23-Nov-2020,58944,131,480491,64275,421868,15993,272471672
24-Nov-2020,39105,86,476333,64655,425759,16093,272491341
25-Nov-2020,25945,57,472139,64976,429672,16194,272504391
26-Nov-2020,17214,37,467936,65240,433603,16295,272513049
27-Nov-2020,11421,24,463740,65451,437548,16396,272518793
28-Nov-2020,7578,16,459561,65612,441504,16498,272522604
29-Nov-2020,5028,11,455406,65727,445468,16600,272525133
30-Nov-2020,3337,7,451280,65798,449438,16702,272526811
01-Dec-2020,2214,5,447186,65828,453411,16805,272527925
02-Dec-2020,1469,3,443125,65820,457385,16907,272528664
03-Dec-2020,975,2,439098,65777,461357,17009,272529154
04-Dec-2020,647,1,435107,65701,465326,17111,272529480
05-Dec-2020,429,1,431151,65595,469289,17213,272529696
06-Dec-2020,285,1,427230,65460,473245,17315,272529839
07-Dec-2020,189,0,423344,65298,477192,17417,272529934
08-Dec-2020,126,0,419493,65112,481128,17518,272529997
09-Dec-2020,83,0,415677,64903,485052,17619,272530039
10-Dec-2020,55,0,411896,64673,488963,17720,272530067
11-Dec-2020,37,0,408148,64423,492860,17820,272530085
12-Dec-2020,24,0,404435,64155,496741,17920,272530098
13-Dec-2020,16,0,400756,63871,500605,18019,272530106
14-Dec-2020,11,0,397110,63571,504452,18118,272530111
15-Dec-2020,7,0,393498,63257,508280,18217,272530115
16-Dec-2020,5,0,389918,62930,512089,18315,272530117
17-Dec-2020,3,0,386370,62591,515877,18412,272530119
18-Dec-2020,2,0,382855,62242,519645,18509,272530120
19-Dec-2020,1,0,379372,61882,523392,18606,272530120
20-Dec-2020,1,0,375921,61513,527116,18702,272530121
21-Dec-2020,1,0,372501,61136,530818,18797,272530121
22-Dec-2020,0,0,369112,60751,534497,18892,272530121
23-Dec-2020,0,0,365754,60359,538153,18986,272530122
24-Dec-2020,0,0,362427,59962,541784,19079,272530122
25-Dec-2020,0,0,359129,59558,545392,19172,272530122
26-Dec-2020,0,0,355862,59150,548975,19264,272530122
27-Dec-2020,0,0,352625,58738,552533,19356,272530122
28-Dec-2020,0,0,349417,58322,556066,19447,272530122
29-Dec-2020,0,0,346238,57902,559574,19537,272530122
30-Dec-2020,0,0,343088,57480,563057,19627,272530122
31-Dec-2020,0,0,339967,57055,566514,19716,272530122
01-Jan-2021,0,0,336874,56629,569945,19804,272530122
02-Jan-2021,0,0,333809,56200,573351,19892,272530122
03-Jan-2021,0,0,330772,55770,576730,19979,272530122
04-Jan-2021,0,0,327763,55340,580084,20065,272530122
05-Jan-2021,0,0,324781,54908,583412,20151,272530122
06-Jan-2021,0,0,321826,54476,586713,20236,272530122
07-Jan-2021,0,0,318899,54045,589989,20320,272530122
08-Jan-2021,0,0,315997,53613,593238,20403,272530122
09-Jan-2021,0,0,313123,53181,596461,20486,272530122
10-Jan-2021,0,0,310274,52750,599659,20569,272530122
11-Jan-2021,0,0,307451,52320,602830,20650,272530122
12-Jan-2021,0,0,304654,51891,605975,20731,272530122
13-Jan-2021,0,0,301882,51463,609095,20812,272530122
14-Jan-2021,0,0,299136,51036,612189,20891,272530122
15-Jan-2021,0,0,296415,50610,615257,20970,272530122
16-Jan-2021,0,0,293718,50186,618299,21048,272530122
17-Jan-2021,0,0,291046,49764,621316,21126,272530122
18-Jan-2021,0,0,288398,49343,624307,21203,272530122
19-Jan-2021,0,0,285774,48925,627273,21279,272530122
20-Jan-2021,0,0,283174,48508,630214,21355,272530122
21-Jan-2021,0,0,280598,48093,633130,21430,272530122
22-Jan-2021,0,0,278046,47681,636020,21505,272530122
23-Jan-2021,0,0,275516,47271,638886,21578,272530122
24-Jan-2021,0,0,273009,46863,641728,21651,272530122
25-Jan-2021,0,0,270526,46458,644544,21724,272530122
26-Jan-2021,0,0,268065,46055,647337,21796,272530122
27-Jan-2021,0,0,265626,45654,650105,21867,272530122
28-Jan-2021,0,0,263209,45256,652848,21938,272530122
29-Jan-2021,0,0,260815,44861,655568,22008,272530122
30-Jan-2021,0,0,258442,44468,658265,22077,272530122
31-Jan-2021,0,0,256091,44078,660937,22146,272530122
01-Feb-2021,0,0,253761,43690,663586,22214,272530122
02-Feb-2021,0,0,251452,43306,666212,22282,272530122
03-Feb-2021,0,0,249165,42923,668815,22349,272530122
04-Feb-2021,0,0,246898,42544,671394,22415,272530122
05-Feb-2021,0,0,244652,42168,673951,22481,272530122
06-Feb-2021,0,0,242426,41794,676485,22546,272530122
07-Feb-2021,0,0,240221,41423,678997,22611,272530122
08-Feb-2021,0,0,238035,41055,681487,22675,272530122
09-Feb-2021,0,0,235870,40690,683954,22738,272530122
10-Feb-2021,0,0,233724,40327,686399,22801,272530122
11-Feb-2021,0,0,231597,39968,688823,22864,272530122
12-Feb-2021,0,0,229490,39611,691225,22925,272530122
13-Feb-2021,0,0,227403,39257,693605,22987,272530122
14-Feb-2021,0,0,225334,38906,695964,23047,272530122
15-Feb-2021,0,0,223284,38558,698302,23108,272530122
16-Feb-2021,0,0,221252,38212,700620,23167,272530122
17-Feb-2021,0,0,219240,37870,702916,23226,272530122
18-Feb-2021,0,0,217245,37530,705192,23285,272530122
19-Feb-2021,0,0,215269,37193,707447,23343,272530122
20-Feb-2021,0,0,213310,36859,709682,23400,272530122
21-Feb-2021,0,0,211370,36527,711897,23457,272530122
22-Feb-2021,0,0,209447,36199,714092,23514,272530122
23-Feb-2021,0,0,207541,35873,716268,23570,272530122
24-Feb-2021,0,0,205653,35550,718423,23625,272530122
25-Feb-2021,0,0,203782,35229,720560,23680,272530122
26-Feb-2021,0,0,201928,34912,722677,23735,272530122
27-Feb-2021,0,0,200091,34597,724775,23789,272530122
28-Feb-2021,0,0,198271,34285,726854,23842,272530122
01-Mar-2021,0,0,196467,33975,728914,23895,272530122
02-Mar-2021,0,0,194680,33668,730956,23948,272530122
03-Mar-2021,0,0,192909,33364,732979,24000,272530122
04-Mar-2021,0,0,191154,33063,734984,24052,272530122
05-Mar-2021,0,0,189415,32764,736971,24103,272530122
06-Mar-2021,0,0,187691,32467,738939,24153,272530122
07-Mar-2021,0,0,185984,32174,740890,24204,272530122
08-Mar-2021,0,0,184292,31882,742824,24253,272530122
09-Mar-2021,0,0,182615,31594,744740,24303,272530122
10-Mar-2021,0,0,180954,31308,746638,24352,272530122
11-Mar-2021,0,0,179308,31024,748520,24400,272530122
12-Mar-2021,0,0,177676,30743,750384,24448,272530122
13-Mar-2021,0,0,176060,30465,752231,24496,272530122
14-Mar-2021,0,0,174458,30189,754062,24543,272530122
15-Mar-2021,0,0,172871,29915,755876,24589,272530122
16-Mar-2021,0,0,171298,29644,757674,24636,272530122
17-Mar-2021,0,0,169740,29375,759455,24681,272530122
18-Mar-2021,0,0,168196,29109,761220,24727,272530122
19-Mar-2021,0,0,166666,28845,762970,24772,272530122
20-Mar-2021,0,0,165149,28583,764703,24817,272530122
21-Mar-2021,0,0,163647,28324,766421,24861,272530122
22-Mar-2021,0,0,162158,28066,768123,24905,272530122
23-Mar-2021,0,0,160683,27812,769809,24948,272530122
24-Mar-2021,0,0,159221,27559,771480,24991,272530122
25-Mar-2021,0,0,157772,27309,773136,25034,272530122
26-Mar-2021,0,0,156337,27061,774777,25076,272530122
27-Mar-2021,0,0,154915,26815,776404,25118,272530122
28-Mar-2021,0,0,153505,26572,778015,25159,272530122
29-Mar-2021,0,0,152109,26331,779612,25200,272530122
30-Mar-2021,0,0,150725,26092,781194,25241,272530122
31-Mar-2021,0,0,149354,25855,782762,25281,272530122
01-Apr-2021,0,0,147995,25620,784315,25321,272530122
02-Apr-2021,0,0,146649,25387,785855,25361,272530122
03-Apr-2021,0,0,145315,25156,787381,25400,272530122
04-Apr-2021,0,0,143993,24928,788892,25439,272530122
05-Apr-2021,0,0,142683,24701,790390,25478,272530122
06-Apr-2021,0,0,141384,24477,791874,25516,272530122
07-Apr-2021,0,0,140098,24254,793345,25554,272530122
08-Apr-2021,0,0,138824,24034,794803,25591,272530122
09-Apr-2021,0,0,137561,23815,796247,25628,272530122
10-Apr-2021,0,0,136309,23599,797678,25665,272530122
11-Apr-2021,0,0,135069,23384,799096,25702,272530122
12-Apr-2021,0,0,133840,23172,800501,25738,272530122
13-Apr-2021,0,0,132623,22961,801894,25774,272530122
14-Apr-2021,0,0,131416,22753,803274,25809,272530122
15-Apr-2021,0,0,130221,22546,804641,25844,272530122
16-Apr-2021,0,0,129036,22341,805996,25879,272530122
17-Apr-2021,0,0,127862,22138,807338,25914,272530122
18-Apr-2021,0,0,126699,21936,808668,25948,272530122
19-Apr-2021,0,0,125546,21737,809987,25982,272530122
20-Apr-2021,0,0,124404,21539,811293,26016,272530122
21-Apr-2021,0,0,123272,21343,812587,26049,272530122
22-Apr-2021,0,0,122151,21149,813870,26082,272530122
23-Apr-2021,0,0,121039,20957,815140,26115,272530122
24-Apr-2021,0,0,119938,20766,816400,26147,272530122
25-Apr-2021,0,0,118847,20578,817648,26179,272530122
26-Apr-2021,0,0,117766,20390,818884,26211,272530122
27-Apr-2021,0,0,116695,20205,820109,26243,272530122
28-Apr-2021,0,0,115633,20021,821324,26274,272530122
29-Apr-2021,0,0,114581,19839,822527,26305,272530122
30-Apr-2021,0,0,113539,19659,823719,26335,272530122
01-May-2021,0,0,112506,19480,824900,26366,272530122
02-May-2021,0,0,111482,19303,826071,26396,272530122
03-May-2021,0,0,110468,19127,827231,26426,272530122
04-May-2021,0,0,109463,18953,828380,26455,272530122
05-May-2021,0,0,108467,18781,829519,26485,272530122
06-May-2021,0,0,107480,18610,830648,26514,272530122
07-May-2021,0,0,106502,18441,831766,26543,272530122
08-May-2021,0,0,105533,18273,832874,26571,272530122
09-May-2021,0,0,104573,18107,833972,26599,272530122
10-May-2021,0,0,103622,17942,835060,26627,272530122
11-May-2021,0,0,102679,17779,836138,26655,272530122
12-May-2021,0,0,101745,17617,837207,26683,272530122
13-May-2021,0,0,100820,17457,838265,26710,272530122
14-May-2021,0,0,99902,17298,839314,26737,272530122
15-May-2021,0,0,98993,17141,840354,26764,272530122
16-May-2021,0,0,98093,16985,841384,26790,272530122
17-May-2021,0,0,97200,16830,842404,26816,272530122
18-May-2021,0,0,96316,16677,843416,26842,272530122
19-May-2021,0,0,95440,16526,844418,26868,272530122
20-May-2021,0,0,94572,16375,845411,26894,272530122
21-May-2021,0,0,93711,16226,846395,26919,272530122
22-May-2021,0,0,92859,16079,847370,26944,272530122
23-May-2021,0,0,92014,15932,848336,26969,272530122
24-May-2021,0,0,91177,15787,849294,26994,272530122
25-May-2021,0,0,90347,15644,850242,27018,272530122
26-May-2021,0,0,89525,15502,851182,27042,272530122
27-May-2021,0,0,88711,15361,852114,27066,272530122
28-May-2021,0,0,87904,15221,853037,27090,272530122
29-May-2021,0,0,87104,15082,853951,27114,272530122
30-May-2021,0,0,86312,14945,854858,27137,272530122
31-May-2021,0,0,85527,14809,855756,27160,272530122
01-Jun-2021,0,0,84748,14674,856646,27183,272530122
02-Jun-2021,0,0,83977,14541,857528,27206,272530122
