datetime,S,E,I,Q,R,D,P
30-Nov-2020,3337,7,451280,65798,449438,16702,272526811
01-Dec-2020,2221,1,447180,65828,453411,16805,272527927
02-Dec-2020,1479,0,443113,65820,457385,16907,272528669
03-Dec-2020,985,0,439082,65777,461357,17009,272529163
04-Dec-2020,656,0,435087,65701,465326,17111,272529493
05-Dec-2020,436,0,431129,65594,469289,17213,272529712
06-Dec-2020,291,0,427207,65459,473245,17315,272529858
07-Dec-2020,193,0,423320,65297,477191,17417,272529955
08-Dec-2020,129,0,419469,65111,481128,17518,272530019
09-Dec-2020,86,0,415653,64902,485052,17619,272530062
10-Dec-2020,57,0,411871,64671,488963,17720,272530091
11-Dec-2020,38,0,408124,64422,492859,17820,272530110
12-Dec-2020,25,0,404411,64154,496740,17920,272530123
13-Dec-2020,17,0,400732,63869,500604,18019,272530131
14-Dec-2020,11,0,397087,63569,504451,18118,272530137
