datetime,S,E,I,Q,R,D,P
14-Dec-2020,11,0,397087,63569,504451,18118,272530137
15-Dec-2020,7,0,393474,63255,508279,18217,272530141
16-Dec-2020,5,0,389894,62928,512088,18315,272530143
17-Dec-2020,3,0,386347,62589,515876,18412,272530145
18-Dec-2020,2,0,382833,62239,519644,18509,272530146
19-Dec-2020,1,0,379350,61880,523390,18606,272530147
20-Dec-2020,1,0,375899,61511,527115,18702,272530147
21-Dec-2020,1,0,372479,61133,530817,18797,272530147
22-Dec-2020,0,0,369090,60748,534495,18892,272530148
23-Dec-2020,0,0,365732,60357,538151,18986,272530148
24-Dec-2020,0,0,362405,59959,541782,19079,272530148
25-Dec-2020,0,0,359108,59556,545390,19172,272530148
26-Dec-2020,0,0,355841,59148,548972,19264,272530148
27-Dec-2020,0,0,352604,58735,552530,19356,272530148
28-Dec-2020,0,0,349396,58319,556064,19447,272530148
29-Dec-2020,0,0,346217,57900,559571,19537,272530148
30-Dec-2020,0,0,343067,57477,563054,19627,272530148
31-Dec-2020,0,0,339946,57053,566511,19716,272530148
01-Jan-2021,0,0,336854,56626,569942,19804,272530148
02-Jan-2021,0,0,333789,56197,573347,19891,272530148
03-Jan-2021,0,0,330752,55768,576727,19978,272530148
04-Jan-2021,0,0,327743,55337,580080,20065,272530148
05-Jan-2021,0,0,324762,54906,583408,20150,272530148
06-Jan-2021,0,0,321807,54474,586709,20235,272530148
07-Jan-2021,0,0,318880,54042,589984,20320,272530148
08-Jan-2021,0,0,315979,53610,593234,20403,272530148
09-Jan-2021,0,0,313104,53178,596457,20486,272530148
10-Jan-2021,0,0,310255,52747,599654,20569,272530148
11-Jan-2021,0,0,307433,52317,602825,20650,272530148
12-Jan-2021,0,0,304636,51888,605970,20731,272530148
13-Jan-2021,0,0,301864,51460,609090,20811,272530148
14-Jan-2021,0,0,299118,51033,612183,20891,272530148
15-Jan-2021,0,0,296397,50607,615251,20970,272530148
16-Jan-2021,0,0,293701,50183,618293,21048,272530148
17-Jan-2021,0,0,291029,49761,621310,21126,272530148
18-Jan-2021,0,0,288381,49341,624301,21203,272530148
19-Jan-2021,0,0,285757,48922,627267,21279,272530148
20-Jan-2021,0,0,283158,48505,630207,21355,272530148
21-Jan-2021,0,0,280582,48091,633123,21430,272530148
22-Jan-2021,0,0,278029,47678,636014,21504,272530148
23-Jan-2021,0,0,275500,47268,638879,21578,272530148
24-Jan-2021,0,0,272993,46860,641720,21651,272530148
25-Jan-2021,0,0,270510,46455,644537,21724,272530148
26-Jan-2021,0,0,268049,46052,647329,21796,272530148
27-Jan-2021,0,0,265610,45652,650097,21867,272530148
28-Jan-2021,0,0,263194,45254,652841,21937,272530148
29-Jan-2021,0,0,260799,44858,655561,22007,272530148
30-Jan-2021,0,0,258427,44465,658257,22077,272530148
31-Jan-2021,0,0,256076,44075,660929,22146,272530148
01-Feb-2021,0,0,253746,43688,663578,22214,272530148
02-Feb-2021,0,0,251437,43303,666204,22281,272530148
03-Feb-2021,0,0,249150,42921,668806,22348,272530148
04-Feb-2021,0,0,246883,42542,671386,22415,272530148
05-Feb-2021,0,0,244637,42165,673942,22481,272530148
06-Feb-2021,0,0,242412,41792,676476,22546,272530148
07-Feb-2021,0,0,240206,41421,678988,22610,272530148
08-Feb-2021,0,0,238021,41053,681477,22675,272530148
09-Feb-2021,0,0,235856,40687,683944,22738,272530148
10-Feb-2021,0,0,233710,40325,686390,22801,272530148
11-Feb-2021,0,0,231584,39965,688813,22863,272530148
12-Feb-2021,0,0,229477,39609,691215,22925,272530148
13-Feb-2021,0,0,227389,39255,693595,22986,272530148
14-Feb-2021,0,0,225320,38904,695954,23047,272530148
15-Feb-2021,0,0,223271,38556,698292,23107,272530148
16-Feb-2021,0,0,221239,38210,700609,23167,272530148
17-Feb-2021,0,0,219227,37868,702905,23226,272530148
18-Feb-2021,0,0,217232,37528,705181,23285,272530148
19-Feb-2021,0,0,215256,37191,707436,23343,272530148
20-Feb-2021,0,0,213298,36857,709671,23400,272530148
21-Feb-2021,0,0,211357,36525,711886,23457,272530148
22-Feb-2021,0,0,209434,36197,714081,23514,272530148
23-Feb-2021,0,0,207529,35871,716256,23570,272530148
24-Feb-2021,0,0,205641,35548,718412,23625,272530148
25-Feb-2021,0,0,203770,35227,720548,23680,272530148
26-Feb-2021,0,0,201916,34910,722665,23735,272530148
27-Feb-2021,0,0,200079,34595,724763,23789,272530148
28-Feb-2021,0,0,198259,34283,726842,23842,272530148
01-Mar-2021,0,0,196455,33973,728902,23895,272530148
02-Mar-2021,0,0,194668,33666,730943,23948,272530148
03-Mar-2021,0,0,192897,33362,732966,24000,272530148
04-Mar-2021,0,0,191142,33061,734971,24051,272530148
05-Mar-2021,0,0,189403,32762,736958,24102,272530148
06-Mar-2021,0,0,187680,32465,738927,24153,272530148
07-Mar-2021,0,0,185973,32172,740878,24203,272530148
08-Mar-2021,0,0,184281,31881,742811,24253,272530148
09-Mar-2021,0,0,182604,31592,744727,24302,272530148
10-Mar-2021,0,0,180943,31306,746625,24351,272530148
11-Mar-2021,0,0,179297,31022,748506,24400,272530148
12-Mar-2021,0,0,177666,30741,750371,24448,272530148
13-Mar-2021,0,0,176049,30463,752218,24495,272530148
14-Mar-2021,0,0,174448,30187,754048,24542,272530148
15-Mar-2021,0,0,172861,29913,755862,24589,272530148
16-Mar-2021,0,0,171288,29642,757660,24635,272530148
17-Mar-2021,0,0,169730,29373,759441,24681,272530148
18-Mar-2021,0,0,168186,29107,761206,24727,272530148
19-Mar-2021,0,0,166656,28843,762955,24772,272530148
20-Mar-2021,0,0,165139,28581,764689,24816,272530148
21-Mar-2021,0,0,163637,28322,766406,24860,272530148
22-Mar-2021,0,0,162148,28065,768108,24904,272530148
23-Mar-2021,0,0,160673,27810,769794,24948,272530148
24-Mar-2021,0,0,159211,27558,771466,24991,272530148
25-Mar-2021,0,0,157763,27308,773122,25033,272530148
26-Mar-2021,0,0,156328,27060,774763,25075,272530148
27-Mar-2021,0,0,154906,26814,776389,25117,272530148
28-Mar-2021,0,0,153496,26570,778000,25159,272530148
29-Mar-2021,0,0,152100,26329,779597,25200,272530148
30-Mar-2021,0,0,150716,26090,781179,25241,272530148
31-Mar-2021,0,0,149345,25853,782747,25281,272530148
01-Apr-2021,0,0,147986,25618,784300,25321,272530148
02-Apr-2021,0,0,146640,25385,785839,25361,272530148
03-Apr-2021,0,0,145306,25155,787365,25400,272530148
04-Apr-2021,0,0,143984,24926,788876,25439,272530148
05-Apr-2021,0,0,142674,24700,790374,25477,272530148
06-Apr-2021,0,0,141376,24475,791859,25515,272530148
07-Apr-2021,0,0,140090,24253,793329,25553,272530148
08-Apr-2021,0,0,138815,24032,794787,25591,272530148
09-Apr-2021,0,0,137553,23814,796231,25628,272530148
10-Apr-2021,0,0,136301,23598,797662,25665,272530148
11-Apr-2021,0,0,135061,23383,799080,25701,272530148
12-Apr-2021,0,0,133832,23171,800485,25737,272530148
13-Apr-2021,0,0,132615,22960,801877,25773,272530148
14-Apr-2021,0,0,131408,22751,803257,25809,272530148
15-Apr-2021,0,0,130213,22544,804624,25844,272530148
16-Apr-2021,0,0,129028,22339,805979,25879,272530148
17-Apr-2021,0,0,127854,22136,807321,25913,272530148
18-Apr-2021,0,0,126691,21935,808651,25948,272530148
19-Apr-2021,0,0,125539,21736,809970,25982,272530148
20-Apr-2021,0,0,124397,21538,811276,26015,272530148
21-Apr-2021,0,0,123265,21342,812570,26049,272530148
22-Apr-2021,0,0,122143,21148,813852,26082,272530148
23-Apr-2021,0,0,121032,20956,815123,26114,272530148
24-Apr-2021,0,0,119931,20765,816382,26147,272530148
25-Apr-2021,0,0,118840,20576,817630,26179,272530148
26-Apr-2021,0,0,117759,20389,818867,26211,272530148
27-Apr-2021,0,0,116688,20204,820092,26242,272530148
28-Apr-2021,0,0,115626,20020,821306,26273,272530148
29-Apr-2021,0,0,114574,19838,822509,26304,272530148
30-Apr-2021,0,0,113532,19658,823701,26335,272530148
01-May-2021,0,0,112499,19479,824882,26365,272530148
02-May-2021,0,0,111475,19302,826053,26396,272530148
03-May-2021,0,0,110461,19126,827213,26425,272530148
04-May-2021,0,0,109456,18952,828362,26455,272530148
05-May-2021,0,0,108461,18780,829501,26484,272530148
06-May-2021,0,0,107474,18609,830629,26513,272530148
