datetime,S,E,I,Q,R,D,P
30-Apr-2020,273489646,10118,10118,7804,1522,792,0
01-May-2020,245356354,29155,10512,7527,1825,809,28113818
02-May-2020,220116111,46795,11307,7264,2118,826,53335580
03-May-2020,197470954,63650,12479,7015,2400,842,75962659
04-May-2020,177153737,80125,14013,6783,2673,858,96261811
05-May-2020,158924911,96476,15902,6567,2936,873,114472334
06-May-2020,142569647,112854,18144,6368,3192,888,130808906
07-May-2020,127895274,129330,20739,6188,3440,902,145464126
08-May-2020,114728977,145923,23688,6026,3682,916,158610788
09-May-2020,102915742,162609,26991,5884,3917,930,170403927
10-May-2020,92316522,179335,30650,5763,4148,943,180982640
11-May-2020,82806590,196031,34661,5662,4373,956,190471727
12-May-2020,74274044,212612,39023,5582,4596,969,198983174
13-May-2020,66618495,228986,43730,5525,4815,981,206617468
14-May-2020,59749887,245059,48776,5490,5033,994,213464761
15-May-2020,53587418,260739,54151,5478,5250,1006,219605958
16-May-2020,48058582,275937,59843,5490,5466,1019,225113662
17-May-2020,43098342,290570,65841,5525,5684,1031,230053006
18-May-2020,38648321,304564,72130,5585,5904,1044,234482454
19-May-2020,34656147,317851,78693,5668,6126,1057,238454459
20-May-2020,31074827,330375,85513,5776,6352,1070,242016088
21-May-2020,27862176,342089,92572,5908,6583,1083,245209589
22-May-2020,24980360,352957,99850,6065,6820,1097,248072852
23-May-2020,22395398,362952,107327,6245,7063,1111,250639904
24-May-2020,20076823,372055,114984,6450,7314,1125,252941249
25-May-2020,17997264,380259,122800,6678,7574,1140,255004286
26-May-2020,16132180,387562,130753,6929,7843,1155,256853577
27-May-2020,14459526,393973,138824,7204,8122,1171,258511180
28-May-2020,12959534,399503,146993,7500,8413,1188,259996868
29-May-2020,11614447,404173,155240,7819,8716,1206,261328399
30-May-2020,10408341,408008,163546,8159,9031,1224,262521691
31-May-2020,9326914,411036,171892,8519,9361,1243,263591035
01-Jun-2020,8357337,413290,180261,8900,9706,1263,264549244
02-Jun-2020,7488093,414805,188637,9299,10065,1283,265407817
03-Jun-2020,6708848,415619,197003,9717,10441,1305,266177068
04-Jun-2020,6010329,415769,205344,10152,10834,1327,266866245
05-Jun-2020,5384210,415297,213646,10604,11244,1351,267483648
06-Jun-2020,4823025,414242,221896,11071,11673,1376,268036717
07-Jun-2020,4320071,412644,230083,11554,12120,1401,268532127
08-Jun-2020,3869336,410545,238193,12050,12587,1428,268975861
09-Jun-2020,3465423,407982,246218,12559,13073,1456,269373287
