datetime,S,E,I,Q,R,D,P
28-Sep-2020,15,42902,473400,51708,187710,10526,272768311
29-Sep-2020,13,41964,472339,51548,189752,10643,272768312
30-Sep-2020,12,41047,471262,51390,191787,10760,272768314
01-Oct-2020,11,40149,470169,51235,193816,10877,272768315
02-Oct-2020,10,39271,469062,51081,195839,10993,272768316
03-Oct-2020,9,38413,467940,50928,197856,11109,272768317
04-Oct-2020,8,37573,466804,50778,199867,11225,272768318
05-Oct-2020,7,36751,465654,50628,201872,11340,272768318
06-Oct-2020,6,35948,464491,50481,203872,11455,272768319
07-Oct-2020,5,35162,463316,50334,205865,11570,272768320
08-Oct-2020,5,34393,462129,50188,207853,11684,272768320
09-Oct-2020,4,33641,460929,50044,209835,11798,272768321
10-Oct-2020,4,32905,459719,49900,211811,11912,272768321
11-Oct-2020,3,32186,458497,49757,213781,12025,272768322
12-Oct-2020,3,31482,457265,49615,215746,12138,272768322
13-Oct-2020,3,30793,456023,49474,217705,12250,272768322
14-Oct-2020,3,30120,454771,49333,219659,12363,272768323
15-Oct-2020,2,29462,453510,49193,221607,12475,272768323
16-Oct-2020,2,28817,452239,49053,223550,12586,272768323
17-Oct-2020,2,28187,450960,48914,225487,12698,272768323
18-Oct-2020,2,27571,449672,48775,227419,12809,272768324
19-Oct-2020,1,26968,448377,48637,229345,12920,272768324
20-Oct-2020,1,26378,447074,48499,231266,13030,272768324
21-Oct-2020,1,25802,445763,48361,233181,13140,272768324
22-Oct-2020,1,25237,444445,48223,235090,13250,272768324
23-Oct-2020,1,24686,443121,48086,236995,13359,272768324
24-Oct-2020,1,24146,441790,47948,238894,13469,272768324
25-Oct-2020,1,23618,440453,47811,240787,13578,272768324
26-Oct-2020,1,23101,439110,47674,242675,13686,272768324
27-Oct-2020,1,22596,437762,47536,244558,13794,272768325
28-Oct-2020,1,22102,436408,47399,246435,13902,272768325
29-Oct-2020,0,21619,435049,47262,248307,14010,272768325
30-Oct-2020,0,21146,433685,47125,250173,14117,272768325
31-Oct-2020,0,20684,432317,46988,252034,14224,272768325
01-Nov-2020,0,20231,430945,46850,253889,14331,272768325
02-Nov-2020,0,19789,429568,46713,255739,14437,272768325
03-Nov-2020,0,19356,428187,46576,257584,14543,272768325
04-Nov-2020,0,18933,426803,46438,259423,14649,272768325
05-Nov-2020,0,18519,425416,46300,261257,14754,272768325
06-Nov-2020,0,18114,424025,46163,263085,14860,272768325
07-Nov-2020,0,17718,422631,46025,264908,14964,272768325
08-Nov-2020,0,17331,421235,45887,266725,15069,272768325
