datetime,S,E,I,Q,R,D,P
30-Apr-2020,273489646,10118,10118,7804,1522,792,0
01-May-2020,273443875,25304,40703,7225,2043,851,0
02-May-2020,273282936,86663,140283,6689,2525,905,0
03-May-2020,272729993,297588,482300,6192,2971,955,0
04-May-2020,270840132,1016234,1653516,5733,3384,1001,0
05-May-2020,264489759,3404900,5615222,5309,3766,1045,0
06-May-2020,244324664,10709112,18476102,4918,4120,1084,0
07-May-2020,190572806,27742713,55194349,4562,4449,1121,0
08-May-2020,98856226,44494307,130159309,4248,4754,1156,0
09-May-2020,27824851,33074584,212610357,3981,5039,1188,0
10-May-2020,4880124,12189900,256439700,3752,5307,1218,0
11-May-2020,704745,2981017,269823885,3547,5559,1246,0
12-May-2020,96651,594525,272818394,3359,5799,1273,0
13-May-2020,13113,106629,273389749,3185,6025,1299,0
14-May-2020,1775,17980,273489657,3024,6240,1323,0
15-May-2020,240,2914,273506180,2875,6445,1346,0
16-May-2020,33,459,273508763,2738,6639,1368,0
17-May-2020,4,71,273509101,2610,6825,1389,0
18-May-2020,1,11,273509087,2492,7001,1409,0
19-May-2020,0,2,273509018,2383,7170,1428,0
20-May-2020,0,0,273508940,2282,7332,1446,0
21-May-2020,0,0,273508862,2188,7487,1463,0
22-May-2020,0,0,273508783,2101,7635,1480,0
23-May-2020,0,0,273508705,2021,7778,1496,0
24-May-2020,0,0,273508626,1947,7916,1511,0
25-May-2020,0,0,273508548,1878,8048,1526,0
26-May-2020,0,0,273508469,1814,8176,1541,0
27-May-2020,0,0,273508390,1755,8300,1555,0
28-May-2020,0,0,273508312,1701,8420,1568,0
29-May-2020,0,0,273508233,1650,8536,1581,0
30-May-2020,0,0,273508154,1603,8648,1594,0
31-May-2020,-0,-0,273508076,1560,8758,1606,0
01-Jun-2020,0,0,273507997,1520,8865,1618,0
02-Jun-2020,-0,-0,273507919,1483,8969,1630,0
03-Jun-2020,0,0,273507840,1448,9070,1641,0
04-Jun-2020,-0,-0,273507761,1417,9170,1653,0
05-Jun-2020,0,0,273507683,1387,9267,1663,0
06-Jun-2020,-0,-0,273507604,1360,9362,1674,0
07-Jun-2020,-0,0,273507525,1335,9455,1685,0
08-Jun-2020,0,0,273507447,1311,9547,1695,0
09-Jun-2020,-0,0,273507368,1290,9637,1705,0
10-Jun-2020,0,-0,273507290,1270,9726,1715,0
11-Jun-2020,-0,0,273507211,1251,9813,1725,0
12-Jun-2020,0,-0,273507132,1234,9899,1735,0
13-Jun-2020,0,-0,273507054,1218,9984,1744,0
14-Jun-2020,0,0,273506975,1203,10068,1754,0
15-Jun-2020,-0,0,273506896,1190,10151,1763,0
16-Jun-2020,0,-0,273506818,1177,10233,1772,0
17-Jun-2020,-0,0,273506739,1165,10314,1781,0
18-Jun-2020,0,-0,273506661,1154,10395,1790,0
19-Jun-2020,-0,0,273506582,1144,10474,1799,0
20-Jun-2020,0,-0,273506503,1135,10553,1808,0
21-Jun-2020,0,-0,273506425,1127,10632,1817,0
22-Jun-2020,0,0,273506346,1119,10709,1826,0
23-Jun-2020,-0,0,273506268,1111,10787,1834,0
24-Jun-2020,0,-0,273506189,1104,10863,1843,0
25-Jun-2020,-0,0,273506110,1098,10940,1852,0
26-Jun-2020,0,-0,273506032,1092,11016,1860,0
27-Jun-2020,-0,0,273505953,1087,11091,1869,0
28-Jun-2020,0,-0,273505874,1082,11166,1877,0
29-Jun-2020,0,-0,273505796,1077,11241,1886,0
30-Jun-2020,-0,0,273505717,1073,11316,1894,0
01-Jul-2020,0,-0,273505639,1069,11390,1902,0
02-Jul-2020,0,-0,273505560,1065,11464,1911,0
03-Jul-2020,-0,0,273505481,1062,11538,1919,0
04-Jul-2020,0,-0,273505403,1059,11611,1927,0
05-Jul-2020,-0,0,273505324,1056,11684,1936,0
06-Jul-2020,0,-0,273505245,1053,11758,1944,0
07-Jul-2020,0,-0,273505167,1051,11830,1952,0
08-Jul-2020,0,-0,273505088,1048,11903,1960,0
09-Jul-2020,0,-0,273505010,1046,11976,1968,0
10-Jul-2020,0,-0,273504931,1044,12048,1976,0
11-Jul-2020,-0,0,273504852,1042,12121,1985,0
12-Jul-2020,0,-0,273504774,1041,12193,1993,0
13-Jul-2020,-0,0,273504695,1039,12265,2001,0
14-Jul-2020,0,-0,273504616,1038,12337,2009,0
15-Jul-2020,-0,0,273504538,1036,12409,2017,0
16-Jul-2020,0,-0,273504459,1035,12481,2025,0
