datetime,S,E,I,Q,R,D,P
28-Aug-2020,-0,0,273501079,37818,120900,7169,0
29-Aug-2020,-0,0,273497875,39174,122667,7250,-0
30-Aug-2020,-0,0,273494671,40466,124495,7334,-0
31-Aug-2020,-0,0,273491468,41697,126381,7420,-0
01-Sep-2020,-0,0,273488264,42871,128321,7509,-0
02-Sep-2020,-0,0,273485061,43989,130315,7600,-0
03-Sep-2020,-0,0,273481857,45056,132359,7694,-0
04-Sep-2020,0,0,273478654,46072,134450,7790,-0
05-Sep-2020,-0,0,273475451,47040,136587,7888,-0
06-Sep-2020,-0,0,273472247,47963,138767,7987,-0
07-Sep-2020,0,0,273469044,48843,140989,8089,-0
08-Sep-2020,0,0,273465841,49682,143250,8193,-0
09-Sep-2020,-0,0,273462638,50481,145549,8298,-0
10-Sep-2020,-0,0,273459435,51243,147883,8405,-0
11-Sep-2020,0,0,273456232,51969,150252,8513,-0
12-Sep-2020,0,0,273453028,52661,152653,8623,-0
13-Sep-2020,0,0,273449825,53320,155085,8735,-0
14-Sep-2020,-0,0,273446622,53948,157547,8848,-0
15-Sep-2020,-0,0,273443419,54547,160037,8962,-0
16-Sep-2020,0,0,273440217,55118,162554,9077,-0
17-Sep-2020,0,-0,273437014,55662,165096,9193,-0
18-Sep-2020,0,-0,273433811,56181,167663,9311,-0
19-Sep-2020,-0,0,273430608,56675,170253,9430,-0
20-Sep-2020,-0,0,273427405,57146,172865,9549,0
21-Sep-2020,-0,0,273424202,57595,175498,9670,0
22-Sep-2020,0,-0,273421000,58023,178151,9791,-0
23-Sep-2020,0,-0,273417797,58431,180824,9914,-0
24-Sep-2020,0,-0,273414594,58820,183514,10037,-0
25-Sep-2020,-0,0,273411392,59190,186223,10161,0
26-Sep-2020,-0,0,273408189,59543,188947,10286,0
27-Sep-2020,-0,0,273404987,59879,191688,10411,0
28-Sep-2020,0,-0,273401784,60200,194444,10538,-0
29-Sep-2020,0,-0,273398582,60505,197214,10665,-0
30-Sep-2020,-0,0,273395380,60797,199997,10792,0
01-Oct-2020,0,-0,273392177,61074,202794,10920,-0
02-Oct-2020,0,-0,273388975,61338,205603,11049,-0
03-Oct-2020,-0,0,273385773,61591,208424,11178,0
04-Oct-2020,0,-0,273382570,61831,211257,11308,-0
05-Oct-2020,0,-0,273379368,62060,214100,11438,-0
06-Oct-2020,-0,0,273376166,62278,216953,11569,0
07-Oct-2020,-0,0,273372964,62486,219816,11700,0
08-Oct-2020,0,-0,273369762,62684,222689,11831,-0
09-Oct-2020,-0,0,273366560,62872,225570,11963,0
10-Oct-2020,-0,0,273363358,63052,228460,12096,0
11-Oct-2020,0,-0,273360156,63224,231358,12229,-0
12-Oct-2020,-0,0,273356954,63387,234263,12362,0
13-Oct-2020,-0,0,273353752,63543,237176,12495,0
14-Oct-2020,0,-0,273350550,63691,240096,12629,-0
15-Oct-2020,-0,0,273347348,63832,243022,12763,0
16-Oct-2020,-0,0,273344146,63967,245955,12897,0
17-Oct-2020,0,-0,273340944,64095,248894,13032,-0
18-Oct-2020,-0,0,273337743,64218,251839,13167,0
19-Oct-2020,-0,0,273334541,64334,254789,13302,0
20-Oct-2020,0,-0,273331339,64445,257744,13437,-0
21-Oct-2020,-0,0,273328138,64551,260704,13573,0
22-Oct-2020,-0,0,273324936,64652,263669,13709,0
23-Oct-2020,0,-0,273321735,64748,266639,13845,-0
24-Oct-2020,0,-0,273318533,64839,269612,13981,-0
25-Oct-2020,-0,0,273315332,64926,272590,14117,0
26-Oct-2020,0,-0,273312130,65009,275572,14254,-0
27-Oct-2020,0,-0,273308929,65088,278558,14391,-0
28-Oct-2020,-0,0,273305728,65164,281547,14527,0
29-Oct-2020,0,-0,273302526,65236,284539,14665,-0
30-Oct-2020,0,-0,273299325,65304,287535,14802,-0
31-Oct-2020,-0,0,273296124,65369,290534,14939,0
01-Nov-2020,0,-0,273292922,65431,293535,15077,-0
02-Nov-2020,0,-0,273289721,65490,296540,15214,-0
03-Nov-2020,-0,0,273286520,65547,299547,15352,0
04-Nov-2020,0,-0,273283319,65600,302556,15490,-0
05-Nov-2020,0,-0,273280118,65651,305568,15628,-0
06-Nov-2020,-0,0,273276917,65700,308583,15766,0
07-Nov-2020,-0,0,273273716,65746,311599,15904,0
08-Nov-2020,0,-0,273270515,65791,314618,16042,-0
09-Nov-2020,-0,0,273267314,65833,317638,16181,0
10-Nov-2020,-0,0,273264113,65873,320661,16319,0
11-Nov-2020,0,-0,273260913,65911,323685,16458,-0
12-Nov-2020,-0,0,273257712,65947,326711,16596,0
13-Nov-2020,-0,0,273254511,65981,329738,16735,0
14-Nov-2020,0,-0,273251310,66014,332767,16874,-0
15-Nov-2020,-0,0,273248110,66046,335798,17012,0
16-Nov-2020,-0,0,273244909,66075,338830,17151,0
17-Nov-2020,0,-0,273241708,66104,341863,17290,-0
18-Nov-2020,-0,0,273238508,66131,344898,17429,0
19-Nov-2020,-0,0,273235307,66157,347933,17568,0
20-Nov-2020,0,-0,273232107,66181,350970,17707,-0
21-Nov-2020,0,-0,273228906,66204,354008,17847,-0
22-Nov-2020,-0,0,273225706,66226,357047,17986,0
23-Nov-2020,0,-0,273222506,66248,360087,18125,-0
24-Nov-2020,0,-0,273219305,66268,363128,18264,-0
25-Nov-2020,-0,0,273216105,66287,366170,18404,0
26-Nov-2020,0,-0,273212905,66305,369213,18543,-0
27-Nov-2020,0,-0,273209704,66322,372257,18682,-0
28-Nov-2020,-0,0,273206504,66339,375301,18822,0
29-Nov-2020,-0,0,273203304,66354,378346,18961,0
30-Nov-2020,0,-0,273200104,66369,381392,19101,-0
01-Dec-2020,-0,0,273196904,66383,384438,19240,0
02-Dec-2020,-0,0,273193704,66396,387485,19380,0
03-Dec-2020,0,-0,273190504,66409,390533,19520,-0
