datetime,S,E,I,Q,R,D,P
14-Sep-2020,-0,0,273446622,54277,158405,8841,-0
15-Sep-2020,-0,0,273443419,54861,160910,8956,-0
16-Sep-2020,-0,0,273440217,55417,163440,9072,-0
17-Sep-2020,-0,0,273437014,55947,165996,9189,-0
18-Sep-2020,-0,0,273433811,56452,168576,9307,-0
19-Sep-2020,-0,0,273430608,56934,171178,9426,-0
20-Sep-2020,-0,0,273427405,57393,173801,9546,-0
21-Sep-2020,-0,0,273424202,57830,176446,9667,-0
22-Sep-2020,-0,0,273421000,58247,179109,9789,-0
23-Sep-2020,-0,0,273417797,58644,181792,9912,-0
24-Sep-2020,-0,0,273414594,59023,184492,10036,-0
25-Sep-2020,-0,0,273411392,59384,187209,10160,-0
26-Sep-2020,-0,0,273408189,59728,189943,10286,-0
27-Sep-2020,-0,0,273404987,60055,192692,10412,-0
28-Sep-2020,-0,0,273401784,60368,195455,10538,-0
29-Sep-2020,-0,0,273398582,60665,198233,10665,-0
30-Sep-2020,-0,0,273395380,60949,201024,10793,-0
