datetime,S,E,I,Q,R,D,P
28-Sep-2020,-0,0,273401784,60368,195455,10538,-0
29-Sep-2020,-0,0,273398582,60665,198233,10665,-0
30-Sep-2020,-0,0,273395380,60949,201024,10793,-0
01-Oct-2020,-0,0,273392177,61219,203827,10922,-0
02-Oct-2020,-0,0,273388975,61477,206643,11051,-0
03-Oct-2020,-0,0,273385773,61722,209470,11180,-0
04-Oct-2020,-0,0,273382570,61956,212309,11310,-0
05-Oct-2020,0,0,273379368,62179,215157,11441,-0
06-Oct-2020,-0,0,273376166,62392,218016,11572,-0
07-Oct-2020,-0,0,273372964,62594,220884,11703,-0
08-Oct-2020,0,0,273369762,62787,223762,11835,-0
09-Oct-2020,0,0,273366560,62971,226648,11967,-0
10-Oct-2020,-0,0,273363358,63147,229542,12099,-0
11-Oct-2020,-0,0,273360156,63314,232444,12232,-0
12-Oct-2020,0,-0,273356954,63473,235353,12366,-0
13-Oct-2020,0,-0,273353752,63624,238270,12499,-0
14-Oct-2020,0,-0,273350550,63769,241194,12633,-0
15-Oct-2020,0,-0,273347348,63907,244124,12767,-0
16-Oct-2020,-0,0,273344146,64038,247060,12902,-0
17-Oct-2020,-0,0,273340944,64163,250002,13037,-0
18-Oct-2020,0,-0,273337743,64282,252949,13172,-0
19-Oct-2020,0,-0,273334541,64395,255902,13307,-0
20-Oct-2020,0,-0,273331339,64503,258860,13442,-0
21-Oct-2020,0,-0,273328138,64607,261823,13578,-0
22-Oct-2020,0,-0,273324936,64705,264791,13714,-0
23-Oct-2020,-0,0,273321735,64798,267762,13850,0
24-Oct-2020,-0,0,273318533,64887,270738,13986,0
25-Oct-2020,-0,0,273315332,64972,273719,14123,0
26-Oct-2020,0,-0,273312130,65053,276702,14260,-0
27-Oct-2020,0,-0,273308929,65130,279690,14396,-0
28-Oct-2020,0,-0,273305728,65204,282681,14533,-0
29-Oct-2020,-0,0,273302526,65274,285675,14671,0
30-Oct-2020,-0,0,273299325,65340,288672,14808,0
31-Oct-2020,-0,0,273296124,65404,291673,14945,0
01-Nov-2020,0,-0,273292922,65464,294676,15083,-0
02-Nov-2020,-0,0,273289721,65522,297682,15221,0
03-Nov-2020,-0,0,273286520,65576,300690,15358,0
04-Nov-2020,0,-0,273283319,65629,303701,15496,-0
05-Nov-2020,-0,0,273280118,65678,306715,15634,0
06-Nov-2020,-0,0,273276917,65726,309730,15772,0
07-Nov-2020,0,-0,273273716,65771,312748,15911,-0
08-Nov-2020,-0,0,273270515,65814,315767,16049,0
09-Nov-2020,-0,0,273267314,65855,318789,16187,0
10-Nov-2020,0,-0,273264113,65894,321812,16326,-0
11-Nov-2020,-0,0,273260913,65931,324837,16464,0
12-Nov-2020,-0,0,273257712,65966,327864,16603,0
13-Nov-2020,0,-0,273254511,66000,330893,16742,-0
14-Nov-2020,-0,0,273251310,66032,333923,16881,0
15-Nov-2020,-0,0,273248110,66062,336954,17019,0
16-Nov-2020,0,-0,273244909,66091,339987,17158,-0
17-Nov-2020,0,-0,273241708,66119,343021,17297,-0
18-Nov-2020,-0,0,273238508,66145,346056,17436,0
19-Nov-2020,0,-0,273235307,66170,349092,17575,-0
20-Nov-2020,0,-0,273232107,66194,352130,17715,-0
21-Nov-2020,-0,0,273228906,66217,355168,17854,0
22-Nov-2020,-0,0,273225706,66238,358208,17993,0
23-Nov-2020,0,-0,273222506,66259,361249,18132,-0
24-Nov-2020,-0,0,273219305,66278,364290,18272,0
25-Nov-2020,-0,0,273216105,66297,367332,18411,0
26-Nov-2020,0,-0,273212905,66315,370376,18550,-0
27-Nov-2020,-0,0,273209704,66332,373420,18690,0
28-Nov-2020,-0,0,273206504,66348,376464,18829,0
29-Nov-2020,0,-0,273203304,66363,379510,18969,-0
30-Nov-2020,-0,0,273200104,66377,382556,19108,0
01-Dec-2020,0,-0,273196904,66391,385603,19248,-0
02-Dec-2020,0,-0,273193704,66404,388650,19387,-0
03-Dec-2020,-0,0,273190504,66416,391698,19527,0
04-Dec-2020,-0,0,273187304,66428,394747,19667,0
05-Dec-2020,0,-0,273184104,66439,397796,19806,-0
06-Dec-2020,0,-0,273180904,66450,400845,19946,-0
07-Dec-2020,-0,0,273177704,66460,403895,20086,0
08-Dec-2020,0,-0,273174504,66470,406946,20225,-0
09-Dec-2020,0,-0,273171305,66479,409997,20365,-0
10-Dec-2020,-0,0,273168105,66487,413048,20505,0
11-Dec-2020,-0,0,273164905,66496,416100,20645,0
12-Dec-2020,0,-0,273161706,66503,419152,20785,-0
13-Dec-2020,-0,0,273158506,66511,422204,20924,0
14-Dec-2020,-0,0,273155306,66518,425257,21064,0
15-Dec-2020,0,-0,273152107,66524,428310,21204,-0
16-Dec-2020,-0,0,273148907,66531,431364,21344,0
17-Dec-2020,-0,0,273145708,66537,434417,21484,0
18-Dec-2020,0,-0,273142508,66542,437471,21624,-0
19-Dec-2020,-0,0,273139309,66547,440525,21764,0
20-Dec-2020,0,-0,273136110,66553,443580,21904,-0
21-Dec-2020,0,-0,273132910,66557,446634,22043,-0
22-Dec-2020,-0,0,273129711,66562,449689,22183,0
23-Dec-2020,0,-0,273126512,66566,452744,22323,-0
24-Dec-2020,0,-0,273123313,66570,455800,22463,-0
25-Dec-2020,-0,0,273120113,66574,458855,22603,0
26-Dec-2020,-0,0,273116914,66578,461911,22743,0
27-Dec-2020,0,-0,273113715,66581,464966,22883,-0
28-Dec-2020,0,-0,273110516,66584,468022,23023,-0
29-Dec-2020,-0,0,273107317,66587,471078,23163,0
30-Dec-2020,-0,0,273104118,66590,474134,23303,0
31-Dec-2020,0,-0,273100919,66593,477191,23443,-0
01-Jan-2021,-0,0,273097720,66595,480247,23583,0
02-Jan-2021,-0,0,273094521,66597,483304,23723,0
03-Jan-2021,0,-0,273091322,66600,486360,23863,-0
04-Jan-2021,-0,0,273088124,66602,489417,24003,0
05-Jan-2021,0,-0,273084925,66604,492474,24143,-0
06-Jan-2021,-0,0,273081726,66605,495531,24283,0
07-Jan-2021,-0,0,273078527,66607,498588,24423,0
08-Jan-2021,0,-0,273075329,66609,501645,24563,-0
09-Jan-2021,0,-0,273072130,66610,504702,24703,-0
10-Jan-2021,-0,0,273068932,66611,507759,24843,0
