Kasus Corona di Surabaya;;;;;;;;;;;;;
;;;;;;;;;;;;;
Sumber;http://infocovid19.jatimprov.go.id;;;;;;;;;;;;
Tanggal;Data Konfirmasi;;;Data Suspek & Probable;;;;;Kontak Erat;;;;
;Positif;Sembuh;Meninggal;Suspek;Probable;Isolasi;Discarded;Meninggal;Kontak baru;Kontak dilacak;Kontak konfirmasi;Kontak suspek;Kontak discarded
3/20/2020;12;0;0;0;0;0;0;0;0;0;0;0;0
3/21/2020;20;0;0;0;0;0;0;0;0;0;0;0;0
3/22/2020;29;0;0;0;0;0;0;0;0;0;0;0;0
3/23/2020;29;0;1;175;0;0;0;0;0;0;0;0;0
3/24/2020;31;0;1;175;0;0;0;0;0;0;0;0;0
3/25/2020;31;0;1;170;0;0;0;0;0;0;0;0;0
3/26/2020;33;6;1;37;0;0;0;0;0;0;0;0;0
3/27/2020;33;6;1;192;0;0;0;0;0;0;0;0;0
3/28/2020;40;6;1;199;0;0;0;0;0;0;0;0;0
3/29/2020;41;9;2;218;0;0;0;0;0;0;0;0;0
3/30/2020;41;12;2;201;0;0;0;0;0;0;0;0;0
3/31/2020;41;13;2;210;0;0;0;0;0;0;0;0;0
4/1/2020;44;13;3;270;0;0;0;0;0;0;0;0;0
4/2/2020;44;13;4;499;0;0;0;0;0;0;0;0;0
4/3/2020;77;16;4;539;0;0;0;0;0;0;0;0;0
4/4/2020;77;17;6;632;0;0;0;0;0;0;0;0;0
4/5/2020;84;21;6;838;0;0;0;0;0;0;0;0;0
4/6/2020;84;23;6;864;0;0;0;0;0;0;0;0;0
4/7/2020;84;23;8;931;0;0;0;0;0;0;0;0;0
4/8/2020;84;23;8;931;0;0;0;0;0;0;0;0;0
4/9/2020;93;27;8;1145;0;0;0;0;0;0;0;0;0
4/10/2020;97;32;10;1238;0;0;0;0;0;0;0;0;0
4/11/2020;97;33;11;1241;0;0;0;0;0;0;0;0;0
4/12/2020;180;35;11;1224;0;0;0;0;0;0;0;0;0
4/13/2020;208;39;20;1268;0;0;0;0;0;0;0;0;0
4/14/2020;228;39;23;1293;0;0;0;0;0;0;0;0;0
4/15/2020;244;40;24;1433;0;0;0;0;0;0;0;0;0
4/16/2020;246;43;24;1469;0;0;0;0;0;0;0;0;0
4/17/2020;250;45;25;1489;0;0;0;0;0;0;0;0;0
4/18/2020;270;45;29;1538;0;0;0;0;0;0;0;0;0
4/19/2020;299;45;31;1595;0;0;0;0;0;0;0;0;0
4/20/2020;299;45;31;1643;0;0;0;0;0;0;0;0;0
4/21/2020;299;45;31;1643;0;0;0;0;0;0;0;0;0
4/22/2020;315;51;34;1608;0;0;0;0;0;0;0;0;0
4/23/2020;326;61;40;1503;0;0;0;0;0;0;0;0;0
4/24/2020;327;65;46;1547;0;0;0;0;0;0;0;0;0
4/25/2020;368;70;50;1563;0;0;0;0;0;0;0;0;0
4/26/2020;367;72;50;1591;0;0;0;0;0;0;0;0;0
4/27/2020;372;73;51;1630;0;0;0;0;0;0;0;0;0
4/28/2020;392;75;54;1605;0;0;0;0;0;0;0;0;0
4/29/2020;394;79;55;1659;0;0;0;0;0;0;0;0;0
4/30/2020;438;81;57;1648;0;0;0;0;0;0;0;0;0
5/1/2020;496;81;62;1707;0;0;0;0;0;0;0;0;0
5/2/2020;495;84;67;1715;0;0;0;0;0;0;0;0;0
5/3/2020;554;84;71;1502;0;0;0;0;0;0;0;0;0
5/4/2020;558;86;71;1568;0;0;0;0;0;0;0;0;0
5/5/2020;569;88;73;1636;0;0;0;0;0;0;0;0;0
5/6/2020;586;91;77;1642;0;0;0;0;0;0;0;0;0
5/7/2020;592;91;78;1744;0;0;0;0;0;0;0;0;0
5/8/2020;592;99;79;1703;0;0;0;0;0;0;0;0;0
5/9/2020;667;100;80;1676;0;0;0;0;0;0;0;0;0
5/10/2020;708;106;84;1629;0;0;0;0;0;0;0;0;0
5/11/2020;741;110;89;1562;0;0;0;0;0;0;0;0;0
5/12/2020;798;115;94;1622;0;0;0;0;0;0;0;0;0
5/13/2020;870;115;97;1561;0;0;0;0;0;0;0;0;0
5/14/2020;921;121;102;1637;0;0;0;0;0;0;0;0;0
5/15/2020;945;126;103;1649;0;0;0;0;0;0;0;0;0
5/16/2020;1035;130;110;1782;0;0;0;0;0;0;0;0;0
5/17/2020;1059;134;122;1857;0;0;0;0;0;0;0;0;0
5/18/2020;1109;140;132;1834;0;0;0;0;0;0;0;0;0
5/19/2020;1169;142;138;1865;0;0;0;0;0;0;0;0;0
5/20/2020;1255;154;146;1830;0;0;0;0;0;0;0;0;0
5/21/2020;1566;157;156;1723;0;0;0;0;0;0;0;0;0
5/22/2020;1617;158;165;1886;0;0;0;0;0;0;0;0;0
5/23/2020;1927;179;169;1903;0;0;0;0;0;0;0;0;0
5/24/2020;1975;179;172;1996;0;0;0;0;0;0;0;0;0
5/25/2020;2095;188;177;2097;0;0;0;0;0;0;0;0;0
5/26/2020;2118;193;191;2178;0;0;0;0;0;0;0;0;0
5/27/2020;2216;194;200;2232;0;0;0;0;0;0;0;0;0
5/28/2020;2300;199;202;2258;0;0;0;0;0;0;0;0;0
5/29/2020;2394;200;219;2385;0;0;0;0;0;0;0;0;0
5/30/2020;2495;200;234;2507;0;0;0;0;0;0;0;0;0
5/31/2020;2608;223;243;2477;0;0;0;0;0;0;0;0;0
6/1/2020;2633;240;246;2435;0;0;0;0;0;0;0;0;0
6/2/2020;2748;300;253;2463;0;0;0;0;0;0;0;0;0
6/3/2020;2803;540;256;2487;0;0;0;0;0;0;0;0;0
