datetime,S,NI,NR,P,R,ND,D
03-Aug-2021,2272354,171171,151799,167090,382065,797,13666
04-Aug-2021,2287147,157105,151037,164473,384631,797,13754
05-Aug-2021,2301813,144194,149248,161895,387156,797,13840
06-Aug-2021,2316262,132344,146618,159355,389641,797,13925
07-Aug-2021,2330420,121468,143308,156853,392088,797,14009
08-Aug-2021,2344228,111486,139457,154389,394496,797,14091
09-Aug-2021,2357638,102324,135185,151961,396866,797,14172
10-Aug-2021,2370615,93915,130596,149570,399199,797,14252
11-Aug-2021,2383131,86197,125777,147215,401495,797,14330
12-Aug-2021,2395169,79113,120804,144896,403755,797,14408
13-Aug-2021,2406717,72612,115741,142612,405980,797,14484
14-Aug-2021,2417768,66645,110642,140363,408169,797,14559
15-Aug-2021,2428322,61168,105551,138149,410324,797,14632
16-Aug-2021,2438380,56141,100506,135969,412445,797,14705
17-Aug-2021,2447950,51527,95539,133822,414532,797,14776
