datetime,S,NI,NR,P,R,ND,D
17-Aug-2021,2447950,51527,95539,133822,414532,797,14776
18-Aug-2021,2438644,62199,91299,134548,416609,797,14847
19-Aug-2021,2429041,71936,88284,135270,418696,797,14919
20-Aug-2021,2419254,80813,86308,135986,420795,797,14990
21-Aug-2021,2409377,88901,85205,136696,422905,797,15063
22-Aug-2021,2399489,96264,84833,137399,425026,797,15135
23-Aug-2021,2389656,102962,85069,138095,427157,797,15208
24-Aug-2021,2379930,109049,85802,138784,429300,797,15281
25-Aug-2021,2370355,114577,86940,139467,431452,797,15355
26-Aug-2021,2360965,119594,88401,140142,433616,797,15429
27-Aug-2021,2351788,124141,90115,140809,435790,797,15503
28-Aug-2021,2342843,128259,92022,141470,437974,797,15578
29-Aug-2021,2334145,131985,94071,142124,440168,797,15653
30-Aug-2021,2325704,135353,96218,142770,442372,797,15728
31-Aug-2021,2317527,138393,98426,143410,444587,797,15804
01-Sep-2021,2309615,141134,100663,144043,446811,797,15880
02-Sep-2021,2301968,143603,102905,144669,449044,797,15957
03-Sep-2021,2294585,145823,105128,145289,451288,797,16033
04-Sep-2021,2287460,147816,107317,145903,453541,797,16110
05-Sep-2021,2280587,149603,109455,146510,455803,797,16188
06-Sep-2021,2273960,151201,111532,147112,458075,797,16265
07-Sep-2021,2267570,152629,113539,147708,460356,797,16343
08-Sep-2021,2261409,153901,115469,148298,462647,797,16422
09-Sep-2021,2255467,155031,117318,148883,464946,797,16500
10-Sep-2021,2249735,156034,119081,149463,467254,797,16579
11-Sep-2021,2244202,156919,120757,150038,469572,797,16659
12-Sep-2021,2238860,157698,122344,150608,471898,797,16738
13-Sep-2021,2233697,158382,123844,151173,474233,797,16818
14-Sep-2021,2228704,158978,125256,151734,476576,797,16898
15-Sep-2021,2223872,159495,126582,152290,478929,797,16979
16-Sep-2021,2219191,159941,127823,152842,481290,797,17059
17-Sep-2021,2214652,160322,128983,153389,483659,797,17140
18-Sep-2021,2210247,160644,130064,153933,486037,797,17222
19-Sep-2021,2205966,160914,131068,154472,488423,797,17303
20-Sep-2021,2201802,161135,131999,155008,490817,797,17385
21-Sep-2021,2197746,161314,132859,155540,493220,797,17467
22-Sep-2021,2193792,161453,133652,156068,495631,797,17550
23-Sep-2021,2189933,161557,134381,156592,498050,797,17633
24-Sep-2021,2186161,161629,135050,157113,500478,797,17716
25-Sep-2021,2182471,161672,135661,157630,502913,797,17799
26-Sep-2021,2178856,161690,136217,158144,505356,797,17882
27-Sep-2021,2175311,161684,136723,158655,507807,797,17966
28-Sep-2021,2171830,161658,137180,159162,510266,797,18050
29-Sep-2021,2168409,161612,137591,159666,512733,797,18135
30-Sep-2021,2165043,161550,137960,160167,515208,797,18219
01-Oct-2021,2161727,161472,138289,160664,517690,797,18304
02-Oct-2021,2158458,161381,138580,161158,520180,797,18389
03-Oct-2021,2155231,161277,138836,161649,522678,797,18475
04-Oct-2021,2152044,161162,139060,162137,525183,797,18561
05-Oct-2021,2148893,161038,139252,162622,527695,797,18646
06-Oct-2021,2145774,160904,139417,163103,530216,797,18733
07-Oct-2021,2142685,160763,139555,163581,532743,797,18819
08-Oct-2021,2139623,160614,139668,164057,535278,797,18906
09-Oct-2021,2136587,160459,139758,164529,537821,797,18993
10-Oct-2021,2133573,160298,139827,164998,540370,797,19080
11-Oct-2021,2130579,160132,139877,165463,542927,797,19167
12-Oct-2021,2127604,159962,139908,165926,545491,797,19255
13-Oct-2021,2124646,159787,139922,166386,548062,797,19343
14-Oct-2021,2121703,159609,139920,166842,550641,797,19431
15-Oct-2021,2118774,159428,139904,167295,553226,797,19520
16-Oct-2021,2115856,159243,139875,167745,555818,797,19608
17-Oct-2021,2112950,159056,139833,168192,558417,797,19697
18-Oct-2021,2110054,158867,139779,168635,561023,797,19786
19-Oct-2021,2107167,158676,139715,169076,563636,797,19876
20-Oct-2021,2104287,158482,139642,169513,566256,797,19965
21-Oct-2021,2101415,158288,139559,169947,568883,797,20055
22-Oct-2021,2098548,158091,139468,170377,571516,797,20145
23-Oct-2021,2095687,157893,139370,170804,574156,797,20235
24-Oct-2021,2092831,157695,139264,171228,576802,797,20326
25-Oct-2021,2089979,157495,139153,171649,579455,797,20417
26-Oct-2021,2087130,157294,139035,172066,582114,797,20508
27-Oct-2021,2084284,157092,138911,172480,584780,797,20599
28-Oct-2021,2081441,156889,138783,172890,587452,797,20690
29-Oct-2021,2078600,156686,138650,173297,590131,797,20782
30-Oct-2021,2075761,156482,138513,173700,592816,797,20874
31-Oct-2021,2072924,156278,138372,174100,595507,797,20966
01-Nov-2021,2070088,156073,138227,174497,598204,797,21058
02-Nov-2021,2067252,155867,138080,174889,600907,797,21150
03-Nov-2021,2064418,155661,137929,175279,603616,797,21243
04-Nov-2021,2061584,155455,137775,175664,606332,797,21336
05-Nov-2021,2058750,155249,137619,176046,609053,797,21429
06-Nov-2021,2055917,155042,137461,176425,611780,797,21522
07-Nov-2021,2053083,154835,137300,176799,614513,797,21616
08-Nov-2021,2050250,154627,137137,177170,617252,797,21709
09-Nov-2021,2047416,154420,136973,177538,619996,797,21803
10-Nov-2021,2044582,154212,136807,177901,622746,797,21897
11-Nov-2021,2041748,154004,136640,178261,625502,797,21992
