datetime,S,I,r,D
04-Aug-2020,3143355,9087,5707,794
05-Aug-2020,3143094,9202,5848,799
06-Aug-2020,3142829,9319,5992,803
07-Aug-2020,3142562,9437,6137,808
08-Aug-2020,3142290,9557,6283,813
09-Aug-2020,3142016,9678,6432,817
10-Aug-2020,3141738,9800,6583,822
11-Aug-2020,3141456,9924,6735,827
12-Aug-2020,3141171,10050,6890,832
13-Aug-2020,3140882,10177,7046,837
14-Aug-2020,3140590,10306,7204,842
15-Aug-2020,3140294,10437,7365,848
16-Aug-2020,3139994,10569,7527,853
17-Aug-2020,3139691,10702,7692,858
18-Aug-2020,3139384,10838,7858,864
19-Aug-2020,3139073,10975,8027,869
20-Aug-2020,3138758,11113,8197,874
21-Aug-2020,3138439,11254,8370,880
22-Aug-2020,3138116,11396,8545,886
23-Aug-2020,3137789,11540,8723,891
24-Aug-2020,3137458,11686,8902,897
25-Aug-2020,3137122,11833,9084,903
26-Aug-2020,3136783,11983,9268,909
27-Aug-2020,3136439,12134,9455,915
28-Aug-2020,3136091,12287,9643,921
29-Aug-2020,3135739,12442,9835,927
30-Aug-2020,3135382,12599,10028,934
31-Aug-2020,3135021,12758,10224,940
01-Sep-2020,3134655,12918,10423,946
02-Sep-2020,3134285,13081,10624,953
03-Sep-2020,3133910,13246,10827,959
04-Sep-2020,3133531,13413,11033,966
05-Sep-2020,3133146,13582,11242,973
06-Sep-2020,3132757,13753,11453,980
07-Sep-2020,3132363,13926,11667,987
08-Sep-2020,3131965,14101,11884,994
09-Sep-2020,3131561,14278,12103,1001
10-Sep-2020,3131152,14458,12326,1008
11-Sep-2020,3130738,14639,12551,1015
12-Sep-2020,3130319,14823,12778,1022
13-Sep-2020,3129895,15009,13009,1030
14-Sep-2020,3129465,15198,13242,1037
15-Sep-2020,3129030,15389,13479,1045
16-Sep-2020,3128590,15582,13718,1053
17-Sep-2020,3128144,15777,13961,1061
18-Sep-2020,3127693,15975,14206,1069
19-Sep-2020,3127236,16175,14455,1077
20-Sep-2020,3126774,16378,14706,1085
21-Sep-2020,3126306,16583,14961,1093
