datetime,S,I,r,D
03-Aug-2021,2118785,340799,676878,22481
04-Aug-2021,2118785,335403,682105,22649
05-Aug-2021,2118785,330092,687250,22816
06-Aug-2021,2118785,324865,692313,22979
07-Aug-2021,2118785,319721,697297,23140
08-Aug-2021,2118785,314658,702201,23299
09-Aug-2021,2118785,309675,707027,23455
10-Aug-2021,2118785,304772,711777,23608
11-Aug-2021,2118785,299946,716452,23759
12-Aug-2021,2118785,295196,721053,23908
13-Aug-2021,2118785,290522,725581,24054
14-Aug-2021,2118785,285922,730038,24198
15-Aug-2021,2118785,281394,734423,24340
16-Aug-2021,2118785,276938,738740,24479
17-Aug-2021,2118785,272553,742988,24617
