datetime,S,I,r,D
17-Aug-2021,2118785,272553,742988,24617
18-Aug-2021,2113536,273445,747209,24753
19-Aug-2021,2108282,274327,751444,24890
20-Aug-2021,2103025,275199,755692,25027
21-Aug-2021,2097764,276060,759954,25165
22-Aug-2021,2092500,276911,764229,25303
23-Aug-2021,2087234,277751,768517,25442
24-Aug-2021,2081965,278580,772818,25581
25-Aug-2021,2076693,279399,777131,25720
26-Aug-2021,2071420,280206,781458,25860
27-Aug-2021,2066145,281002,785796,26000
28-Aug-2021,2060868,281787,790147,26140
29-Aug-2021,2055591,282561,794510,26281
30-Aug-2021,2050312,283323,798885,26423
31-Aug-2021,2045034,284073,803271,26565
01-Sep-2021,2039755,284812,807669,26707
02-Sep-2021,2034476,285539,812079,26849
03-Sep-2021,2029197,286255,816499,26992
04-Sep-2021,2023919,286958,820931,27135
05-Sep-2021,2018642,287649,825373,27279
06-Sep-2021,2013366,288328,829826,27423
07-Sep-2021,2008092,288995,834289,27567
08-Sep-2021,2002820,289649,838763,27711
09-Sep-2021,1997549,290291,843246,27856
10-Sep-2021,1992281,290921,847739,28001
11-Sep-2021,1987016,291538,852242,28147
12-Sep-2021,1981754,292142,856755,28293
13-Sep-2021,1976494,292734,861276,28439
14-Sep-2021,1971239,293312,865807,28585
15-Sep-2021,1965987,293878,870346,28732
16-Sep-2021,1960739,294431,874895,28879
17-Sep-2021,1955495,294971,879451,29026
18-Sep-2021,1950256,295498,884016,29174
19-Sep-2021,1945022,296011,888589,29321
20-Sep-2021,1939792,296512,893170,29469
21-Sep-2021,1934569,296999,897758,29618
22-Sep-2021,1929350,297473,902354,29766
23-Sep-2021,1924138,297933,906957,29915
24-Sep-2021,1918932,298380,911567,30064
25-Sep-2021,1913732,298814,916184,30213
26-Sep-2021,1908539,299234,920807,30362
27-Sep-2021,1903353,299640,925437,30512
28-Sep-2021,1898175,300033,930073,30662
29-Sep-2021,1893003,300413,934715,30812
30-Sep-2021,1887840,300779,939363,30962
01-Oct-2021,1882684,301131,944016,31112
02-Oct-2021,1877536,301469,948675,31263
03-Oct-2021,1872397,301794,953339,31413
04-Oct-2021,1867267,302104,958008,31564
05-Oct-2021,1862145,302402,962681,31715
06-Oct-2021,1857033,302685,967359,31866
07-Oct-2021,1851930,302954,972041,32018
08-Oct-2021,1846836,303210,976727,32169
09-Oct-2021,1841753,303452,981417,32321
10-Oct-2021,1836679,303680,986111,32472
11-Oct-2021,1831616,303895,990808,32624
12-Oct-2021,1826564,304095,995508,32776
13-Oct-2021,1821522,304282,1000212,32928
14-Oct-2021,1816491,304454,1004918,33080
15-Oct-2021,1811471,304613,1009626,33232
16-Oct-2021,1806463,304759,1014337,33384
17-Oct-2021,1801466,304890,1019050,33537
18-Oct-2021,1796481,305008,1023766,33689
19-Oct-2021,1791508,305111,1028482,33841
20-Oct-2021,1786547,305202,1033201,33994
21-Oct-2021,1781598,305278,1037920,34146
22-Oct-2021,1776663,305341,1042641,34299
23-Oct-2021,1771739,305390,1047362,34452
24-Oct-2021,1766829,305425,1052084,34604
25-Oct-2021,1761932,305447,1056807,34757
26-Oct-2021,1757049,305455,1061530,34909
27-Oct-2021,1752178,305450,1066253,35062
28-Oct-2021,1747322,305431,1070975,35214
29-Oct-2021,1742479,305399,1075698,35367
30-Oct-2021,1737651,305353,1080419,35520
31-Oct-2021,1732836,305294,1085140,35672
01-Nov-2021,1728036,305222,1089860,35825
02-Nov-2021,1723251,305136,1094579,35977
03-Nov-2021,1718480,305037,1099296,36130
04-Nov-2021,1713724,304925,1104012,36282
05-Nov-2021,1708983,304800,1108725,36434
06-Nov-2021,1704258,304662,1113437,36586
07-Nov-2021,1699547,304511,1118147,36739
08-Nov-2021,1694852,304346,1122854,36891
09-Nov-2021,1690173,304169,1127558,37043
10-Nov-2021,1685509,303980,1132260,37195
11-Nov-2021,1680861,303777,1136958,37346
12-Nov-2021,1676229,303562,1141653,37498
13-Nov-2021,1671614,303334,1146345,37650
14-Nov-2021,1667014,303094,1151033,37801
15-Nov-2021,1662431,302841,1155718,37953
16-Nov-2021,1657865,302576,1160398,38104
17-Nov-2021,1653315,302299,1165075,38255
18-Nov-2021,1648782,302009,1169746,38406
19-Nov-2021,1644265,301707,1174414,38557
20-Nov-2021,1639766,301394,1179076,38707
21-Nov-2021,1635284,301068,1183734,38858
22-Nov-2021,1630818,300730,1188386,39008
23-Nov-2021,1626370,300381,1193033,39158
24-Nov-2021,1621940,300020,1197675,39308
25-Nov-2021,1617527,299647,1202311,39458
26-Nov-2021,1613131,299263,1206941,39608
27-Nov-2021,1608753,298867,1211565,39757
28-Nov-2021,1604393,298460,1216183,39906
29-Nov-2021,1600051,298042,1220795,40055
30-Nov-2021,1595727,297613,1225400,40204
01-Dec-2021,1591420,297172,1229998,40353
02-Dec-2021,1587132,296721,1234589,40501
03-Dec-2021,1582862,296259,1239173,40649
04-Dec-2021,1578609,295786,1243750,40797
05-Dec-2021,1574376,295302,1248320,40945
06-Dec-2021,1570160,294808,1252882,41092
07-Dec-2021,1565963,294304,1257437,41239
08-Dec-2021,1561784,293789,1261983,41386
09-Dec-2021,1557624,293264,1266522,41533
10-Dec-2021,1553483,292729,1271052,41679
11-Dec-2021,1549360,292184,1275574,41825
12-Dec-2021,1545256,291629,1280087,41971
13-Dec-2021,1541170,291064,1284592,42117
14-Dec-2021,1537103,290490,1289088,42262
15-Dec-2021,1533055,289906,1293575,42407
16-Dec-2021,1529026,289313,1298053,42552
17-Dec-2021,1525016,288710,1302521,42696
18-Dec-2021,1521024,288098,1306981,42840
19-Dec-2021,1517052,287477,1311430,42984
20-Dec-2021,1513098,286847,1315870,43127
21-Dec-2021,1509164,286208,1320301,43271
22-Dec-2021,1505248,285560,1324721,43413
23-Dec-2021,1501352,284904,1329131,43556
24-Dec-2021,1497475,284239,1333531,43698
25-Dec-2021,1493616,283566,1337921,43840
26-Dec-2021,1489777,282884,1342300,43981
27-Dec-2021,1485957,282194,1346669,44123
